source_url,source_topic,source_cluster,target_url,target_topic,relationship_type,priority,anchor_text_direction,placement_guidance,reason,status
https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,traffic-law,https://jus-tice.co.il/driving-under-the-influence/,drunk-driving,pillar_to_support,P1,drunk driving,issue-clusters-section,"Drunk driving is a core traffic-law support intent and current wrong-page GSC signal needs a correct internal destination",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,traffic-law,https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,testing-refusal,pillar_to_support,P1,refusal and alcohol testing,issue-clusters-section,"Testing/refusal is a core support lane under drunk-driving and traffic evidence",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,traffic-law,https://jus-tice.co.il/yanshuf-breathalyzer-test/,yanshuf-breathalyzer,pillar_to_support,P1,breathalyzer test,issue-clusters-section,"Breathalyzer/yanshuf is a practical support topic for drunk-driving users",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,traffic-law,https://jus-tice.co.il/speeding/,speeding,pillar_to_support,P1,speeding offenses,issue-clusters-section,"Speeding is a core traffic-law support lane",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,traffic-law,https://jus-tice.co.il/driver-with-36-valid-points-or-more-will-be-disqualified-from-holding-a-drivers-license/,points-license-risk,pillar_to_support,P1,traffic points and license risk,license-risk-section,"Points/license risk is a major traffic-law user journey",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,traffic-law,https://jus-tice.co.il/medical-institute-for-road-safety/,marvad,pillar_to_support,P1,Marvad medical fitness,license-risk-section,"Marvad is a core driver-license risk support lane",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/driving-under-the-influence/,drunk-driving,traffic-law,https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,support_to_pillar,P1,traffic lawyer,when-to-contact-lawyer-section,"Drunk-driving support should route users back to the traffic-law pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,testing-refusal,traffic-law,https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,support_to_pillar,P1,traffic lawyer,when-to-contact-lawyer-section,"Testing/refusal support should route users back to the traffic-law pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/yanshuf-breathalyzer-test/,yanshuf-breathalyzer,traffic-law,https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,support_to_pillar,P1,traffic lawyer,when-to-contact-lawyer-section,"Breathalyzer support should route users back to the traffic-law pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/blood-alcohol-content-breathalyzer/,blood-alcohol-breathalyzer,traffic-law,https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,support_to_pillar,P1,traffic lawyer,when-to-contact-lawyer-section,"Blood-alcohol support should route users back to the traffic-law pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/speeding/,speeding,traffic-law,https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,support_to_pillar,P1,traffic lawyer,when-to-contact-lawyer-section,"Speeding support should route users back to the traffic-law pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/driver-with-36-valid-points-or-more-will-be-disqualified-from-holding-a-drivers-license/,points-license-risk,traffic-law,https://jus-tice.co.il/traffic-lawyer/,traffic-law-current-pillar,support_to_pillar,P1,traffic lawyer,when-to-contact-lawyer-section,"Points/license support should route users back to the traffic-law pillar",PLANNED_NEEDS_OWNER_APPROVAL
