lane,unblock_id,title_he,source_status,static_preparation_percent,live_profit_proof_percent,revenue_can_be_claimed,owner_fill_rows,owner_action_he,owner_fill_csv,action_sheet_html,blocker_he,next_after_fill_he,sequence,action_id,private_admin_pointer_no_pii,status,owner_verified_yes_no,proof_present_yes_no,no_pii_confirmed_yes_no,live_or_public_action_approved,owner_note_no_pii
btl_first_paid_lead,UNBLOCK-01,ביטוח לאומי: ליד ראשון בתשלום,BTL_OWNER_FIRST_PAID_LEAD_ACTION_SHEET_READY_NO_LIVE_ACTION,75,0,no,6,"למלא ראיות פרטיות לשלושה מומחים, ליד אחד עם הסכמה, billing והוכחת תשלום פרטית.",.project-control/btl-owner-first-paid-lead-owner-fill-2026-05-27.csv,.project-control/btl-owner-first-paid-lead-action-sheet-2026-05-27.html,חסר מילוי בעלים/מנהל עם ראיות פרטיות ללא PII.,קודקס יכול לבדוק סטטוסים מסוננים בלבד ולהחזיר pass/blocked בלי לבצע פעולה חיה.,,,,,,,,,
lawyer_subscription_paid_test,UNBLOCK-02,מנוי עורך דין: בדיקה בתשלום או חשבונית ידנית,LAWYER_SUBSCRIPTION_OWNER_PAID_TEST_ACTION_SHEET_READY_NO_LIVE_ACTION,70,0,no,6,"לאשר זהות בדיקה, נתיב תשלום, הרשמה/דשבורד, בקשות שירות וראיית חשבונית או תשלום.",.project-control/lawyer-subscription-owner-paid-test-owner-fill-2026-05-27.csv,.project-control/lawyer-subscription-owner-paid-test-action-sheet-2026-05-27.html,חסר מילוי בעלים/מנהל עם ראיות פרטיות ללא PII.,קודקס יכול לבדוק סטטוסים מסוננים בלבד ולהחזיר pass/blocked בלי לבצע פעולה חיה.,,,,,,,,,
criminal_jerusalem_supplier_coverage,UNBLOCK-08,ספק פלילי בירושלים: כיסוי פרטי לפני פרסום,CRIMINAL_JERUSALEM_OWNER_COVERAGE_ACTION_SHEET_READY_NO_LIVE_ACTION,65,0,no,6,"לבחור מועמד פרטי, לאמת רישיון/תחום/זמינות/תנאי fee, ולהחליט אם מכינים פרופיל ציבורי בנפרד.",.project-control/criminal-jerusalem-owner-coverage-owner-fill-2026-05-27.csv,.project-control/criminal-jerusalem-owner-coverage-action-sheet-2026-05-27.html,חסר מילוי בעלים/מנהל עם ראיות פרטיות ללא PII.,קודקס יכול לבדוק סטטוסים מסוננים בלבד ולהחזיר pass/blocked בלי לבצע פעולה חיה.,,,,,,,,,
btl_first_paid_lead,UNBLOCK-01,לאמת שלושה מומחי ביטוח לאומי פרטיים,,,,,,,,,,,1,BTL-ACTION-01,,not_started,no,no,yes,no,
btl_first_paid_lead,UNBLOCK-01,להפוך את השלושה לכיסוי ניתן לניתוב,,,,,,,,,,,2,BTL-ACTION-02,,not_started,no,no,yes,no,
btl_first_paid_lead,UNBLOCK-01,לבחור ליד ביטוח לאומי אחד עם הסכמה,,,,,,,,,,,3,BTL-ACTION-03,,not_started,no,no,yes,no,
btl_first_paid_lead,UNBLOCK-01,ליצור מצב חיוב לליד מוסמך,,,,,,,,,,,4,BTL-ACTION-04,,not_started,no,no,yes,no,
btl_first_paid_lead,UNBLOCK-01,לאשר תשלום רק עם הוכחה פרטית,,,,,,,,,,,5,BTL-ACTION-05,,not_started,no,no,yes,no,
btl_first_paid_lead,UNBLOCK-01,לקבל החלטת scale/fix/stop,,,,,,,,,,,6,BTL-ACTION-06,,not_started,no,no,yes,no,
lawyer_subscription_paid_test,UNBLOCK-02,לאשר זהות בדיקה נשלטת,,,,,,,,,,,1,LAW-SUB-ACTION-01,,not_started,no,no,yes,no,
lawyer_subscription_paid_test,UNBLOCK-02,לבחור נתיב תשלום מאושר,,,,,,,,,,,2,LAW-SUB-ACTION-02,,not_started,no,no,yes,no,
lawyer_subscription_paid_test,UNBLOCK-02,לאשר הרשמה ופרופיל עורך דין מבוקר,,,,,,,,,,,3,LAW-SUB-ACTION-03,,not_started,no,no,yes,no,
lawyer_subscription_paid_test,UNBLOCK-02,לבדוק בקשות שירות בדשבורד,,,,,,,,,,,4,LAW-SUB-ACTION-04,,not_started,no,no,yes,no,
lawyer_subscription_paid_test,UNBLOCK-02,לקשר ליד/שירות מבוקר אם בודקים הכנסה,,,,,,,,,,,5,LAW-SUB-ACTION-05,,not_started,no,no,yes,no,
lawyer_subscription_paid_test,UNBLOCK-02,להפיק ראיית חשבונית או תשלום פרטית,,,,,,,,,,,6,LAW-SUB-ACTION-06,,not_started,no,no,yes,no,
criminal_jerusalem_supplier_coverage,UNBLOCK-08,לבחור מועמד פרטי אחד לעורך דין פלילי בירושלים,,,,,,,,,,,1,CJ-OWNER-ACTION-01,,not_started,no,no,yes,no,
criminal_jerusalem_supplier_coverage,UNBLOCK-08,לאמת רישיון וסטטוס מקצועי,,,,,,,,,,,2,CJ-OWNER-ACTION-02,,not_started,no,no,yes,no,
criminal_jerusalem_supplier_coverage,UNBLOCK-08,לאמת התאמה פלילית ושירות בירושלים,,,,,,,,,,,3,CJ-OWNER-ACTION-03,,not_started,no,no,yes,no,
criminal_jerusalem_supplier_coverage,UNBLOCK-08,לאשר זמינות תגובה ללידים רגישים,,,,,,,,,,,4,CJ-OWNER-ACTION-04,,not_started,no,no,yes,no,
criminal_jerusalem_supplier_coverage,UNBLOCK-08,לאשר תנאי lead-fee ונתיב חשבונית ידני,,,,,,,,,,,5,CJ-OWNER-ACTION-05,,not_started,no,no,yes,no,
criminal_jerusalem_supplier_coverage,UNBLOCK-08,להחליט אם מכינים כרטיס ציבורי בנפרד,,,,,,,,,,,6,CJ-OWNER-ACTION-06,,not_started,no,no,yes,no,
