topic,current_or_planned_url,intended_role,primary_intent,required_sources,source_status,legal_claims_allowed,legal_claims_blocked,risk_level,required_disclaimer,recommended_action,approval_status,notes
personal-injury-lawyer,https://jus-tice.co.il/personal-injury-lawyer/,future_primary_service,lawyer-service,"Torts Ordinance Knesset PDF; road-accident compensation law if accident body injury; BTL work injury sources if work accident",PARTIAL_VERIFIED,"General explanation of when damages/bodily injury may require legal help; evidence checklist; source-linked next steps","Compensation promises; deadline/eligibility certainty; treating future slug as current URL; publishing without migration map",HIGH,YES,STRATEGIC_FUTURE_SLUG_NO_URL_CHANGE,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Exact current public URL not verified; do not create or redirect"
tort-lawyer,https://jus-tice.co.il/tort-lawyer/,current_service_candidate,damages-lawyer,"Torts Ordinance Knesset PDF; relevant official/public sources by subtopic",PARTIAL_VERIFIED,"Plain-language explanation of tort/damages service intent; evidence preservation; when to consult lawyer","Outcome promises; legal causation conclusions; unsupported compensation ranges",HIGH,YES,EXPAND_COMPARE_AFTER_SOURCE_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Returns 200; thin 507 words quality 4/10"
punitive-damage,https://jus-tice.co.il/punitive-damage/,specialist_support,punitive-damages,"Torts Ordinance Knesset PDF; case-law/source review before legal claims",PARTIAL_VERIFIED,"General specialist explanation if legally reviewed","Making it broad commercial pillar by word count; unsupported doctrine claims; compensation guarantees",HIGH,YES,PROTECT_SUPPORT_NOT_PRIMARY_BY_DEFAULT,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Returns 200; very long article but not automatically pillar"
car-accident-current,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,current_visible_candidate,road-accident-bodily-injury,"Road Accident Victims Compensation Law Knesset PDF; Israel Police accident report service; Kol Zchut road-accident portal/procedure",VERIFIED_SOURCE_ANCHORS,"General document checklist; police confirmation path; bodily-injury service explanation","Guaranteeing compensation; mixing property damage and bodily injury; migrating URL without redirect plan",HIGH,YES,PROTECT_COMPARE_REWRITE_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Returns 200; current GSC-visible candidate for תאונת דרכים"
car-accident-clean-slug,https://jus-tice.co.il/car-accident-lawyer/,future_clean_slug,road-accident-lawyer,"Road Accident Victims Compensation Law Knesset PDF; police confirmation source; existing current-page comparison",PARTIAL_VERIFIED,"Future slug planning only","Creating duplicate page; redirecting current page without map; title/H1/meta changes before owner approval",HIGH,YES,PLAN_ONLY_SELECT_PRIMARY_LATER,OWNER_AND_LEGAL_REVIEW_REQUIRED,"No exact current public URL verified"
road-accident-law,https://jus-tice.co.il/israel-road-accident-compensation-law/,legal_support,road-accident-law-explainer,"Road Accident Victims Compensation Law Knesset PDF; Kol Zchut procedure page",VERIFIED_SOURCE_ANCHORS,"General legal-framework support page if reviewed","Current-law certainty without review; replacing service page; unsupported procedural advice",MEDIUM,YES,SOURCE_LEGAL_SUPPORT_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Returns 200; thin/outdated quality 4/10"
compulsory-insurance,https://jus-tice.co.il/compulsory-motor-vehicle-insurance/,insurance_support,compulsory-motor-insurance,"Road Accident Victims Compensation Law source; official insurance/policy sources if later identified",PARTIAL_VERIFIED,"General support explanation of compulsory insurance context","Policy-specific coverage advice; coverage guarantees; competing with car-accident service page",MEDIUM,YES,REWRITE_AS_SUPPORT_AFTER_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Returns 200; thin/outdated quality 2/10"
work-accident-future,https://jus-tice.co.il/work-accident-lawyer/,future_boundary_page,work-accident,"BTL work injury portal; BTL definition of work injury; BTL injury allowance filing; Ministry of Labor work accident reporting service",VERIFIED_SOURCE_ANCHORS,"Explain boundary between employer report, BTL claim and legal help; document checklist","Moving topic entirely into personal injury/employment/national insurance without approval; eligibility certainty; deadline claims without review",HIGH,YES,BOUNDARY_RECHECK_BEFORE_PRIORITIZATION,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Current checked GSC row had zero visible rows"
personal-accident,PLANNED_OR_SECTION,boundary_support,personal-accident-non-work-non-road,"BTL accident injury portal; BTL accident injury eligibility page",VERIFIED_SOURCE_ANCHORS,"Explain personal accident only as non-work/non-road boundary where relevant","Confusing personal accident benefits with road accident or work injury; eligibility certainty without source review",MEDIUM,YES,ADD_AS_BOUNDARY_SECTION_ONLY_AFTER_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Useful to prevent wrong merging"
tort-reform,https://jus-tice.co.il/tort-reform/,informational_support,tort-law-background,"Torts Ordinance Knesset PDF; legal review before current-law claims",PARTIAL_VERIFIED,"Background support for tort law if reviewed","Competing as broad service pillar; outdated reform claims; unsourced legal conclusions",MEDIUM,YES,KEEP_AS_SUPPORT_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Returns 200; 7072 words quality 6/10"
tort-outline,https://jus-tice.co.il/outline-of-tort-law/,informational_support,tort-law-overview,"Torts Ordinance Knesset PDF",PARTIAL_VERIFIED,"General overview as support","Replacing service page; unsourced comprehensive legal guide claims",MEDIUM,YES,SUPPORT_PILLAR_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Returns 200; 1443 words quality 5/10"
deep-pocket,https://jus-tice.co.il/deep-pocket/,narrow_support,tort-concept,"Torts Ordinance Knesset PDF; case-law/source review if doctrine claims are kept",PARTIAL_VERIFIED,"Narrow concept explanation if reviewed","Broad service-pillar use; unsupported doctrine/case conclusions",MEDIUM,YES,EXPAND_OR_MERGE_REVIEW,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Returns 200; thin 507 words quality 4/10"
us-personal-injury,https://jus-tice.co.il/personal-injury-law/,international_separate,us-personal-injury,"US jurisdiction-specific sources if kept; Israeli sources should not be mixed",NOT_VERIFIED_FOR_ISRAELI_LAW,"Only clearly marked US-law/international explanation","Presenting US content as Israeli law; internal linking into Israeli damages cluster without clear boundary",HIGH,YES,SEPARATE_INTERNATIONAL_US_INTENT,OWNER_AND_LEGAL_REVIEW_REQUIRED,"Returns 200; US-focused 8005 words"
migration-safety,ALL_PERSONAL_INJURY_URLS,migration_gate,url-migration-risk,"GSC page/query evidence; source/legal checklist; owner approval; redirect map; canonical/sitemap/internal-link map",PARTIAL_VERIFIED,"Planning-only risk notes","URL changes; redirects; noindex; canonical; sitemap; title/H1/meta; CMS edits without approved map",HIGH,YES,URL_MIGRATION_MAP_REQUIRED_BEFORE_EXECUTION,OWNER_APPROVAL_REQUIRED,"Map first, approve second, execute later"
