id,workstream,internal_work,why_incomplete,next_unlock,profit_readiness
INT-01,Homepage redesign,Public-first hero and situation router committed and pushed,uPress Pull Git not performed,Pull Git in uPress and verify live copy,0% live impact
INT-02,Bituach Leumi first paid lead,Runtime ledger admin fill packet review gate and first revenue operator command created,0/8 proof rows pass,Fill BTL-REV-01 through BTL-REV-03 privately,0% paid proof
INT-03,Lawyer subscription conversion,Controlled walkthrough and evidence review gate created,No owner-approved test identity/payment path,Choose controlled lawyer identity and manual invoice/payment route,0% paid proof
INT-04,Manual invoice path,Manual fallback packet exists,No approved invoice sent and no payment evidence,Owner-approved controlled invoice test,0% paid proof
INT-05,Grow Meshulam Morning readiness,Compliance surface and blockers documented,Provider KYC/product/payment proof not verified,Owner/provider KYC and controlled payment proof,0% paid proof
INT-06,Lead CRM consent,Consent boundaries and message-pack work exist,No approved live consent workflow,Owner/legal approval of consent wording and suppression rules,0% monetized
INT-07,Criminal Jerusalem supplier coverage,Coverage activation packet exists,No verified routable lawyer proof,Verify one matching prospect privately,0% supplier proof
INT-08,Tel Aviv family local content,Evidence completion control center exists,GSC/legal/owner rows not filled,Fill GSC and legal/editor rows,0% new index impact
INT-09,Rental agreement public update,Existing-route candidate identified,Owner/SEO/legal approval not given,Approve/edit/reject exact public packet,0% public impact
INT-10,Legaltech GitHub review,GitHub legaltech projects reviewed and translated,No third-party code integrated,Pick one safe pattern for Jus-Tice,internal only
INT-11,Project manager anti-drift,Startup protocol created and automation prompt updated,Needs repeated enforcement,Begin each cycle with goals/subgoals/actions/honesty,operating process
INT-12,Browser uPress provider automation,Tool status checked,Authenticated browser/uPress action not callable here,Owner provides safe access/tool path or performs Pull Git,blocked
