decision_id,decision_area,recommended_choice,status,why,next_required_action,blocked_until,notes
FD-FIRST-DEC-001,First public upload scope,Wave 1A only: /divorce-lawyer/,RECOMMENDED,Lowest-risk controlled move that improves the commercial pillar while keeping old URLs and protected assets alive,Owner approves clean /divorce-lawyer/ body and QA package,Owner/legal/source approval,Do not upload all seven pages as one dump
FD-FIRST-DEC-002,Support copy approval,Approve copy only for six Wave 1B support bodies,RECOMMENDED,The bodies are clean and useful but should not go public before support upload scope is approved,Owner marks approve copy edit selected or hold selected,Owner/legal/source approval,Copy approval is not upload approval
FD-FIRST-DEC-003,Lower-risk support fast path,/consensual-divorce/ and /divorce-mediation/ after pillar QA,OPTIONAL,These are useful and lower risk than child support custody and property division,Owner approves lower-risk-first support path,Owner approval after /divorce-lawyer/ QA,Still requires metadata taxonomy and QA package
FD-FIRST-DEC-004,High-risk support pages,Hold child-support child-custody property-division until stronger review,RECOMMENDED,Children money property and asset claims carry higher legal/source risk,Legal/source review or owner accepts general-info risk,Owner/legal/source approval,Do not treat as calculator tool or binding legal answer
FD-FIRST-DEC-005,Old URLs and protected assets,Keep live and unchanged,REQUIRED,Old Hebrew URLs PDFs DOCX calculator and case-law assets may have search value,Run GSC API export before any URL action,GSC API plus owner approval,No redirect noindex deletion canonical or sitemap removal now
FD-FIRST-DEC-006,Taxonomy/category,Use existing approved practice-areas only,REQUIRED,Prevents noisy category proliferation and cannibalization,Verify after draft import or upload,Upload preview/public QA,No new Family/Divorce term archives now
FD-FIRST-DEC-007,Related links/cards,Use approved current Family/Divorce URLs only,REQUIRED,Prevents trust/ranking/city/profile/LegalTech leakage into legal guide pages,Verify after upload,Preview/public QA,Manual related-card allowlist should drive first upload
FD-FIRST-DEC-008,Schema/trust/reviews,No review rating AggregateRating badges top recommended trusted claims,REQUIRED,Reviews/reputation module is future and compliance-gated,Keep schema limited and safe until approved,Compliance review,No fake trust signals
FD-FIRST-DEC-009,GSC API,Useful before upload and required before URL migration,PARTIAL BLOCKER,API speeds page/query risk checks and protects strong legacy pages,Owner sets up read-only Search Console API,Credentials/access,Public copy prep can continue without API
FD-FIRST-DEC-010,Immediate next action,Owner decision on /divorce-lawyer/ clean body,RECOMMENDED,This is the narrowest path to content upload readiness,Approve edit or hold the clean body and QA package,Owner decision,After approval prepare exact CMS upload instructions or perform approved CMS update
