"item","status","details","next_step"
"tool","FIXED","Created tools/gsc/gsc-family-divorce-export.js","Run after owner credential rotation/setup"
"dry_run","VERIFIED_LOCAL","node tools/gsc/gsc-family-divorce-export.js --dry-run passed without reading credential contents opening OAuth or calling API","Use dry run after owner provides local paths"
"syntax","VERIFIED_LOCAL","node --check tools/gsc/gsc-family-divorce-export.js passed","Keep as regression check before API run"
"target_scope","VERIFIED_LOCAL","7 Family/Divorce clean upload targets are configured","Use output before URL migration decisions"
"protected_scope","VERIFIED_LOCAL","18 protected source or asset paths are configured from the live pre-upload guard","Protect any path with clicks or impressions"
"query_scope","VERIFIED_LOCAL","18 Hebrew/English Family/Divorce query terms are configured","Review query/page rows for cannibalization"
"outputs","READY","Runner will write family-divorce pages query-page cannibalization protected-sources and summary outputs under reports/gsc/family-divorce-YYYY-MM-DD","Attach outputs to next Family/Divorce risk map"
"api_export","BLOCKED","Actual Search Console API export not run because owner credential rotation/local path is still pending","Owner sets GSC_OAUTH_CLIENT_PATH and GSC_TOKEN_PATH then runs export"
"url_migration","BLOCKED","No redirect canonical noindex or sitemap decision is approved by this runner until real GSC rows are reviewed","Use export to decide protected old URLs and duplicates"
"safety","VERIFIED_LOCAL","No public CMS database URL redirect canonical noindex taxonomy sitemap lawyer lead CRM payment GA4 GSC wp-admin or uPress change","Proceed only with read-only GSC export when credentials are ready"
