item_id,cluster_lane,current_url_or_reference,current_role,recommended_action,merge_or_protect_targets,internal_link_posture,sitemap_posture,approval_status,notes
MEDMAL-READY-001,commercial-pillar,https://jus-tice.co.il/medical-malpractice-lawyer/,clean commercial pillar candidate,DUPLICATE_IDENTITY_REVIEW_THEN_COMPARE,REST ID 11607; REST ID 1130; fee article; birth/pregnancy page,hub to approved malpractice supports after identity review,INCLUDE_AFTER_DUPLICATE_LEGAL_REVIEW,OWNER_APPROVAL_REQUIRED,Do not edit until authoritative CMS state is understood.
MEDMAL-READY-002,duplicate-state,REFERENCE:MEDMAL-DUPLICATE-SAME-URL-001,two records same public URL,CMS_IDENTITY_REVIEW_REQUIRED,/medical-malpractice-lawyer/,internal links should point only to final approved public state,HOLD_UNTIL_RESOLVED,OWNER_APPROVAL_REQUIRED,Not a redirect task yet; this is CMS/source identity review.
MEDMAL-READY-003,fee-cost,REFERENCE:MEDMAL-FEE-GSC-001,fee article visible for main lawyer query,PROTECT_COMPARE_SUPPORT_OR_MERGE_LATER,/medical-malpractice-lawyer/,support link to pillar after approval,PROTECT_UNTIL_MIGRATION_APPROVED,OWNER_APPROVAL_REQUIRED,145 impressions visible for main query in owner packet.
MEDMAL-READY-004,birth-pregnancy,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,old Hebrew birth/pregnancy query owner,PROTECT_COMPARE_SPLIT_OR_MERGE_LATER,/medical-malpractice-lawyer/; future birth/pregnancy slugs,link to pillar only after split plan,PROTECT_UNTIL_MIGRATION_APPROVED,OWNER_APPROVAL_REQUIRED,661 birth and 419 pregnancy impressions in owner packet.
MEDMAL-READY-005,international-boundary,https://jus-tice.co.il/medical-malpractice-in-the-united-states/,US malpractice article,SEPARATE_INTERNATIONAL_CONTEXT,Israeli medical-malpractice pillar,do not use as Israeli service support,EXCLUDE_FROM_ISRAELI_SERVICE_SITEMAP,OWNER_APPROVAL_REQUIRED,Keep separate from Israeli lawyer-service intent.
MEDMAL-READY-006,anesthesia-support,https://jus-tice.co.il/anesthesia-medical-malpractice/,anesthesia support page,KEEP_SUPPORT_SOURCE_REVIEW,/medical-malpractice-lawyer/; surgery support,link from pillar and surgery page after legal review,INCLUDE_IF_UNIQUE_AND_REVIEWED,OWNER_APPROVAL_REQUIRED,High-risk medical/legal support page.
MEDMAL-READY-007,surgery-support,https://jus-tice.co.il/personal-injury/medical-malpractice/surgery/,nested surgery support page,REVIEW_NESTED_URL_AND_SUPPORT_ROLE,/medical-malpractice-lawyer/; surgical-errors page,link only after URL/canonical role approved,HOLD_UNTIL_URL_STRATEGY_APPROVED,OWNER_APPROVAL_REQUIRED,Nested personal-injury path needs migration/canonical review.
MEDMAL-READY-008,surgery-support,https://jus-tice.co.il/surgical-errors-medical-malpractice/,thin surgery support page,EXPAND_AFTER_SOURCE_REVIEW,/medical-malpractice-lawyer/; anesthesia page,link from pillar if expanded,INCLUDE_IF_EXPANDED_AND_REVIEWED,OWNER_APPROVAL_REQUIRED,Do not create future surgery slug yet.
MEDMAL-READY-009,definition-support,https://jus-tice.co.il/medical-malpractice-vs-negligence-differences-israel/,definition/comparison support,KEEP_INFORMATIONAL_SUPPORT,/medical-malpractice-lawyer/; definition page,link as concept support only,INCLUDE_IF_UNIQUE_AND_REVIEWED,OWNER_APPROVAL_REQUIRED,Informational not commercial primary.
MEDMAL-READY-010,definition-support,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,definition/examples page,KEEP_INFORMATIONAL_SUPPORT,/medical-malpractice-lawyer/,link to pillar and common-errors support,INCLUDE_IF_UNIQUE_AND_REVIEWED,OWNER_APPROVAL_REQUIRED,Must not duplicate pillar title intent.
MEDMAL-READY-011,common-errors-support,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,thin common-errors support,EXPAND_AFTER_SOURCE_REVIEW,/medical-malpractice-lawyer/; definition page,link after expansion,INCLUDE_IF_EXPANDED_AND_REVIEWED,OWNER_APPROVAL_REQUIRED,Marked thin/support in owner packet.
MEDMAL-READY-012,birth-support,https://jus-tice.co.il/birth-injury/,birth injury support,KEEP_SUPPORT_COMPARE,/medical-malpractice-lawyer/; old birth/pregnancy page,link to final birth/pregnancy parent after approval,INCLUDE_IF_UNIQUE_AND_REVIEWED,OWNER_APPROVAL_REQUIRED,Potential support under birth malpractice.
MEDMAL-READY-013,birth-support,https://jus-tice.co.il/birth-injury-lawyer/,birth injury lawyer support,KEEP_SUPPORT_COMPARE,/birth-injury/; future birth-malpractice slug,link only after parent/support role approved,INCLUDE_IF_UNIQUE_AND_REVIEWED,OWNER_APPROVAL_REQUIRED,May compete with future birth-malpractice slug.
MEDMAL-READY-014,birth-support,https://jus-tice.co.il/birth-injury-causes/,thin birth-injury causes page,MERGE_OR_EXPAND_AFTER_REVIEW,/birth-injury/,section link if kept,HOLD_UNTIL_SPLIT_REVIEW,OWNER_APPROVAL_REQUIRED,Do not overstate medical causation.
MEDMAL-READY-015,birth-support,https://jus-tice.co.il/brain-damage-at-birth/,brain damage at birth support,KEEP_SUPPORT_SOURCE_REVIEW,/birth-injury/; old birth/pregnancy page,link only after legal/medical review,INCLUDE_IF_UNIQUE_AND_REVIEWED,OWNER_APPROVAL_REQUIRED,Sensitive causation claims.
MEDMAL-READY-016,birth-support,https://jus-tice.co.il/malpractice-cerebral-palsy/,cerebral palsy malpractice support,KEEP_SUPPORT_SOURCE_REVIEW,/birth-injury/; old birth/pregnancy page,link only after legal/medical review,INCLUDE_IF_UNIQUE_AND_REVIEWED,OWNER_APPROVAL_REQUIRED,Sensitive causation claims.
MEDMAL-READY-017,report-background,REFERENCE:MEDMAL-REPORT-LARGE-001,very large report-style page,SOURCE_COPYRIGHT_INDEX_REVIEW,/medical-malpractice-lawyer/,do not use as pillar link target until reviewed,HOLD_UNTIL_SOURCE_COPYRIGHT_REVIEW,OWNER_APPROVAL_REQUIRED,Word count alone must not select pillar.
MEDMAL-READY-018,traffic-boundary,https://jus-tice.co.il/standards-of-medical-fitness-to-drive/,Marvad/traffic medical fitness page,EXCLUDE_FROM_MALPRACTICE_CLUSTER,traffic-law Marvad group,link only from traffic/Marvad cluster,EXCLUDE_FROM_MALPRACTICE_SITEMAP,VERIFIED_BOUNDARY,Traffic law not malpractice.
MEDMAL-READY-019,traffic-boundary,https://jus-tice.co.il/medical-institute-for-road-safety/,Marvad info page,EXCLUDE_FROM_MALPRACTICE_CLUSTER,traffic-law Marvad group,link only from traffic/Marvad cluster,EXCLUDE_FROM_MALPRACTICE_SITEMAP,VERIFIED_BOUNDARY,Traffic law not malpractice.
MEDMAL-READY-020,traffic-boundary,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,Marvad info page,EXCLUDE_FROM_MALPRACTICE_CLUSTER,traffic-law Marvad group,link only from traffic/Marvad cluster,EXCLUDE_FROM_MALPRACTICE_SITEMAP,VERIFIED_BOUNDARY,Traffic law not malpractice.
MEDMAL-READY-021,criminal-boundary,https://jus-tice.co.il/criminal-negligence/,criminal negligence page,EXCLUDE_FROM_MALPRACTICE_CLUSTER,criminal-law group,link only from criminal cluster,EXCLUDE_FROM_MALPRACTICE_SITEMAP,VERIFIED_BOUNDARY,Criminal law not medical malpractice.
MEDMAL-READY-022,manual-review-boundary,https://jus-tice.co.il/legal-clinic/,legal clinic page,EXCLUDE_PENDING_MANUAL_REVIEW,site/service info,do not use as malpractice support unless reclassified,EXCLUDE_FROM_MALPRACTICE_SITEMAP,OWNER_APPROVAL_REQUIRED,Low-word-count unrelated support risk.
MEDMAL-READY-023,future-slugs,FUTURE:/birth-malpractice/; /pregnancy-malpractice/; /diagnosis-malpractice/; /surgery-malpractice/,future clean support slugs,FUTURE_ONLY_UNTIL_SPLIT_APPROVED,current support pages and old Hebrew URLs,no internal links until route/content/redirect plan approved,EXCLUDE_UNTIL_APPROVED,OWNER_APPROVAL_REQUIRED,Do not publish clean duplicates before current URL comparison.
