"decision_id","decision_area","recommended_owner_decision","primary_url_or_target","supporting_evidence","risk","blocked_actions","next_owner_action","status"
"RE-OWNER-001","current primary","Use current no-URL-change planning primary","https://jus-tice.co.il/real-estate-attorney/","Current live 200 page with title H1 self-canonical; safest commercial candidate while future slug is unsafe","MEDIUM","No title H1 meta content URL redirect canonical sitemap or internal-link execution","Approve this as working primary or name another current URL","OWNER_REVIEW_REQUIRED"
"RE-OWNER-002","future clean slug","Keep future-only until route and migration planning are fixed","https://jus-tice.co.il/real-estate-lawyer/","Live route returns 200 OK but fetched response has no title H1 canonical marker or visible body sample","HIGH","No sitemap internal links redirects canonicals or related cards to this URL","Approve route/CMS audit before use","BLOCKED_FUTURE_ONLY"
"RE-OWNER-003","cost support","Protect as support not pillar","https://jus-tice.co.il/real-estate-lawyer-cost-2025/","High visible GSC support impressions for sale-lawyer apartment-buying and sale-agreement variants","HIGH","No redirect canonical noindex title rewrite or blind merge","Approve protected support role","OWNER_REVIEW_REQUIRED"
"RE-OWNER-004","Hebrew fee page","Keep in merge-review only","Hebrew fee page","Large fee page likely overlaps cost page; direct page GSC still needed","UNKNOWN","No merge redirect or title decision","Approve cost/fee side-by-side review","OWNER_REVIEW_REQUIRED"
"RE-OWNER-005","broad property laws","Keep as support or merge-review not primary","https://jus-tice.co.il/israeli_land_and_property_laws/","Title/H1 includes broad real-estate lawyer language and may compete; proposed migration target currently unsafe","HIGH","No migration to /real-estate-lawyer/ yet","Approve repositioning/comparison review","OWNER_REVIEW_REQUIRED"
"RE-OWNER-006","buying apartment future slug","Keep future-only and do not link yet","https://jus-tice.co.il/buying-apartment/","Live route resolves to homepage content with homepage canonical; duplicate target risk exists","HIGH","No internal links sitemap redirects or canonicals to this URL","Approve buying-apartment comparison pack","BLOCKED_FUTURE_ONLY"
"RE-OWNER-007","sale agreement future slug","Keep future-only and do not link yet","https://jus-tice.co.il/real-estate-purchase-agreement/","Live route resolves to homepage content with homepage canonical; support pages need source/legal review","HIGH","No internal links sitemap redirects or canonicals to this URL","Approve sale-agreement comparison pack","BLOCKED_FUTURE_ONLY"
"RE-OWNER-008","registry tax rental contractor support","Keep as support lanes not broad pillars","registry tax rental contractor defect urban renewal URLs","Registry pages thin/overlap; huge procedure page extreme length; tax/rental/contractor need legal source review","MEDIUM","No bulk rewrite merge noindex redirect or sitemap decision","Approve support roles and legal/source gates","OWNER_REVIEW_REQUIRED"
"RE-OWNER-009","international property boundary","Separate international property from Israeli lawyer service","https://jus-tice.co.il/buying-property-in-greece/ and related overseas property URLs","Long/high-quality international pages are not local Israeli real-estate lawyer intent","MEDIUM","No related-card or internal-link mixing with local service pages unless manually approved","Approve separate international-property cluster","OWNER_REVIEW_REQUIRED"
"RE-OWNER-010","internal links","Do not execute live links yet; next plan can be approval-gated","safe current URLs only","Future routes are unsafe; if planning proceeds use /real-estate-attorney/ as temporary primary and mark future slugs blocked","HIGH","No live internal-link related-card menu breadcrumb or homepage changes","Approve whether to build PLANNED_NEEDS_OWNER_APPROVAL internal-link map","OWNER_REVIEW_REQUIRED"
