review_id,section,current_private_material,legal_editor_decision,accepted_values,required_edits_no_pii,source_boundary_notes,final_text_or_instruction_no_pii,reviewer_name_or_role,review_date,public_go_if_blank
TA-LEGAL-01,title_h1_and_route_role,עורך דין גירושין בתל אביב | עמוד עזר מקומי ותמציתי שמפנה לעמוד הגירושין המרכזי ואינו מנסה להיות מדריך גירושין מלא.,,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-02,intro_opening,"טיוטת עבודה פרטית: אם אתם מחפשים עורך דין גירושין בתל אביב, העמוד הזה אמור לעזור להבין אילו שאלות ומסמכים כדאי להכין לפני פנייה מסודרת. הוא לא מחליף ייעוץ משפטי, ולא אמור להתחרות במדריך הגירושין המרכזי של Jus-Tice.",,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-03,preparation_checklist,"פרטי הצדדים והילדים, מסמכי הליכים קיימים אם יש, הסכמות או מחלוקות מרכזיות, מסמכים כלכליים בסיסיים, מועדי דיון או פניות קודמות, ושאלות שהגולש רוצה לברר מול עורך דין.",,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-04,lawyer_fit_trigger,"כאשר יש הליך פתוח, מועד קרוב, מחלוקת משמעותית או צורך להבין התאמה לעורך דין בתחום המשפחה בעיר או בסביבה.",,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-05,internal_links_and_cta_boundaries,/divorce-lawyer/ as primary pillar | /lawyers/?city=tel-aviv&area=family-law as canonical filtered lawyer path | /lawyers/?city=tel-aviv&practice=family-law as unsupported alias for QA only | no new internal links until owner/SEO review,,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-06,faq_candidates,איך יודעים אם צריך עורך דין גירושין מקומי? | אילו מסמכים כדאי להכין לפני פנייה? | מתי לקרוא קודם את מדריך הגירושין המרכזי?,,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-07,official_source_boundaries,קבלת תעודת גירושין - בתי הדין הרבניים: source prompt for official-document language and evidence checklist only | בקשה לסיוע משפטי - סיוע משפטי: source prompt for eligibility-sensitive wording and urgent-family-matter caveats | יחידות הסיוע ליד בתי המשפט ובתי הדין: source prompt for non-adversarial family-dispute context,,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-08,competitor_source_boundaries,"מורן גוהר - עורך דין גירושין בתל אביב: SERP positioning reference: competitor pages lead with credentials, family-court experience and local service framing | מאיה רוטנברג - עורך דין גירושין: SERP positioning reference: competitor pages often use experience, process reassurance and city coverage",,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-09,protected_route_overlap,"11 associated route(s), 5 high-risk route(s) protected.",,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-10,lawyer_coverage_language,3 visible card rows; 2 public-basic/claim-flow rows still need owner/admin verification.,,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-11,gsc_dependency_and_query_scope,144 focused GSC paste rows prepared; exact local cache rows remain 0.,,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
TA-LEGAL-12,final_disclaimer_and_forbidden_claims,"GSC query/page evidence, internal overlap check, filtered lawyer count, legal/editor review, owner approval, and no public-exposure accident.",,approve / revise / reject / needs_gsc / needs_owner_admin / needs_owner_scope,,,,,,no
