"type","id_or_index","title_or_label","url_or_status","notes"
"cms_rest_profile","20551","טוען רבני ומגשר ישראל בן ברוך","https://jus-tice.co.il/lawyers/public-basic-israel-ben-baruch-rabbinical-mediator/","public-basic-israel-ben-baruch-rabbinical-mediator"
"cms_rest_profile","20550","טוען רבני דוד חסן","https://jus-tice.co.il/lawyers/public-basic-david-hassan-rabbinical-advocate/","public-basic-david-hassan-rabbinical-advocate"
"cms_rest_profile","20549","טוען רבני ומגשר אלחנן רבינסקי","https://jus-tice.co.il/lawyers/public-basic-elhanan-rabinsky-rabbinical-mediator/","public-basic-elhanan-rabinsky-rabbinical-mediator"
"cms_rest_profile","20548","דוד עשור טוען רבני ומגשר","https://jus-tice.co.il/lawyers/public-basic-david-asor-rabbinical-mediator/","public-basic-david-asor-rabbinical-mediator"
"cms_rest_profile","20547","אברג׳ל נסים &#8211; טוען רבני ומגשר משפטי","https://jus-tice.co.il/lawyers/public-basic-nissim-abergel-rabbinical-mediator/","public-basic-nissim-abergel-rabbinical-mediator"
"cms_rest_profile","20546","עורכת דין הילה וינטרוב","https://jus-tice.co.il/lawyers/public-basic-hila-weintraub/","public-basic-hila-weintraub"
"cms_rest_profile","20545","משרד עורכי דין פורטנוי ליס כלפה ושות׳","https://jus-tice.co.il/lawyers/public-basic-portnoy-lis-kalfa/","public-basic-portnoy-lis-kalfa"
"cms_rest_profile","20544","משרד עורכי דין יצחקי פריד","https://jus-tice.co.il/lawyers/public-basic-yitzhaki-frid/","public-basic-yitzhaki-frid"
"cms_rest_profile","20543","עורכת דין ומגשרת מיטל יעקובי","https://jus-tice.co.il/lawyers/public-basic-meital-yaakobi/","public-basic-meital-yaakobi"
"cms_rest_profile","20542","עורכת דין דנה נחום בוסקילה","https://jus-tice.co.il/lawyers/public-basic-dana-nahum-buskila/","public-basic-dana-nahum-buskila"
"cms_rest_profile","20541","עו&quot;ד גילה עיני נוטריון מגשרת","https://jus-tice.co.il/lawyers/public-basic-gila-eini/","public-basic-gila-eini"
"cms_rest_profile","20540","אביטל רבינוביץ","https://jus-tice.co.il/lawyers/public-basic-avital-rabinovich/","public-basic-avital-rabinovich"
"cms_rest_profile","20539","מורן גוהר","https://jus-tice.co.il/lawyers/public-basic-moran-gohar/","public-basic-moran-gohar"
"cms_rest_profile","20538","ד&quot;ר איריס טרומן","https://jus-tice.co.il/lawyers/public-basic-iris-truman/","public-basic-iris-truman"
"cms_rest_profile","20537","איל בר-לב","https://jus-tice.co.il/lawyers/public-basic-eyal-barlev/","public-basic-eyal-barlev"
"cms_rest_profile","20536","טלי בן יקיר","https://jus-tice.co.il/lawyers/public-basic-tali-ben-yakir/","public-basic-tali-ben-yakir"
"cms_rest_profile","20535","שמואל גרוס","https://jus-tice.co.il/lawyers/public-basic-shmuel-gross/","public-basic-shmuel-gross"
"cms_rest_profile","20534","מארי שני עשהאל","https://jus-tice.co.il/lawyers/public-basic-mari-shani-asael/","public-basic-mari-shani-asael"
"cms_rest_profile","20533","שלמה פרידמן","https://jus-tice.co.il/lawyers/public-basic-shlomo-friedman/","public-basic-shlomo-friedman"
"cms_rest_profile","19130","עו&quot;ד מאיה רוטנברג","https://jus-tice.co.il/lawyers/advocate-maya-rotenberg/","advocate-maya-rotenberg"
"visible_directory_card","1","עמ עו&quot;ד מאיה רוטנברג תל אביב · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור בעל הפרופיל. פרטי רקע","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","2","טר טוען רבני ומגשר ישראל בן ברוך כרטיס בסיסי פתח תקווה · בית הדין הרבני · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינ","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","3","טר טוען רבני דוד חסן כרטיס בסיסי פתח תקווה · בית הדין הרבני · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מק","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","4","טר טוען רבני ומגשר אלחנן רבינסקי כרטיס בסיסי ירושלים · בית הדין הרבני · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","5","דע דוד עשור טוען רבני ומגשר כרטיס בסיסי ירושלים · בית הדין הרבני · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדי","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","6","אנ אברג׳ל נסים &#8211; טוען רבני ומגשר משפטי כרטיס בסיסי בני ברק · בית הדין הרבני · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
"visible_directory_card","7","עד עורכת דין הילה וינטרוב כרטיס בסיסי תל אביב · גירושין · דיני משפחה פרטי הרקע, הניסיון והביקורות בכרטיס הזה ממתינים לבדיקת מקורות או לאישור","https://jus-tice.co.il/lawyers/?justice_readonly=1","Rendered from live /lawyers/ page"
