lawyer_name,practice,city,phone,email,whatsapp,source,stage,next_touch_date,objection,proposed_offer,payment_link_sent,paid,notes
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
,,,,,,,Target,,,,No,No,
