decision_id,target_group,current_urls_or_refs,owner_decision_needed,recommended_posture,ready_for_upload,blocked_until,notes
FD-OWNER-001,divorce pillar,/divorce-lawyer/; REFERENCE:DIVORCE-OLD-HEBREW-GSC-001,Approve side-by-side comparison and primary role,Use /divorce-lawyer/ as current pillar candidate after old URL comparison,NO,OWNER_LEGAL_REVIEW_AND_OLD_URL_COMPARISON,Old Hebrew URL owns visible commercial query demand
FD-OWNER-002,document risks,divorce PDF; mediation DOCX,Approve document strategy before removal noindex redirect or replacement,Protect visible document URLs until strategy approved,NO,DOCUMENT_STRATEGY_AND_OWNER_APPROVAL,PDF and DOCX have GSC visibility
FD-OWNER-003,consensual divorce support,/consensual-divorce/ plus agreement duplicate set,Approve support role and merge-review lane,Keep as clean low-conflict agreement support page,NO,SOURCE_LEGAL_REVIEW_AND_DUPLICATE_COMPARISON,Agreement/template pages need disclaimers and freshness review
FD-OWNER-004,divorce mediation support,/divorce-mediation/ plus mediation legacy pages and DOCX,Approve support role and DOCX comparison,Keep as clean mediation support page,NO,DOCX_STRATEGY_AND_SOURCE_LEGAL_REVIEW,DOCX currently owns more visible mediation demand than clean page
FD-OWNER-005,child support support,/child-support/ plus calculator and case-law assets,Approve guide/tool split and protected calculator strategy,Keep clean guide candidate but protect calculator URL,NO,CALCULATOR_STRATEGY_AND_LEGAL_REVIEW,Calculator URL owns visible child-support/calculation demand
FD-OWNER-006,child custody support,/child-custody/ plus what-is article PDF and sole-mother case URL,Approve guide/article/PDF/case split,Keep clean guide candidate but protect GSC-visible article/PDF/case URL,NO,DOCUMENT_CASE_STRATEGY_AND_LEGAL_REVIEW,Custody article/PDF and case URL carry query demand
FD-OWNER-007,property division support,/divorce-property-division/ plus property/pension/ketubah case pages,Approve support role and case/context link rules,Keep as property division support guide after duplicate review,NO,SOURCE_LEGAL_REVIEW_AND_CASE_POLICY,Large case pages must not become broad pillar by word count
FD-OWNER-008,family dispute resolution support,/family-dispute-resolution/ plus request/form/policy pages,Approve support role and cannibalization review,Keep as dispute-resolution support after old page comparison,NO,CANNIBALIZATION_REVIEW_AND_SOURCE_LEGAL_REVIEW,Direct old dispute pages need comparison
FD-OWNER-009,cost and consultation support,/divorce-costs-2025/; /strategic-divorce-cost-planning/; /divorce-consultation-guide/,Approve cost/freshness and consultation support role,Use as support only after date/source review,NO,PRICE_FRESHNESS_AND_LEGAL_REVIEW,Cost claims are sensitive and date dependent
FD-OWNER-010,broad family-law hub,/family-law/; future /family-lawyer/; broad family lawyer articles,Approve hub strategy separate from divorce pillar,Keep broad hub separate and do not overload divorce pillar,NO,HUB_TEMPLATE_CONTENT_AND_OWNER_APPROVAL,Family-lawyer intent is separate from divorce-lawyer intent
FD-OWNER-011,ranking trust lawyer articles,recommended/top/trusted family-divorce articles,Approve compliance policy before use,Exclude from trust signals until real rules and data exist,NO,COMPLIANCE_PROFILE_AND_REVIEW_POLICY,No fake recommended top trusted or verified claims
FD-OWNER-012,Maya Rotenberg profile,REFERENCE:MAYA-ROTENBERG-PROFILE-001; Maya ranking-style article,Approve separate mini-site/profile/reputation review,Connect only verified facts after mini-site approval,NO,MAYA_PROFILE_REPUTATION_AND_COMPLIANCE_REVIEW,No fake reviews ratings badges top-ranked claims or unverified profile claims
FD-OWNER-013,boundaries and future work,city divorce pages; lawyer career; LegalTech family pages; AI trends,Approve exclusions and future-only status,Exclude from current crisis/help upload batch,NO,CITY_PRODUCT_EDITORIAL_STRATEGY,Prevents wrong-funnel internal links and unavailable product promises
