"decision_id","area","current_url","current_status","evidence","recommended_action","owner_approval_question","approval_status","blocked_actions","notes"
"CHILD-CUSTODY-PRIMARY-001","child-custody-primary","https://jus-tice.co.il/child-custody/","Published exact clean URL; 2397 words; quality heuristic 7/10","slug-conflict-review shows 12 conflict rows; GSC visible demand did not map to this page","COMPARE_AS_PRIMARY_CANDIDATE_NO_URL_CHANGE","Should /child-custody/ be compared as the near-term public guide while protecting current GSC-visible URLs?","OWNER_APPROVAL_REQUIRED","No title H1 meta content slug redirect canonical sitemap or CMS edit until approved","Likely guide candidate but not yet proven as GSC primary."
"CHILD-CUSTODY-CURRENT-ARTICLE-001","current-gsc-visible-article","https://jus-tice.co.il/what-is-child-custody/","Current visible article for broad custody query","GSC browser evidence: 400 impressions for משמורת ילדים on this URL","PROTECT_COMPARE_DO_NOT_TOUCH","Approve protecting and comparing this URL before any /child-custody/ consolidation?","OWNER_APPROVAL_REQUIRED","No redirect noindex overwrite title H1 or canonical change","This URL currently receives more broad custody impressions than /child-custody/."
"CHILD-CUSTODY-PDF-001","document-url-risk","https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf","Indexed PDF with visible GSC impressions","GSC browser evidence: 297 impressions for משמורת ילדים on the PDF","DOCUMENT_STRATEGY_REQUIRED","Approve creating a PDF/document strategy before any redirect noindex deletion or replacement?","OWNER_APPROVAL_REQUIRED","No PDF deletion redirect robots change noindex sitemap removal or media replacement","Document handling must be planned before URL migration."
"CHILD-CUSTODY-SOLE-MOTHER-001","case-law-support","https://jus-tice.co.il/משמורת-בלעדית-לאם-ושיתופיות-יחסית-במסגרת-איזון-משאבים-תלהמ-37049-07-18/","Old Hebrew case-law URL with position 5-20 evidence","GSC browser evidence: 107 impressions and average position 9.6 for משמורת בלעדית לאם","PROTECT_KEEP_AS_CASE_SUPPORT","Approve protecting this URL as case-support before any merge or redirect?","OWNER_APPROVAL_REQUIRED","No redirect noindex deletion title H1 content or canonical change","High-position sub-intent URL should not be collapsed blindly."
"CHILD-CUSTODY-CONFLICTS-001","conflict-group","ALL_CHILD_CUSTODY_CONFLICT_URLS","12 conflict rows","slug-conflict-review and url-migration-map show multiple custody pages mapped to child-custody","COMPARE_CONFLICT_ROWS_BEFORE_MERGE","Approve side-by-side comparison of all conflict rows before merge/support decisions?","OWNER_APPROVAL_REQUIRED","No merge redirect slug change sitemap or noindex action","Old useful content should be merged or linked carefully later."
"CHILD-CUSTODY-MODIFICATION-001","support-page","https://jus-tice.co.il/child-custody-modification/","Existing clean support URL; 1221 words; quality heuristic 7/10","content-quality-audit marks KEEP_OR_SUPPORT_PILLAR_REVIEW","KEEP_AS_SUPPORT_REVIEW","Approve keeping custody modification as support rather than duplicating the primary?","OWNER_APPROVAL_REQUIRED","No public content edit until source/legal review","Could link to the primary after approval."
"CHILD-CUSTODY-TENDER-YEARS-001","support-page","https://jus-tice.co.il/tender-years-mother-custody-child-age-under-6/","Existing support URL; 628 words; thin","content-quality-audit marks EXPAND; source audit requires legal review for חזקת הגיל הרך","LEGAL_REVIEW_BEFORE_EXPANSION","Approve legal review before any expansion of tender-years content?","OWNER_APPROVAL_REQUIRED","No expansion title H1 schema or legal claim changes yet","Sensitive topic and not safe for quick rewrite."
"CHILD-CUSTODY-SOURCE-LEGAL-001","source-legal-review","project-control/child-custody-source-audit.csv","Source audit exists with verify/lawyer-review flags","Source audit includes VERIFY_BEFORE_PUBLICATION and LAWYER_REVIEW_REQUIRED rows","LEGAL_REVIEW_BEFORE_PUBLIC_EDITS","Approve requiring source/legal checklist before any child-custody public edit?","OWNER_APPROVAL_REQUIRED","No terminology best-interest tender-years alienation relocation or urgent-risk claims without review","This is the main quality gate before editing."
"CHILD-CUSTODY-INTERNAL-LINKS-001","internal-links","https://jus-tice.co.il/child-custody/","Internal-link plan not final","Internal-link map shows child-custody connects to child support divorce mediation property division family dispute and family lawyer pages","PREPARE_INTERNAL_LINK_PLAN_AFTER_PRIMARY_CONFIRMATION","Approve preparing custody internal-link map after primary selection?","OWNER_APPROVAL_REQUIRED","Do not change menus breadcrumbs related articles body links or lawyer cards yet","Links should support family-law cluster without cannibalization."
"CHILD-CUSTODY-MIGRATION-001","url-migration-sitemap-redirect","ALL_CHILD_CUSTODY_CONFLICT_URLS_AND_PDF","URL and document migration not approved","GSC evidence shows article PDF and case-law URL risk; url-migration-map marks changes only after approval","NO_REDIRECT_OR_SITEMAP_CHANGE_NOW","Approve keeping all custody URL and document migration actions blocked until maps are complete?","OWNER_APPROVAL_REQUIRED","No redirect canonical sitemap noindex slug document deletion or CMS edit","Google should see no migration until the map is complete."
"CHILD-CUSTODY-PASS2-SOLE-MOTHER-001","gsc-pass-2-evidence","https://jus-tice.co.il/משמורת-בלעדית-לאם-ושיתופיות-יחסית-במסגרת-איזון-משאבים-תלהמ-37049-07-18/","Old Hebrew case-law URL with all visible pass-2 impressions for sole-mother custody intent","GSC pass 2: 107 impressions 0 clicks 0% CTR average position 9.6 for משמורת בלעדית לאם","PROTECT_AS_MIGRATION_RISK_AND_CASE_SUPPORT","Approve protecting this old case-law URL until side-by-side comparison source/legal review and final migration map are complete?","OWNER_APPROVAL_REQUIRED","No redirect noindex canonical sitemap title H1 meta content merge or deletion","Pass-2 evidence raises this from generic support content to explicit owner-review risk."
"CHILD-CUSTODY-PASS2-ZERO-ROWS-001","gsc-pass-2-zero-row-context","NONE_VISIBLE","Child-support modification/shared-custody variants showed no visible GSC rows in the same pass","GSC pass 2: מזונות משותפת הפחתת מזונות שינוי מזונות הלכת המזונות החדשה and בעמ 919/15 returned zero visible rows","KEEP_IN_SOURCE_SERP_REVIEW_NOT_GSC_PRIORITY","Approve keeping these variants as source/SERP review topics rather than URL-driven execution items?","OWNER_APPROVAL_REQUIRED","Do not create duplicate support pages or redirect custody/support URLs from zero-row filters alone","Zero visible GSC rows do not prove no demand; they only remove them as immediate GSC-driven priorities."
