row_type,id,item,status,evidence,next_action
local_parameter_gate,LOCAL-01,archive_reads_area_param,PASS,archive-justice_lawyer.php reads `area` as the practice-area filter parameter.,Use `area=family-law` for coverage evidence unless an alias is approved.
local_parameter_gate,LOCAL-02,archive_reads_practice_param,REVIEW_ALIAS_MISSING,The archive does not read `practice`; URLs using `practice=family-law` may not filter by practice.,Treat private packet directory evidence URL as needing correction or public alias fix review.
local_parameter_gate,LOCAL-03,private_packet_uses_practice_param,REVIEW_MISMATCH_FOUND,The latest divorce Tel Aviv evidence packet contains `practice=family-law` in the directory URL.,Correct the evidence gate to the canonical `area=family-law` route before publication review.
live_directory_route,DIR-01,/lawyers/?city=tel-aviv&practice=family-law,200,h1=עורכי דין בתל אביב; cards=3; chips=1; empty=false,Should represent Tel Aviv family-law coverage if practice is accepted as an alias.
live_directory_route,DIR-02,/lawyers/?city=tel-aviv&area=family-law,200,h1=עורך דין דיני משפחה בתל אביב; cards=3; chips=2; empty=false,Should represent the actual archive-supported Tel Aviv family-law filter.
live_directory_route,DIR-03,/lawyers/?city=tel-aviv,200,h1=עורכי דין בתל אביב; cards=3; chips=1; empty=false,Control route for Tel Aviv without practice filter.
live_directory_route,DIR-04,/lawyers/?area=family-law,200,h1=עורך דין דיני משפחה; cards=20; chips=1; empty=false,Control route for family-law without city filter.
comparison,CMP-01,practice_param_vs_city_only,REVIEW_PRACTICE_PARAM_BEHAVES_LIKE_CITY_ONLY,`practice=family-law` has the same H1/card-count/chip-count shape as the city-only control.,Do not use `practice=family-law` as proof of family-law coverage.
comparison,CMP-02,practice_param_vs_area_param,REVIEW_CANONICAL_AREA_DIFFERS,`area=family-law` produces a different page shape from `practice=family-law`.,Use the canonical `area=family-law` route for the coverage gate.
fix_plan,FIX-01,parameter_alias_review,PROPOSED_NOT_APPLIED,"Accept `practice` as a read-only alias for `area` in the lawyer directory filter, or update all internal/private planning URLs to use `area` only.",Requires owner approval for a public-facing code change and Hebrew public-change email workflow after deployment.
fix_plan,FIX-02,coverage_count_review,PROPOSED_NOT_APPLIED,Use only the canonical `area=family-law` filtered route when checking Tel Aviv family-law/divorce lawyer coverage.,Still needs wp-admin profile readiness review; public HTML card counts are not enough to prove routable paid/verified coverage.
fix_plan,FIX-03,draft_gate_update,PROPOSED_NOT_APPLIED,Update the divorce Tel Aviv public-draft gate template manually or in the next private packet to use `/lawyers/?city=tel-aviv&area=family-law` as the directory evidence URL.,"GSC, legal/editor and owner approval are still missing."
