"source_surface","old_url","old_status","new_url","new_status","reason","public_cms_changed"
"practice landing support links","/pregnancy-malpractice/","404","/anesthesia-medical-malpractice/","200","Replace dead clean support slug with verified live medical-malpractice support page.","NO"
"practice landing support links","/birth-malpractice/","404","/birth-injury/","200","Replace dead clean support slug with verified live birth-injury support page.","NO"
"topic cluster links","/birth-malpractice/","404","/birth-injury/","200","Stop homepage/topic users and Googlebot from following dead birth-malpractice path.","NO"
"topic cluster links","/pregnancy-malpractice/","404","/anesthesia-medical-malpractice/","200","Stop homepage/topic users and Googlebot from following dead pregnancy-malpractice path until route review.","NO"
"topic cluster links","/diagnosis-malpractice/","404","/what-is-medical-malpractice-definition-examples/","200","Replace dead diagnosis support path with verified informational support page.","NO"
"pillar draft seed","/pregnancy-malpractice/","404","/anesthesia-medical-malpractice/","200","Keep future seeded pillar metadata from reintroducing dead support URL.","NO"
"pillar draft seed","/birth-malpractice/","404","/birth-injury/","200","Keep future seeded pillar metadata from reintroducing dead support URL.","NO"
"pillar draft seed","/misdiagnosis/","NOT_CHECKED_THIS_CYCLE","/surgical-errors-medical-malpractice/","200","Use verified live surgery support page instead of unverified future slug.","NO"
"pillar draft seed","/medical-expert-opinion/","NOT_CHECKED_THIS_CYCLE","/what-is-medical-malpractice-definition-examples/","200","Use verified live definition/examples support page instead of unverified future slug.","NO"
"traffic-priority checker","N/A","N/A","mustNotInclude guard","N/A","Future live checks fail if dead support slugs appear in medical-malpractice route HTML.","NO"
