section,claim_or_content_need,source_type,source_url,verification_status,publication_action,notes
יישוב סכסוך וגישור פרטי,If no agreement is reached in family dispute resolution parties may turn to private mediation and request extension of delay-of-proceedings,official_gov,https://www.gov.il/he/service/asking_for_family_dispute_settlements,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result on 2026-05-10 includes the exact private mediation/extension language. gov.il direct checks may return 403; verify in browser before final citation."
הארכת עיכוב הליכים,Request to shorten or extend delay-of-proceedings period in family dispute procedure,official_gov,https://www.gov.il/he/service/suspension_or_extending_of_proceedings_period,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Useful for procedural section; confirm current terms in browser."
פתיחת יישוב סכסוך בבית הדין הרבני,Rabbinical court dispute-resolution procedure and assistance-unit context,official_gov,https://www.gov.il/he/service/opening-a-dispute-resolution-case,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Search result mentions therapeutic/support units and delay periods; use carefully."
סעד דחוף,Rabbinical urgent relief during delay-of-proceedings when waiting may cause real harm,official_gov,https://www.gov.il/he/service/request-for-urgent-relief,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Use for warning that urgent cases should not wait for normal mediation."
תביעת סכסוך משפחתי,Family dispute lawsuit after dispute-resolution meetings and no agreement/no desire for more mediation,official_gov,https://www.gov.il/he/service/filing-lawsuit-family-dispute,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Use for 'what if mediation fails' section."
אישור הסכם,Agreement approval between spouses after successful mediation/negotiation,official_gov,https://www.gov.il/he/service/couple-family-agreement,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Use only for agreement approval section; do not conflate mediation with approval."
עורך דין מגשר,Commercial explanation of lawyer-mediator value and mediation price factors,commercial_reference,https://www.midrag.co.il/Content/Tip/23038,VERIFIED_HTTP_200,VERIFY_DATE_AND_CONTEXT,"Direct PowerShell request returned 200. Search result cites 1,200-2,000 NIS plus VAT per hour; verify visible date/context before using price ranges."
גישור גירושין מחיר,Commercial price page for divorce mediation cost factors,commercial_reference,https://www.midrag.co.il/Content/Price/23369,VERIFIED_HTTP_200,VERIFY_DATE_AND_CONTEXT,"Direct PowerShell request returned 200. Use only with visible date and caveat; prices should not be evergreen claims."
הסכם גירושין מחיר,Commercial price page for divorce agreement cost factors,commercial_reference,https://www.midrag.co.il/Content/Price/20515,VERIFIED_HTTP_200,VERIFY_DATE_AND_CONTEXT,"Direct PowerShell request returned 200. Useful adjacent source; avoid making this page about agreement cost."
חיסיון בגישור,Confidentiality and privilege boundaries in mediation,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Draft intentionally avoids absolute confidentiality claim. Need legal review before publishing."
תפקיד מגשר,Boundary between neutral mediator and personal legal advice,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Requires lawyer review; avoid saying mediator gives personal legal advice."
פערי כוח,When mediation is unsuitable due to violence pressure economic control or hidden assets,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Article warns cautiously; add emergency/help resources if expanding."
FAQ schema,FAQ markup only if questions are visible on-page,structured_data_policy,,VERIFIED_IN_REPO,KEEP_POLICY,"Do not add FAQ schema unless visible FAQ remains in final CMS page."
