phase,step_id,task,files_or_surfaces,approval_required,verification,status,notes
preflight,HCI-001,Approve short-term homepage template authority,"front-page.php,page-home.php",YES,"Owner confirms front-page.php remains the live source for first batch",BLOCKED,"Do not switch to page-home.php blindly"
preflight,HCI-002,Approve homepage section order,"homepage-section-order-proposal-2026-05-11.md",YES,"Approved order is documented before editing",BLOCKED,"No public order change yet"
preflight,HCI-003,Approve curated pillar and fallback links,"homepage-curated-pillar-link-map-2026-05-11.csv",YES,"Each promoted URL is direct 200 or approved fallback",BLOCKED,"Do not promote slugs that resolve to homepage"
preflight,HCI-004,Confirm no-URL-change batch scope,"homepage-controlled-implementation-checklist-2026-05-11.md",YES,"Owner confirms no redirects canonicals sitemap noindex or URL edits",BLOCKED,"First batch must be reversible"
preflight,HCI-005,Capture baseline desktop and mobile screenshots,"public homepage",NO,"Screenshots saved before code edits",PLANNED,"Visible QA baseline"
preflight,HCI-006,Crawl current homepage links,"public homepage links",NO,"First-party http page_id hash and pillar links listed",PLANNED,"Use as before/after comparison"
preflight,HCI-007,Verify lawyer directory filters,"/lawyers/ and hero search",NO,"City and practice filters route to real behavior",PLANNED,"Needed before changing hero values"
implementation,HCI-008,Keep current title H1 meta unchanged,"front-page.php,SEO output",YES,"Diff contains no title H1 meta change unless separately approved",BLOCKED,"Protect existing broad GSC signal"
implementation,HCI-009,Keep front-page.php as first-batch template,"front-page.php,page-home.php",YES,"No blind template swap in diff",BLOCKED,"page-home.php remains future module source"
implementation,HCI-010,Replace raw taxonomy quick links with approved curated links,"front-page.php,practice-areas-grid.php",YES,"Homepage links match approved map",BLOCKED,"Avoid random/raw taxonomy ordering"
implementation,HCI-011,Correct hero search only after filter verification,"hero.php,/lawyers/",YES,"Search routes work on public site",BLOCKED,"No assumed city slug values"
implementation,HCI-012,Hide or replace empty featured-lawyer state,"featured-lawyers.php",YES,"No empty card block or fake lawyer data appears",BLOCKED,"Use real approved profiles only"
implementation,HCI-013,Replace latest-only article logic only after cluster approval,"latest-articles.php,content maps",YES,"Displayed guides match approved clusters",BLOCKED,"Do not make random article swaps"
implementation,HCI-014,Keep future LegalTech product sections gated,"page-home.php,front-page.php",YES,"No dead product CTA appears",BLOCKED,"Routes forms and analytics must be real first"
qa,HCI-015,Run PHP syntax checks,"changed PHP files",NO,"All changed PHP files pass syntax check",PLANNED,"Required before commit"
qa,HCI-016,Run whitespace/diff check,"repo diff",NO,"git diff --check passes",PLANNED,"Required before commit"
qa,HCI-017,Run secret/credential scan,"repo diff",NO,"No credentials added",PLANNED,"Required before commit"
qa,HCI-018,Run desktop and mobile visual QA,"public or local homepage",NO,"No overflow broken cards or layout shift",PLANNED,"Required before owner-visible completion"
qa,HCI-019,Verify no fake trust signals,"homepage lawyer/review/card areas",NO,"No fake ratings reviews badges phones or demo lawyers",PLANNED,"Required before deploy"
qa,HCI-020,Verify no URL migration side effects,"routes redirects canonicals sitemap robots",NO,"No route redirect canonical sitemap robots changes included",PLANNED,"Protect SEO value"
deploy,HCI-021,Commit approved homepage batch,"git commit",YES,"Single reversible commit exists",BLOCKED,"Only after owner approves execution"
deploy,HCI-022,Pull/deploy through approved uPress/Git path,"uPress/Git deployment",YES,"Public site reflects expected commit",BLOCKED,"Deployment path still needs reliable self-service or owner action"
postdeploy,HCI-023,Public link and screenshot verification,"jus-tice.co.il",NO,"Public desktop/mobile and links match approved scope",PLANNED,"Mark live verified only after deploy"
postdeploy,HCI-024,Monitor GSC and GA4 after launch,"GSC,GA4",NO,"No sudden indexing/link/behavior issues",PLANNED,"Measurement is delayed after crawl/user data"
