gap_id,topic,competitor_pattern,jus_tice_current_state,gap_level,required_action,status,next_step,evidence
FL-COMP-GAP-001,costs,"Competitors target divorce cost and agreement cost intent with cost pages, price framing and fee questions","Draft has qualitative cost section and cost FAQ but no owner-approved range/table",HIGH,"Add conservative cost module with fee types, external expenses and first-meeting cost questions","FIXED PLANNING / BLOCKED OWNER APPROVAL","Owner approves cost wording before CMS upload","Search result evidence: Sayag cost page, Midrag price page, Gertel agreement guide"
FL-COMP-GAP-002,court_process,"Competitors separate rabbinical court, family court, conflict-settlement and agreement paths","Draft covers process but can be clearer as a step-by-step path",MEDIUM,"Add process decision path for agreement, mediation, litigation, urgent motions and approval/enforcement","FIXED PLANNING","Add to draft package before owner upload approval","Stroosky and HHLaw navigation/process coverage"
FL-COMP-GAP-003,faqs,"Competitors and directories commonly use FAQ blocks","Draft includes FAQ but live/schema QA is not complete",MEDIUM,"Preserve FAQ and verify FAQPage schema after deploy/live cleanup","BLOCKED LIVE QA","Run schema QA after route cleanup and approved upload","Internal draft and live QA packets"
FL-COMP-GAP-004,documents_templates,"Competitors surface documents/templates; agreement pages answer practical preparation questions","Document checklist exists but live agreement page exposes raw shortcode and missing PDF",CRITICAL,"Fix raw shortcodes, remove or verify PDF promise, add document checklist and template policy","BLOCKED LIVE QA","Repair /divorce-agreement/ after owner approval and rollback backup","family-law-live-safety-check 2026-05-22; Gertel agreement guide"
FL-COMP-GAP-005,mediation,"Competitors expose mediation as a dedicated path and differentiator","/divorce-mediation/ draft passes static QA but live H1 issue remains",MEDIUM,"Repair H1 and add when mediation is unsafe decision block","BLOCKED LIVE QA","Repair visible defects before upload","HHLaw mediation navigation; Rotenberg mediation positioning"
FL-COMP-GAP-006,children_support_custody,"Competitors prominently cover custody, shared custody, time arrangements and child support","Child support and custody drafts pass static QA; live H1 issues remain",MEDIUM,"Repair live H1s and add parent-focused decision tables","BLOCKED LIVE QA","Repair after approval and rerun safety checker","HHLaw and Rotenberg topic coverage"
FL-COMP-GAP-007,agreements,"Competitors split divorce agreements, financial agreements and approval/change-risk guidance","Consensual divorce draft exists; /divorce-agreement/ live has shortcode/PDF blockers",HIGH,"Add clauses, approval, enforcement/change-risk and PDF/template caution","BLOCKED LIVE QA","Fix agreement page before treating cluster as upload-ready","Gertel agreement guide; Stroosky/HHLaw agreement navigation"
FL-COMP-GAP-008,lawyer_connection,"Direct firms show named lawyer authority; directories convert through lawyer lists/reviews","Maya mini-site readiness exists but live route/schema/screenshots are blocked",HIGH,"Connect lawyer cards only after verified lawyer profile and approved facts","BLOCKED LIVE QA","Verify Maya route before adding public lawyer-card CTA","Maya readiness packet; competitor named-authority pages"
FL-COMP-GAP-009,ctas,"Competitors use consultation booking, WhatsApp/phone and direct lead CTAs","Draft has general help section but live lead/form routing needs QA",MEDIUM_HIGH,"Add restrained CTA blocks for matching, urgent-risk warning and consultation prep","BLOCKED LIVE QA","After deploy, verify lead forms and routing before public CTA expansion","Competitor pages and lead-area vocabulary safety packet"
FL-COMP-GAP-010,structure,"Competitors use deep navigation, guide pages, FAQs and topic clusters","Seven-page cluster is structured and static-QA pass; live duplicate H1/canonical blockers remain",HIGH,"Keep first seven-page cluster but block upload until visible repair and GSC decision","BLOCKED PUBLIC EXECUTION","Repair live defects, run GSC export, then owner approves rows","Upload readiness dashboard and live safety checker"
FL-COMP-GAP-011,eeat,"Competitors show named lawyers, experience and authority signals","Authority governance exists; Maya Person path not live verified",MEDIUM_HIGH,"Use only verified facts; do not invent awards, reviews or rankings","BLOCKED LIVE QA","Verify Maya/authority schema after deploy","Authority/Maya readiness packets"
FL-COMP-GAP-012,tools_calculators,"Directories/cost pages use tools and cost calculators to win practical intent","No verified Family calculator/tool in first upload package",OPPORTUNITY,"Backlog child-support or cost estimator as post-upload enhancement","NOT FIRST_UPLOAD BLOCKER","Add to post-upload roadmap after base cluster is clean","Existing competitor deep analysis and Midrag cost intent"
