"checked_at","status","source_type","request_url","http_status","final_url","title","occurrence_type","occurrence_url","attribute","suspected_source","remediation_lane","context","notes"
"2026-05-11T11:07:18","VERIFIED","sitemap_index","https://jus-tice.co.il/sitemap_index.xml","200","https://jus-tice.co.il/sitemap_index.xml","","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
"2026-05-11T11:07:20","VERIFIED","sitemap_child","https://jus-tice.co.il/page-sitemap.xml","200","https://jus-tice.co.il/page-sitemap.xml","","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
"2026-05-11T11:07:21","VERIFIED","sitemap_child","https://jus-tice.co.il/articles-sitemap1.xml","200","https://jus-tice.co.il/articles-sitemap1.xml","","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
"2026-05-11T11:07:23","VERIFIED","sitemap_child","https://jus-tice.co.il/articles-sitemap2.xml","200","https://jus-tice.co.il/articles-sitemap2.xml","","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
"2026-05-11T11:07:25","VERIFIED","sitemap_child","https://jus-tice.co.il/articles-sitemap3.xml","200","https://jus-tice.co.il/articles-sitemap3.xml","","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
"2026-05-11T11:07:26","VERIFIED","sitemap_child","https://jus-tice.co.il/articles-sitemap4.xml","200","https://jus-tice.co.il/articles-sitemap4.xml","","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
"2026-05-11T11:07:28","VERIFIED","sitemap_child","https://jus-tice.co.il/articles-sitemap5.xml","200","https://jus-tice.co.il/articles-sitemap5.xml","","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
"2026-05-11T11:07:30","VERIFIED","html_page","https://jus-tice.co.il/?qa=http-internal-scan-20260511110728","200","https://jus-tice.co.il/?qa=http-internal-scan-20260511110728","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
"2026-05-11T11:07:45","VERIFIED","html_page","https://jus-tice.co.il/articles/?qa=http-internal-scan-20260511110730","200","https://jus-tice.co.il/articles/?qa=http-internal-scan-20260511110730","מאמרים משפטיים לפי הבעיה שלכם | Jus-Tice","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
"2026-05-11T11:07:47","VERIFIED","html_page","https://jus-tice.co.il/lawyers/?qa=http-internal-scan-20260511110745","200","https://jus-tice.co.il/lawyers/?qa=http-internal-scan-20260511110745","מדריך עורכי דין בישראל | Jus-Tice","none","","","NONE","NONE","","No first-party http://jus-tice.co.il references found."
