path,status,http_status,final_url,final_path,sources,topics,overlap_risk,title,h1,h1_count,canonical,robots,noindex,word_count,recommended_action
/land-appreciation-tax/,EXISTING_TAX_INTENT_PAGE,200,https://jus-tice.co.il/land-appreciation-tax/?real_estate_tax_inventory=2026-05-26,/land-appreciation-tax/,real_estate_route_supporting_link,seller_tax,HIGH,מס שבח מקרקעין | מחשבון מס שבח | מי זכאי להחזר מס שבח מקרקעין | Jus-Tice.co.il,מס שבח מקרקעין | מחשבון מס שבח | מי זכאי להחזר מס שבח מקרקעין,1,https://jus-tice.co.il/land-appreciation-tax/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",NO,3289,Use as existing-page evidence before considering a new tax calculator or link target; owner/SEO/GSC approval required.
/purchase-tax-cancellation-real-estate-5561-01-20/,EXISTING_TAX_INTENT_PAGE,200,https://jus-tice.co.il/purchase-tax-cancellation-real-estate-5561-01-20/?real_estate_tax_inventory=2026-05-26,/purchase-tax-cancellation-real-estate-5561-01-20/,redirect_map_candidate,purchase_tax_case,HIGH,"האם קיימת זכאות להחזר מס רכישה בגין ביטול עסקה במקרקעין? (ו""ע 5561-01-20) | Jus-Tice.co.il","האם קיימת זכאות להחזר מס רכישה בגין ביטול עסקה במקרקעין? (ו""ע 5561-01-20)",1,https://jus-tice.co.il/purchase-tax-cancellation-real-estate-5561-01-20/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",NO,4561,Use as existing-page evidence before considering a new tax calculator or link target; owner/SEO/GSC approval required.
/purchase-tax-verdict-claim-63044-06-20/,EXISTING_TAX_INTENT_PAGE,200,https://jus-tice.co.il/purchase-tax-verdict-claim-63044-06-20/?real_estate_tax_inventory=2026-05-26,/purchase-tax-verdict-claim-63044-06-20/,redirect_map_candidate,purchase_tax_case,HIGH,"פס""ד בערר של זוג שמבקש לבטל שומת מס רכישה בטענה שאושר להם למכור את דירתם במועד מאוחר יותר (ו""ע 63044-06-20) | Jus-Tice.co.il","פס""ד בערר של זוג שמבקש לבטל שומת מס רכישה בטענה שאושר להם למכור את דירתם במועד מאוחר יותר (ו""ע 63044-06-20)",1,https://jus-tice.co.il/purchase-tax-verdict-claim-63044-06-20/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",NO,6279,Use as existing-page evidence before considering a new tax calculator or link target; owner/SEO/GSC approval required.
/buying-apartment-guide-comprehensive/,EXISTING_RELATED_PAGE,200,https://jus-tice.co.il/buying-apartment-guide-comprehensive/?real_estate_tax_inventory=2026-05-26,/buying-apartment-guide-comprehensive/,redirect_map_candidate,buying_apartment,MEDIUM,מדריך מקיף לקניית דירה ראשונה | Jus-Tice.co.il,מדריך מקיף לקניית דירה ראשונה,1,https://jus-tice.co.il/buying-apartment-guide-comprehensive/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",NO,2860,Keep as supporting real-estate context; link only after owner/UX approval and intent-split review.
/buying-apartment/,EXISTING_RELATED_PAGE,200,https://jus-tice.co.il/buying-apartment/?real_estate_tax_inventory=2026-05-26,/buying-apartment/,pillar_and_redirect_candidate,buying_apartment,MEDIUM,השתתפות בקניית דירה בחלקים שאינם שווים כיצד חולקים את הרווח | Jus-Tice.co.il,השתתפות בקניית דירה בחלקים שאינם שווים כיצד חולקים את הרווח,1,https://jus-tice.co.il/buying-apartment/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",NO,16078,Keep as supporting real-estate context; link only after owner/UX approval and intent-split review.
/lawyer-for-buying-or-selling-a-house/,EXISTING_RELATED_PAGE,200,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/?real_estate_tax_inventory=2026-05-26,/lawyer-for-buying-or-selling-a-house/,real_estate_route_supporting_link,buy_sell_apartment,MEDIUM,"עורך דין קניית דירה | עו""ד מכירת דירה | מומחה בעסקאות מקרקעין | Jus-Tice.co.il","עורך דין קניית דירה | עו""ד מכירת דירה | מומחה בעסקאות מקרקעין",1,https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",NO,2578,Keep as supporting real-estate context; link only after owner/UX approval and intent-split review.
/purchase-tax-calculator/,ABSENT_OR_NOT_PUBLIC,404,https://jus-tice.co.il/purchase-tax-calculator/?real_estate_tax_inventory=2026-05-26,/purchase-tax-calculator/,owner_high_risk_placeholder,purchase_tax_tool,MEDIUM,Page not found | Jus-Tice.co.il,העמוד לא נמצא,1,,"noindex, follow",YES,290,Do not create or link a replacement until owner/SEO approves the target and confirms no CMS equivalent exists.
/purchase-tax/,ABSENT_OR_NOT_PUBLIC,404,https://jus-tice.co.il/purchase-tax/?real_estate_tax_inventory=2026-05-26,/purchase-tax/,owner_high_risk_placeholder,purchase_tax,MEDIUM,Page not found | Jus-Tice.co.il,העמוד לא נמצא,1,,"noindex, follow",YES,290,Do not create or link a replacement until owner/SEO approves the target and confirms no CMS equivalent exists.
/real-estate-attorney/,EXISTING_RELATED_PAGE,200,https://jus-tice.co.il/real-estate-attorney/?real_estate_tax_inventory=2026-05-26,/real-estate-attorney/,legacy_money_query,hub,MEDIUM,"עורך דין מקרקעין בישראל: קנייה, מכירה, חוזים ומיסוי | Jus-Tice","עורך דין מקרקעין: קנייה, מכירה, חוזים ומיסוי",1,https://jus-tice.co.il/real-estate-attorney/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",NO,7470,Keep as supporting real-estate context; link only after owner/UX approval and intent-split review.
/real-estate-lawyer-guide/,EXISTING_RELATED_PAGE,200,https://jus-tice.co.il/real-estate-lawyer-guide/?real_estate_tax_inventory=2026-05-26,/real-estate-lawyer-guide/,controlled_real_estate_route,hub,MEDIUM,"מדריך עורך דין מקרקעין | קנייה, מכירה ורישום דירה | Jus-Tice",דיני מקרקעין,1,https://jus-tice.co.il/real-estate-lawyer-guide/,"index, follow, max-image-preview:large",NO,480,Keep as supporting real-estate context; link only after owner/UX approval and intent-split review.
/real-estate-purchase-tax/,ABSENT_OR_NOT_PUBLIC,404,https://jus-tice.co.il/real-estate-purchase-tax/?real_estate_tax_inventory=2026-05-26,/real-estate-purchase-tax/,owner_high_risk_placeholder,purchase_tax,MEDIUM,Page not found | Jus-Tice.co.il,העמוד לא נמצא,1,,"noindex, follow",YES,290,Do not create or link a replacement until owner/SEO approves the target and confirms no CMS equivalent exists.
/registration-of-real-estate-israel/,EXISTING_RELATED_PAGE,200,https://jus-tice.co.il/registration-of-real-estate-israel/?real_estate_tax_inventory=2026-05-26,/registration-of-real-estate-israel/,real_estate_route_supporting_link,registration,MEDIUM,רישום זכויות מקרקעין בישראל | לשכת רישום מקרקעין | Jus-Tice.co.il,רישום זכויות מקרקעין בישראל | לשכת רישום מקרקעין,1,https://jus-tice.co.il/registration-of-real-estate-israel/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",NO,977,Keep as supporting real-estate context; link only after owner/UX approval and intent-split review.
/arnona-appeal-checker/,ABSENT_OR_NOT_PUBLIC,404,https://jus-tice.co.il/arnona-appeal-checker/?real_estate_tax_inventory=2026-05-26,/arnona-appeal-checker/,revenue_stream_placeholder,arnona_tool,LOW,Page not found | Jus-Tice.co.il,העמוד לא נמצא,1,,"noindex, follow",YES,290,Do not create or link a replacement until owner/SEO approves the target and confirms no CMS equivalent exists.
