decision_id,topic,current_url,live_status,intended_role,source_legal_status,gsc_or_inventory_evidence,decision,recommended_action,owner_approval_required,legal_review_required,url_migration_allowed,content_update_allowed,internal_link_update_allowed,notes
CPD-001,cyber-lawyer,https://jus-tice.co.il/cyber-lawyer/,VERIFIED_200_DIRECT,current_primary_candidate,SOURCE_MATRIX_EXISTS,"6405 words; quality 8; reverse page-to-query showed no visible rows",KEEP_CURRENT_PRIMARY_CANDIDATE_NO_URL_CHANGE,COMPARE_AND_SOURCE_REVIEW,YES,YES,NO,NO,NO,"Do not rewrite title/H1/meta/content until compared against Hebrew role page and cybercrime support"
CPD-002,hebrew-cyber-lawyer-role,https://jus-tice.co.il/תפקידם-של-עורכי-דין-בתחום-הסייבר/,NOT_RECHECKED_THIS_PASS,possible_duplicate_or_support,SOURCE_MATRIX_NEEDED,"9576 words; quality 8; possible service overlap",COMPARE_FOR_MERGE_OR_SUPPORT,VERIFY_EXACT_URL_AND_COMPARE,YES,YES,NO,NO,NO,"Protect before any redirect or merge"
CPD-003,cybercrime-lawyer-role,https://jus-tice.co.il/cybercrime-lawyer-roll/,VERIFIED_200_DIRECT,support_boundary,SOURCE_MATRIX_EXISTS,"4455 words; quality 6; visible GSC row for cyber lawyer with 42 impressions",KEEP_AS_CYBERCRIME_SUPPORT,SUPPORT_BOUNDARY_REVIEW,YES,YES,NO,NO,NO,"Do not make primary only because of one GSC row"
CPD-004,cyber-laws,https://jus-tice.co.il/cyber-laws/,VERIFIED_200_DIRECT,informational_support,SOURCE_MATRIX_EXISTS,"13956 words; quality 8",KEEP_AS_INFORMATIONAL_SUPPORT,FRAME_AS_GUIDE_NOT_SERVICE,YES,YES,NO,NO,NO,"Avoid service-intent cannibalization"
CPD-005,cyberattack-guide,https://jus-tice.co.il/what-is-cyberattack/,VERIFIED_200_DIRECT,support_guide,SOURCE_MATRIX_EXISTS,"3744 words; quality 6; no visible cyberattack GSC rows",KEEP_AND_EXPAND_LATER,ADD_SOURCE_BACKED_INCIDENT_STEPS_AFTER_APPROVAL,YES,YES,NO,NO,NO,"Use National Cyber Directorate/CERT/privacy breach sources"
CPD-006,cyber-insurance,https://jus-tice.co.il/cyber-insurance/,VERIFIED_200_DIRECT,business_support,SOURCE_MATRIX_EXISTS,"2832 words; quality 6",KEEP_AS_BUSINESS_SUPPORT,KEEP_SEPARATE_FROM_SERVICE_PILLAR,YES,YES,NO,NO,NO,"Avoid policy-specific insurance advice"
CPD-007,cybersex-trafficking,https://jus-tice.co.il/cybersex-trafficking/,VERIFIED_200_DIRECT,sensitive_criminal_cyber_boundary,SOURCE_MATRIX_EXISTS,"2819 words; quality 8",KEEP_AS_SENSITIVE_BOUNDARY,LEGAL_REVIEW_BEFORE_LINKING,YES,YES,NO,NO,NO,"May connect to criminal and cyber only after review"
CPD-008,fbi-cyber-division,https://jus-tice.co.il/fbi-cyber-division/,VERIFIED_200_DIRECT,international_context_support,SOURCE_MATRIX_NEEDED,"21917 words; quality 6",KEEP_AS_CONTEXT_NOT_PRIMARY,PROTECT_SUPPORT_NOT_PRIMARY,YES,YES,NO,NO,NO,"Word count does not make it the Israeli cyber-lawyer pillar"
CPD-009,old-privacy-injury-url,old Hebrew privacy-injury URL,NOT_RECHECKED_THIS_PASS,protected_privacy_support_migration_risk,SOURCE_MATRIX_EXISTS,"4121 words; quality 6; privacy invasion 38 impressions and privacy protection 7 impressions",PROTECT_COMPARE_EXPAND_OR_MERGE_LATER,EXACT_URL_RECHECK_AND_SOURCE_REWRITE_PLAN,YES,YES,NO,NO,NO,"High-risk old URL; no redirect or overwrite"
CPD-010,thin-privacy-overview,https://jus-tice.co.il/articles/פגיעה-בפרטיות-סקירת-המסגרת-הנורמטיבי/,NOT_RECHECKED_THIS_PASS,thin_support,SOURCE_MATRIX_EXISTS,"763 words; quality 4",EXPAND_OR_MERGE_AFTER_SOURCE_REVIEW,COMPARE_AGAINST_PRIVACY_INJURY_PAGE,YES,YES,NO,NO,NO,"Do not keep as thin duplicate"
