id,section,status,value,source,guardrail
TAF-ROW-01,route_role,PRIVATE_REVIEW_READY,עמוד עזר מקומי ותמציתי שמפנה לעמוד הגירושין המרכזי ואינו מנסה להיות מדריך גירושין מלא.,city-practice-priority-draft-briefs,Keep the local page subordinate to /divorce-lawyer/ and avoid duplicating the divorce pillar.
TAF-ROW-02,safe_private_opening,PRIVATE_DRAFT_ONLY,"טיוטת עבודה פרטית: אם אתם מחפשים עורך דין גירושין בתל אביב, העמוד הזה אמור לעזור להבין אילו שאלות ומסמכים כדאי להכין לפני פנייה מסודרת. הוא לא מחליף ייעוץ משפטי, ולא אמור להתחרות במדריך הגירושין המרכזי של Jus-Tice.",city-practice-priority-draft-briefs,"Do not publish this copy before GSC, internal overlap, legal/editor and owner approval."
TAF-ROW-03,reader_evidence_checklist,PRIVATE_REVIEW_READY,"פרטי הצדדים והילדים, מסמכי הליכים קיימים אם יש, הסכמות או מחלוקות מרכזיות, מסמכים כלכליים בסיסיים, מועדי דיון או פניות קודמות, ושאלות שהגולש רוצה לברר מול עורך דין.",city-practice-priority-draft-briefs,"Use as a preparation checklist, not legal advice or a claim that all items are required."
TAF-ROW-04,lawyer_fit_trigger,PRIVATE_REVIEW_READY,"כאשר יש הליך פתוח, מועד קרוב, מחלוקת משמעותית או צורך להבין התאמה לעורך דין בתחום המשפחה בעיר או בסביבה.",city-practice-priority-draft-briefs,"Do not promise response time, outcome, ranking, price or specific lawyer availability."
TAF-ROW-05,internal_link_plan,PRIVATE_REVIEW_READY,/divorce-lawyer/ as primary pillar | /lawyers/?city=tel-aviv&area=family-law as canonical filtered lawyer path | /lawyers/?city=tel-aviv&practice=family-law as unsupported alias for QA only | no new internal links until owner/SEO review,city-practice-priority-draft-briefs,Use /lawyers/?city=tel-aviv&area=family-law only; keep practice= alias QA-only.
TAF-ROW-06,faq_candidates,NEEDS_GSC_OR_OWNER_EVIDENCE,איך יודעים אם צריך עורך דין גירושין מקומי? | אילו מסמכים כדאי להכין לפני פנייה? | מתי לקרוא קודם את מדריך הגירושין המרכזי?,city-practice-priority-draft-briefs,"FAQ rows stay placeholders until backed by GSC, lead, owner or legal/editor evidence."
TAF-ROW-07,official_source_boundaries,PRIVATE_RESEARCH_READY,קבלת תעודת גירושין - בתי הדין הרבניים: source prompt for official-document language and evidence checklist only | בקשה לסיוע משפטי - סיוע משפטי: source prompt for eligibility-sensitive wording and urgent-family-matter caveats | יחידות הסיוע ליד בתי המשפט ובתי הדין: source prompt for non-adversarial family-dispute context,sourceRows,Do not turn certificate-service details into legal advice or deadline claims. | Do not claim eligibility; invite users to verify with official service or lawyer. | Do not describe a mandatory process unless legal/editor review confirms the exact case type.
TAF-ROW-08,competitor_source_boundaries,SERP_CONTEXT_ONLY,"מורן גוהר - עורך דין גירושין בתל אביב: SERP positioning reference: competitor pages lead with credentials, family-court experience and local service framing | מאיה רוטנברג - עורך דין גירושין: SERP positioning reference: competitor pages often use experience, process reassurance and city coverage",sourceRows,"Do not copy claims, rankings, testimonials, case outcomes, pricing or personal positioning. | Do not copy claims, price ranges, badges, testimonials or outcome promises."
TAF-ROW-09,thin_page_original_need,PRIVATE_REVIEW_READY,"local-intent opening that explains who this city/practice page is for | document/evidence checklist specific to the practice area | when to move from reading to a lawyer fit check | filtered lawyer coverage proof before public visibility | FAQ rows only after real search, lead or owner evidence | links to the central pillar and filtered directory without competing with the pillar",city-practice-thin-page-improvement-packet,"Do not publish, change title/H1/meta/canonical/sitemap/internal links, claim ranking/best-lawyer status, or contact lawyers/leads from this packet."
TAF-ROW-10,publication_blockers,BLOCKS_PUBLICATION,"GSC query/page evidence, internal overlap check, filtered lawyer count, legal/editor review, owner approval, and no public-exposure accident.",city-practice-priority-draft-briefs,"No best/recommended/ranked lawyer claims, no guarantee, no copied competitor claims, no prices, no legal deadlines and no advice without verified legal review."
TAF-ROW-11,live_source_snapshot,PRIVATE_EVIDENCE_READY,"central_pillar_live_check: 200; gate=PASS_PILLAR_REACHABLE; cards=3; h1=איך לבחור עורך דין גירושין | ניסיון, מחיר ושאלות נכונות | Jus-Tice | draft_target_public_exposure_check: 404; gate=PASS_TARGET_NOT_PUBLIC_200; cards=0; h1=העמוד לא נמצא | canonical_directory_live_check: 200; gate=PASS_CANONICAL_DIRECTORY_FILTER_REACHABLE; cards=3; h1=עורך דין דיני משפחה בתל אביב | unsupported_directory_alias_live_check: 200; gate=PASS_UNSUPPORTED_ALIAS_NOT_FILTERED_DO_NOT_USE; cards=3; h1=עורכי דין בתל אביב",liveRows,Snapshot is read-only evidence; do not publish or link from it without owner/SEO/legal approval.
