id,section,status,current_private_material,source_basis,review_focus,forbidden_claims_or_changes,required_before_publication,public_go_if_blank
TA-LEGAL-01,title_h1_and_route_role,HUMAN_LEGAL_EDITOR_REVIEW_REQUIRED,עורך דין גירושין בתל אביב | עמוד עזר מקומי ותמציתי שמפנה לעמוד הגירושין המרכזי ואינו מנסה להיות מדריך גירושין מלא.,local private draft route role and target title,Confirm local page stays subordinate to /divorce-lawyer/ and does not become a general divorce guide.,"No public title, H1, meta, slug, route, canonical/noindex, sitemap or internal-link change from this packet.","Legal/editor approves exact title, H1 and route role after GSC and owner scope are filled.",no
TA-LEGAL-02,intro_opening,HUMAN_LEGAL_EDITOR_REVIEW_REQUIRED,"טיוטת עבודה פרטית: אם אתם מחפשים עורך דין גירושין בתל אביב, העמוד הזה אמור לעזור להבין אילו שאלות ומסמכים כדאי להכין לפני פנייה מסודרת. הוא לא מחליף ייעוץ משפטי, ולא אמור להתחרות במדריך הגירושין המרכזי של Jus-Tice.",city-practice-priority-draft-briefs,"Confirm wording is informational, local-fit oriented and not legal advice.","No guarantee, deadline, court/local-office claim, price, ranking, best-lawyer or outcome claim.","Reviewer approves, revises or rejects intro text.",no
TA-LEGAL-03,preparation_checklist,HUMAN_LEGAL_EDITOR_REVIEW_REQUIRED,"פרטי הצדדים והילדים, מסמכי הליכים קיימים אם יש, הסכמות או מחלוקות מרכזיות, מסמכים כלכליים בסיסיים, מועדי דיון או פניות קודמות, ושאלות שהגולש רוצה לברר מול עורך דין.",city-practice-priority-draft-briefs,Confirm checklist is framed as preparation only and does not say every item is legally required.,No mandatory-process claim unless official source and legal review support it for the exact case type.,Reviewer approves checklist scope and caveat language.,no
TA-LEGAL-04,lawyer_fit_trigger,HUMAN_LEGAL_EDITOR_REVIEW_REQUIRED,"כאשר יש הליך פתוח, מועד קרוב, מחלוקת משמעותית או צורך להבין התאמה לעורך דין בתחום המשפחה בעיר או בסביבה.",city-practice-priority-draft-briefs,"Confirm when-to-contact wording is careful and does not imply urgency, SLA, availability or result.","No emergency, response-time, success, suitability guarantee or availability promise.",Reviewer approves trigger wording and CTA boundaries.,no
TA-LEGAL-05,internal_links_and_cta_boundaries,HUMAN_LEGAL_EDITOR_REVIEW_REQUIRED,/divorce-lawyer/ as primary pillar | /lawyers/?city=tel-aviv&area=family-law as canonical filtered lawyer path | /lawyers/?city=tel-aviv&practice=family-law as unsupported alias for QA only | no new internal links until owner/SEO review,city-practice-priority-draft-briefs,Confirm any future link plan protects the pillar and uses only canonical area= directory path.,"No internal link, CTA, route, redirect, canonical/noindex, sitemap or taxonomy change from this packet.",SEO/editor and owner approve exact links and CTA copy later.,no
TA-LEGAL-06,faq_candidates,BLOCKED_GSC_OR_OWNER_EVIDENCE_REQUIRED,איך יודעים אם צריך עורך דין גירושין מקומי? | אילו מסמכים כדאי להכין לפני פנייה? | מתי לקרוא קודם את מדריך הגירושין המרכזי?,city-practice-priority-draft-briefs,"FAQ candidates need GSC, lead, owner or legal/editor evidence before use.",No FAQ schema or public FAQ body until evidence and legal/editor review are complete.,"Reviewer approves, revises or rejects FAQ candidates after focused GSC rows are filled.",no
TA-LEGAL-07,official_source_boundaries,HUMAN_LEGAL_EDITOR_REVIEW_REQUIRED,קבלת תעודת גירושין - בתי הדין הרבניים: source prompt for official-document language and evidence checklist only | בקשה לסיוע משפטי - סיוע משפטי: source prompt for eligibility-sensitive wording and urgent-family-matter caveats | יחידות הסיוע ליד בתי המשפט ובתי הדין: source prompt for non-adversarial family-dispute context,official source rows in local private draft packet,Confirm official sources are used only for document/checklist/service-context boundaries.,"No eligibility, mandatory-process, deadline or certificate-service claim beyond source-supported wording.",Reviewer approves exact source-supported statements and excludes unsupported legal advice.,no
TA-LEGAL-08,competitor_source_boundaries,HUMAN_LEGAL_EDITOR_REVIEW_REQUIRED,"מורן גוהר - עורך דין גירושין בתל אביב: SERP positioning reference: competitor pages lead with credentials, family-court experience and local service framing | מאיה רוטנברג - עורך דין גירושין: SERP positioning reference: competitor pages often use experience, process reassurance and city coverage",competitor context rows in local private draft packet,Use competitor pages only for SERP context; do not copy claims or positioning.,"No copied testimonials, rankings, case outcomes, badges, price ranges or personal positioning.",Reviewer confirms competitor material is not copied or paraphrased as claims.,no
TA-LEGAL-09,protected_route_overlap,HUMAN_LEGAL_EDITOR_REVIEW_REQUIRED,"11 associated route(s), 5 high-risk route(s) protected.",internal overlap review,"Confirm custody, child support, mediation, settlement, template and cost intents stay with existing route owners.",No absorbing protected route intent into the Tel Aviv local page without explicit legal/editor approval.,Reviewer marks preserve/reference/exclude for every protected intent touched by copy.,no
TA-LEGAL-10,lawyer_coverage_language,BLOCKED_OWNER_ADMIN_READINESS_REQUIRED,3 visible card rows; 2 public-basic/claim-flow rows still need owner/admin verification.,lawyer readiness owner packet,"Confirm the page does not imply selected, ranked, paid, sponsored, verified, available or guaranteed coverage.",No best/recommended/ranked/sponsored/paid/guaranteed language; no contact details or lawyer outreach.,Owner/admin fills readiness rows before reviewer approves any coverage language.,no
TA-LEGAL-11,gsc_dependency_and_query_scope,BLOCKED_FOCUSED_GSC_EXPORT_REQUIRED,144 focused GSC paste rows prepared; exact local cache rows remain 0.,focused GSC export operator packet,Confirm final copy and FAQ choices wait for focused GSC evidence.,"No publication, FAQ/schema, internal links, consolidation, redirect, canonical/noindex or sitemap decision from preliminary cache.",Focused GSC exports must be filled before final legal/editor approval.,no
TA-LEGAL-12,final_disclaimer_and_forbidden_claims,HUMAN_LEGAL_EDITOR_REVIEW_REQUIRED,"GSC query/page evidence, internal overlap check, filtered lawyer count, legal/editor review, owner approval, and no public-exposure accident.",city-practice-priority-draft-briefs,Confirm final disclaimer and forbidden-claim list for a local legal-services page.,"No legal advice, outcome guarantee, price, deadline, urgent SLA, ranking, recommendation, paid proof, profile availability or unsupported court/local-office claim.",Reviewer approves final no-advice/no-guarantee boundaries.,no
