"decision_id","area","current_url","current_status","evidence","recommended_action","owner_approval_question","approval_status","blocked_actions","notes"
"DIVORCE-PILLAR-CANDIDATE-001","divorce-commercial-pillar","https://jus-tice.co.il/divorce-lawyer/","Published clean pillar candidate; 3205 words; quality score 8/10","Exact clean URL exists; slug conflict review shows 7 conflict rows; GSC winner is old Hebrew URL not this page","COMPARE_AS_PRIMARY_NO_URL_CHANGE","Approve /divorce-lawyer/ as the likely primary only after side-by-side comparison?","OWNER_APPROVAL_REQUIRED","No title H1 meta content slug redirect canonical sitemap or CMS edit until approved","Good clean candidate but not current GSC winner."
"DIVORCE-OLD-HEBREW-GSC-001","high-impression-old-url","https://jus-tice.co.il/עוד-גירושין-מומלץ-כיצד-למצוא-עורך-דין-גירושין-וכמה-עולה-להתגרש/","Published old Hebrew divorce-lawyer article; 697 words; quality score 6/10","GSC: 960 impressions for עורך דין גירושין; owns visible query demand","PROTECT_COMPARE_MERGE_LATER","Should useful content be merged into /divorce-lawyer/ before any redirect decision?","OWNER_APPROVAL_REQUIRED","No redirect noindex deletion canonical change or rewrite","High migration risk despite thin public word count."
"DIVORCE-PDF-RISK-001","document-url-risk","https://jus-tice.co.il/wp-content/uploads/2022/06/misradhamishpatim-women.pdf","PDF upload appears for commercial divorce-lawyer query","GSC: 45 impressions for עורך דין גירושין","DOCUMENT_STRATEGY_REQUIRED","Approve a document strategy before any PDF removal redirect or noindex?","OWNER_APPROVAL_REQUIRED","No delete redirect robots noindex or replacement","Document URLs can carry search signals and must be mapped."
"DIVORCE-MEDIATION-CLEAN-001","mediation-support","https://jus-tice.co.il/divorce-mediation/","Published clean support page; 2493 words; quality score 7/10","Exact clean support URL exists but DOCX owns most visible גישור גירושין demand","KEEP_AS_SUPPORT_REVIEW","Approve /divorce-mediation/ as the clean mediation support candidate after DOCX review?","OWNER_APPROVAL_REQUIRED","No rewrite redirect canonical sitemap or CMS edit","Likely support page but not current GSC winner."
"DIVORCE-MEDIATION-DOCX-001","document-url-risk","https://jus-tice.co.il/wp-content/uploads/2021/03/נוסח-הסכם-גירושין-דוגמא-2021.docx","DOCX upload owns most visible mediation-query demand","GSC: 86 impressions for גישור גירושין","DOCUMENT_STRATEGY_REQUIRED","Should the DOCX remain, be supported by HTML content, or later redirect only after approval?","OWNER_APPROVAL_REQUIRED","No delete redirect robots noindex or replacement","Important document-risk item for mediation/agreement cluster."
"DIVORCE-MEDIATION-LEGACY-001","legacy-support","https://jus-tice.co.il/divorce-mediation-cons-pros/","Thin legacy mediation article; 465 words; quality score 2/10","GSC: 3 impressions for גישור גירושין; likely merge/support candidate","MERGE_OR_EXPAND_AFTER_REVIEW","Approve review for merge into /divorce-mediation/ or rewrite as support?","OWNER_APPROVAL_REQUIRED","No public rewrite or redirect until approved","Thin but relevant; avoid duplicate mediation pages."
"DIVORCE-CONSENSUAL-001","support-page","https://jus-tice.co.il/consensual-divorce/","Published clean support page; 2447 words; quality score 7/10","Internal links connect to divorce pillar and related family pages","KEEP_AS_SUPPORT_REVIEW","Approve keeping this as support for consensual-divorce intent?","OWNER_APPROVAL_REQUIRED","No duplicate page no redirect no CMS edit","Clean support page should be reviewed before new content."
"DIVORCE-PROPERTY-001","support-page","https://jus-tice.co.il/divorce-property-division/","Published clean support page; 2443 words; quality score 7/10","Slug conflict review shows 3 conflict rows; higher-word-count legacy property page exists","KEEP_SUPPORT_COMPARE_DUPLICATES","Approve comparison with legacy property-division assets before any merge/redirect?","OWNER_APPROVAL_REQUIRED","No title H1 content redirect noindex or canonical change","Likely support page but has duplicate/legacy content risk."
"DIVORCE-DISPUTE-RESOLUTION-001","support-page","https://jus-tice.co.il/family-dispute-resolution/","Published clean support page; 2100 words; quality score 7/10","Internal links connect to divorce pillar and major family supports","KEEP_AS_SUPPORT_REVIEW","Approve keeping family dispute resolution as support to divorce/family cluster?","OWNER_APPROVAL_REQUIRED","No duplicate page no redirect no CMS edit","Useful support page after source/legal review."
"DIVORCE-COSTS-001","cost-support","https://jus-tice.co.il/divorce-costs-2025/","Published cost article; 13377 words; quality score 6/10","Long cost article may overlap divorce-lawyer commercial intent and needs date-sensitive review","SUPPORT_OR_MERGE_REVIEW","Should cost content stay separate or feed sections of /divorce-lawyer/?","OWNER_APPROVAL_REQUIRED","No rewrite redirect title or canonical change","Pricing claims need source/date/legal review."
"DIVORCE-AGREEMENT-SUPPORT-001","agreement-support","DIVORCE_AGREEMENT_SUPPORT_URLS","Agreement support set includes thin/outdated pages and document template","Quality audit: agreement overview 702 words; free template outdated; cost page thin/outdated","REWRITE_MERGE_AFTER_SOURCE_REVIEW","Approve source/legal review for agreement pages before merging or rewriting?","OWNER_APPROVAL_REQUIRED","No public rewrite merge redirect or document action","Includes what-is agreement, free template, cost and mutual-divorce agreement pages."
