query_cluster,query_filter,page_filter,export_dimensions,date_range,country,device,clicks,impressions,ctr,position,existing_route_owner,preliminary_cache_status,reviewer_decision,notes_no_pii
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/divorce-lawyer-tel-aviv/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/divorce-lawyer/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/family-law/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/lawyers/?city=tel-aviv&area=family-law,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/child-custody/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/child-support-calculator-2023/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/divorce-mediation/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/what-is-a-divorce-settlement-agreement/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/free-divorce-agreement-template/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
exact_local_divorce_lawyer,"גירוש* + תל אביב + עורך דין/עו""ד",/how-much-does-a-divorce-agreement-cost/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer-tel-aviv/,,not_filled,
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/divorce-lawyer-tel-aviv/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/divorce-lawyer/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/family-law/,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
broad_divorce_lawyer,"גירוש* + עורך דין/עו""ד without city modifier",/lawyers/?city=tel-aviv&area=family-law,Query + Page,last_16_months_and_last_90_days,Israel if available,all,,,,,/divorce-lawyer/,,not_filled,
