section,item,value
story,one_sentence,Jus-Tice turns SEO legal demand into lawyer subscriptions leads and retention
demo_goal,workflow,lawyer discovers platform -> selects paid plan -> owner sees money action -> lawyer manages leads and service requests
works_now,acquisition,Homepage/header expose lawyer paths
works_now,paid_intent,Plans route to checkout/manual invoice
works_now,compliance,Checkout terms cancellation privacy and business signals pass
works_now,owner_ops,Lawyer Onboarding shows billing payment source and payment-link queues
works_now,retention,Private area and service lifecycle requests are deployed
needs_owner_prep,claimed_profile,Needed to show real private dashboard
needs_owner_prep,demo_lead,Needed to show medical-malpractice CRM stage update
external_blocker,recurring_charge,Grow/Meshulam approval and WooCommerce mapping required
external_blocker,automatic_invoice,Approved invoicing setup and controlled transaction required
external_blocker,refund_execution,Request capture works; provider execution approval required
ask,capital_use,Close payment approval map subscriptions run 20-30 lawyer sales conversations prepare first lead packages and scale SEO safely
