lane,lane_title_he,unblock_id,sequence,action_id,action_title_he,current_review_status,suggested_status,suggested_private_pointer_no_pii,required_owner_fill_he,first_fill_hint_he,keep_live_public_action_approved,raw_private_values_allowed
btl_first_paid_lead,ביטוח לאומי: ליד ראשון בתשלום,UNBLOCK-01,1,BTL-ACTION-01,לאמת שלושה מומחי ביטוח לאומי פרטיים,BLOCKED_STATUS_NOT_PASS,pass only after private proof,btl-private-admin-row-01-01,"ראיה פרטית שיש שלושה מומחים/עורכי דין מתאימים, כיסוי שניתן לנתב אליו, ליד אחד עם הסכמה, חיוב והוכחת תשלום פרטית.","להתחיל רק בשורת המומחה הראשונה: לאמת שיש גורם פרטי מתאים, בלי שם, טלפון, מייל או קישור בקובץ.",no,no
btl_first_paid_lead,ביטוח לאומי: ליד ראשון בתשלום,UNBLOCK-01,2,BTL-ACTION-02,להפוך את השלושה לכיסוי ניתן לניתוב,BLOCKED_STATUS_NOT_PASS,pass only after private proof,btl-private-admin-row-01-02,"ראיה פרטית שיש שלושה מומחים/עורכי דין מתאימים, כיסוי שניתן לנתב אליו, ליד אחד עם הסכמה, חיוב והוכחת תשלום פרטית.",למלא רק אחרי שהשורות הקודמות במסלול עברו או שיש ראיה מסודרת לכל הרצף.,no,no
btl_first_paid_lead,ביטוח לאומי: ליד ראשון בתשלום,UNBLOCK-01,3,BTL-ACTION-03,לבחור ליד ביטוח לאומי אחד עם הסכמה,BLOCKED_STATUS_NOT_PASS,pass only after private proof,btl-private-admin-row-01-03,"ראיה פרטית שיש שלושה מומחים/עורכי דין מתאימים, כיסוי שניתן לנתב אליו, ליד אחד עם הסכמה, חיוב והוכחת תשלום פרטית.",למלא רק אחרי שהשורות הקודמות במסלול עברו או שיש ראיה מסודרת לכל הרצף.,no,no
btl_first_paid_lead,ביטוח לאומי: ליד ראשון בתשלום,UNBLOCK-01,4,BTL-ACTION-04,ליצור מצב חיוב לליד מוסמך,BLOCKED_STATUS_NOT_PASS,pass only after private proof,btl-private-admin-row-01-04,"ראיה פרטית שיש שלושה מומחים/עורכי דין מתאימים, כיסוי שניתן לנתב אליו, ליד אחד עם הסכמה, חיוב והוכחת תשלום פרטית.",למלא רק אחרי שהשורות הקודמות במסלול עברו או שיש ראיה מסודרת לכל הרצף.,no,no
btl_first_paid_lead,ביטוח לאומי: ליד ראשון בתשלום,UNBLOCK-01,5,BTL-ACTION-05,לאשר תשלום רק עם הוכחה פרטית,BLOCKED_STATUS_NOT_PASS,pass only after private proof,btl-private-admin-row-01-05,"ראיה פרטית שיש שלושה מומחים/עורכי דין מתאימים, כיסוי שניתן לנתב אליו, ליד אחד עם הסכמה, חיוב והוכחת תשלום פרטית.",למלא רק אחרי שהשורות הקודמות במסלול עברו או שיש ראיה מסודרת לכל הרצף.,no,no
btl_first_paid_lead,ביטוח לאומי: ליד ראשון בתשלום,UNBLOCK-01,6,BTL-ACTION-06,לקבל החלטת scale/fix/stop,BLOCKED_STATUS_NOT_PASS,pass only after private proof,btl-private-admin-row-01-06,"ראיה פרטית שיש שלושה מומחים/עורכי דין מתאימים, כיסוי שניתן לנתב אליו, ליד אחד עם הסכמה, חיוב והוכחת תשלום פרטית.",למלא רק אחרי שהשורות הקודמות במסלול עברו או שיש ראיה מסודרת לכל הרצף.,no,no
lawyer_subscription_paid_test,מנוי עורך דין: בדיקה בתשלום או חשבונית ידנית,UNBLOCK-02,1,LAW-SUB-ACTION-01,לאשר זהות בדיקה נשלטת,BLOCKED_STATUS_NOT_PASS,pass only after private proof,lawyer-test-private-row-01-01,"ראיה פרטית לזהות בדיקה נשלטת, נתיב תשלום מאושר, רישום/דשבורד, בקשת שירות וחשבונית או תשלום.","להתחיל רק בזהות הבדיקה: לאשר שהבעלים יודע מי עורך הדין/משתמש הבדיקה, בלי להכניס פרטי קשר לקובץ.",no,no
lawyer_subscription_paid_test,מנוי עורך דין: בדיקה בתשלום או חשבונית ידנית,UNBLOCK-02,2,LAW-SUB-ACTION-02,לבחור נתיב תשלום מאושר,BLOCKED_STATUS_NOT_PASS,pass only after private proof,lawyer-test-private-row-01-02,"ראיה פרטית לזהות בדיקה נשלטת, נתיב תשלום מאושר, רישום/דשבורד, בקשת שירות וחשבונית או תשלום.",למלא רק אחרי שהשורות הקודמות במסלול עברו או שיש ראיה מסודרת לכל הרצף.,no,no
lawyer_subscription_paid_test,מנוי עורך דין: בדיקה בתשלום או חשבונית ידנית,UNBLOCK-02,3,LAW-SUB-ACTION-03,לאשר הרשמה ופרופיל עורך דין מבוקר,BLOCKED_STATUS_NOT_PASS,pass only after private proof,lawyer-test-private-row-01-03,"ראיה פרטית לזהות בדיקה נשלטת, נתיב תשלום מאושר, רישום/דשבורד, בקשת שירות וחשבונית או תשלום.",למלא רק אחרי שהשורות הקודמות במסלול עברו או שיש ראיה מסודרת לכל הרצף.,no,no
lawyer_subscription_paid_test,מנוי עורך דין: בדיקה בתשלום או חשבונית ידנית,UNBLOCK-02,4,LAW-SUB-ACTION-04,לבדוק בקשות שירות בדשבורד,BLOCKED_STATUS_NOT_PASS,pass only after private proof,lawyer-test-private-row-01-04,"ראיה פרטית לזהות בדיקה נשלטת, נתיב תשלום מאושר, רישום/דשבורד, בקשת שירות וחשבונית או תשלום.",למלא רק אחרי שהשורות הקודמות במסלול עברו או שיש ראיה מסודרת לכל הרצף.,no,no
lawyer_subscription_paid_test,מנוי עורך דין: בדיקה בתשלום או חשבונית ידנית,UNBLOCK-02,5,LAW-SUB-ACTION-05,לקשר ליד/שירות מבוקר אם בודקים הכנסה,BLOCKED_STATUS_NOT_PASS,pass only after private proof,lawyer-test-private-row-01-05,"ראיה פרטית לזהות בדיקה נשלטת, נתיב תשלום מאושר, רישום/דשבורד, בקשת שירות וחשבונית או תשלום.",למלא רק אחרי שהשורות הקודמות במסלול עברו או שיש ראיה מסודרת לכל הרצף.,no,no
