priority,source_url,gsc_clicks,gsc_impressions,target_hub,anchor_direction,public_change_status,notes
P0,https://jus-tice.co.il/traffic-lawyer/,0,20330,https://jus-tice.co.il/traffic-lawyer/,traffic lawyer,NOT_CHANGED,"Main commercial hub; high impressions but weak click capture"
P0,https://jus-tice.co.il/driving-under-the-influence/,0,14990,https://jus-tice.co.il/traffic-lawyer/,drunk-driving traffic lawyer,NOT_CHANGED,"Direct DUI money intent; live 200"
P0,https://jus-tice.co.il/dui-refusal-blood-breath-urine-test/,1,6426,https://jus-tice.co.il/traffic-lawyer/,refusal to alcohol or drug test,NOT_CHANGED,"Direct DUI procedure intent; live 200"
P0,https://jus-tice.co.il/driving-under-the-influence-of-drugs/,2,7731,https://jus-tice.co.il/traffic-lawyer/,drugged-driving representation,NOT_CHANGED,"Traffic/criminal boundary; also coordinate with criminal hub"
P0,https://jus-tice.co.il/car-accident-auto-injury-lawyer/,0,8445,BOUNDARY_TRAFFIC_PERSONAL_INJURY,fatal accident traffic representation,NOT_CHANGED,"Personal injury and criminal traffic boundary; do not merge blindly"
P0,https://jus-tice.co.il/medical-fitness-tests-for-driving-marvad-info/,79,32854,BOUNDARY_TRAFFIC_MEDICAL_FITNESS,license medical fitness review,NOT_CHANGED,"Very high demand but medical-fitness boundary"
P0,https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf,11,8096,HTML_EXPLAINER_THEN_TRAFFIC_HUB,traffic offense penalties and points,NOT_CHANGED,"PDF demand; needs HTML conversion or surrounding explainer before promotion"
P1,https://jus-tice.co.il/driver-with-36-valid-points-or-more-will-be-disqualified-from-holding-a-drivers-license/,0,269,https://jus-tice.co.il/traffic-lawyer/,license points and disqualification,NOT_CHANGED,"Lower GSC demand but important competitor topic"
P1,https://jus-tice.co.il/%D7%A4%D7%A1%D7%A7-%D7%93%D7%99%D7%9F-%D7%AA%D7%A2%D7%91%D7%95%D7%A8%D7%94-%D7%A2%D7%99%D7%9F-%D7%94%D7%A0%D7%A5-%D7%A7%D7%91%D7%99%D7%9C%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%A7%D7%99%D7%95%D7%AA-%D7%A8%D7%90%D7%99%D7%95%D7%AA-%D7%A9%D7%94%D7%95%D7%A0%D7%A4%D7%A7%D7%95-%D7%9E%D7%94%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA,17,988,https://jus-tice.co.il/traffic-lawyer/,traffic camera evidence,NOT_CHANGED,"Evidence/enforcement support after review"
P1,https://jus-tice.co.il/%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%A0%D7%94%D7%92-%D7%9E%D7%A9%D7%90%D7%99%D7%AA-%D7%A9%D7%94%D7%95%D7%90%D7%A9%D7%9D-%D7%91%D7%92%D7%A8%D7%99%D7%9E%D7%AA-%D7%9E%D7%95%D7%95%D7%AA-%D7%91%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%AA%D7%99%D7%A7-56-03-20,1,358,https://jus-tice.co.il/traffic-lawyer/,professional-driver traffic defense,NOT_CHANGED,"Case-specific support; rewrite carefully"
P1-BLOCKER,https://jus-tice.co.il/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA-%D7%9E%D7%90%D7%9E%D7%A8%D7%99%D7%9D/%D7%93%D7%99%D7%A0%D7%99-%D7%AA%D7%A2%D7%91%D7%95%D7%A8%D7%94,0,1116,REVIEW_BEFORE_ROUTE_RECOVERY_OR_REDIRECT,traffic-law category archive,NOT_CHANGED,"Live Googlebot fetch returned 404; needs old-route/GSC review"
P2-HOLD,https://jus-tice.co.il/corona_virus/%D7%94%D7%A0%D7%97%D7%99%D7%95%D7%AA-%D7%9C%D7%94%D7%AA%D7%9E%D7%95%D7%93%D7%93%D7%95%D7%AA-%D7%A2%D7%9D-%D7%A0%D7%92%D7%99%D7%A3-%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94-19-covid,5,7627,HOLD_OUTDATED_CORONA,do not promote,NOT_CHANGED,"Outdated/misaligned query mix; owner approval required before cleanup"
P2-HOLD,https://jus-tice.co.il/business-license/,9,3522,HOLD_BUSINESS_LICENSING,do not classify as traffic law,NOT_CHANGED,"False positive licensing/business-law intent"
