"source_url","candidate_name","supplier_category","supplier_service_area","supplier_revenue_model","supplier_priority","supplier_partnership_status","safe_public_positioning","why_lawyers_buy_it","do_not_claim"
"https://itrexint.co.il/services/legal-translation","iTrex Language Services","translation_notary","Israel / legal translation","lead_fee","high","research","Legal translation and notarized-translation referral candidate","Lawyers need court, ministry, contract and cross-border document translation support.","Do not claim partnership, court acceptance for every case, pricing, SLA or lawyer-only discount without agreement."
"https://weissec.co.il/","WeisSec / Asaf Weiss","expert_witness","Israel / digital forensics","lead_fee","high","research","Digital forensics and expert-witness referral candidate","Criminal, cyber, privacy, employment, fraud and business-dispute lawyers need forensic evidence review.","Do not claim expert availability, admissibility, police credentials beyond source text, or case outcome value."
"https://en.afteruinv.com/","AfterU Investigations / Yanshuf Legal Services","courier_filing","Israel / legal service, tracing, process service","lead_fee","high","research","Process serving, locating people, transcription and investigation support candidate","Litigation lawyers need lawful delivery, locating, evidence support and transcription services.","Do not claim guaranteed service, covert methods, international coverage or lawful suitability for every matter."
"https://www.yadininvestigations.com/english/","Yadin Investigations","expert_witness","Israel / private investigations and tracing","lead_fee","medium","research","Private investigation and tracing referral candidate","Family, civil, commercial and enforcement lawyers may need tracing and lawful evidence-gathering support.","Do not claim any investigation result, legality of a specific tactic, or court admissibility."
"https://pardo-law.com/our-services/notary/","Pardo & Co Notary Services","translation_notary","Jerusalem / Tel Aviv / notary services","lead_fee","medium","research","Notary and foreign-document verification candidate","Lawyers often need notarization, power-of-attorney, will and foreign-document support for clients.","Do not copy notary pricing, claim immediate availability, or imply Jus-Tice verifies documents."
"https://notary.beiton.co/en","Beiton & Co Notary Services","translation_notary","Israel / notary, apostille and translation","lead_fee","medium","research","Notary, apostille and translation-service candidate","Lawyers and clients need notary, apostille, signature authentication and translation workflows.","Do not claim partnership, digital completion, pricing or legal advice beyond public source."
"https://techlaw.co.il/en/services/","Tech&Law","legal_tech","Israel / legal tech advisory","affiliate","medium","research","Legal-tech and law-firm operations advisory candidate","Law firms need CRM, automation, pricing, marketing and operational improvements.","Do not claim software integration, ROI uplift, endorsement or consulting availability."
"https://reinfeld-law.co/en/","Reinfeld Law / DPO and cyber compliance","legal_tech","Israel / privacy, AI, cyber, DPO services","lead_fee","medium","research","Privacy, AI, cyber and DPO service candidate","Commercial, technology, ecommerce and privacy lawyers may need specialist compliance support.","Do not present as non-lawyer supplier if service is legal advice; route through partnership/compliance review."
"https://grow.business/wordpress-plugin/","Grow / Morning WooCommerce payments","finance_tax","Israel / payments, invoices, WooCommerce clearing","affiliate","high","research","Payment and invoice infrastructure candidate for lawyer subscriptions","Lawyers and Jus-Tice need payment links, WooCommerce clearing, invoices and recurring-billing proof.","Do not claim recurring billing is configured until WooCommerce/API setup and live test pass."
"https://www.hashavim.co.il/","Hashavim / professional legal-tax information","training_events","Israel / professional information and training","affiliate","low","research","Professional information/training supplier candidate","Lawyers and accountants buy updates, tax/labor/legal data and professional learning.","Do not claim current package terms, pricing, access or affiliation without direct agreement."
