source_url,source_topic,source_cluster,related_url,related_topic,relationship_type,priority,anchor_text,reason,status
"/divorce-lawyer/","עורך דין גירושין","family_divorce","/consensual-divorce/","גירושין בהסכמה","pillar_to_support","HIGH","גירושין בהסכמה","Core supporting intent for divorce users","PLANNED_NO_CONTENT_CHANGE"
"/divorce-lawyer/","עורך דין גירושין","family_divorce","/divorce-mediation/","גישור גירושין","pillar_to_support","HIGH","גישור גירושין","Alternative dispute path before or during divorce","PLANNED_NO_CONTENT_CHANGE"
"/divorce-lawyer/","עורך דין גירושין","family_divorce","/child-support/","מזונות ילדים","pillar_to_support","HIGH","מזונות ילדים","Common divorce sub-issue","PLANNED_NO_CONTENT_CHANGE"
"/divorce-lawyer/","עורך דין גירושין","family_divorce","/child-custody/","משמורת וזמני שהות","pillar_to_support","HIGH","משמורת וזמני שהות","Common divorce sub-issue involving children","PLANNED_NO_CONTENT_CHANGE"
"/divorce-lawyer/","עורך דין גירושין","family_divorce","/divorce-property-division/","חלוקת רכוש בגירושין","pillar_to_support","HIGH","חלוקת רכוש בגירושין","Common divorce sub-issue involving assets","PLANNED_NO_CONTENT_CHANGE"
"/divorce-lawyer/","עורך דין גירושין","family_divorce","/family-dispute-resolution/","יישוב סכסוך במשפחה","pillar_to_support","HIGH","יישוב סכסוך במשפחה","Process gateway before many family proceedings","PLANNED_NO_CONTENT_CHANGE"
"/divorce-mediation/","גישור גירושין","family_divorce","/divorce-lawyer/","עורך דין גירושין","support_to_pillar","CRITICAL","עורך דין גירושין","Support article should strengthen the divorce pillar","PLANNED_NO_CONTENT_CHANGE"
"/child-support/","מזונות ילדים","family_divorce","/child-custody/","זמני שהות ומשמורת","support_to_support","HIGH","זמני שהות ומשמורת","Support amount often connects to parenting arrangements","PLANNED_NO_CONTENT_CHANGE"
"/criminal-lawyer/","עורך דין פלילי","criminal_law","/criminal-law/","דין פלילי","pillar_to_support","HIGH","דין פלילי","Informational support for broad criminal-law concept","PLANNED_NO_CONTENT_CHANGE"
"/criminal-lawyer/","עורך דין פלילי","criminal_law","/police-investigation/","חקירה במשטרה","pillar_to_support","HIGH","חקירה במשטרה","High-anxiety early criminal process intent","PLANNED_NO_CONTENT_CHANGE"
"/criminal-lawyer/","עורך דין פלילי","criminal_law","/indictment/","כתב אישום","pillar_to_support","HIGH","כתב אישום","Common next-step criminal process intent","PLANNED_NO_CONTENT_CHANGE"
"/criminal-lawyer/","עורך דין פלילי","criminal_law","/pretrial-detention/","מעצר ימים","pillar_to_support","HIGH","מעצר ימים","Urgent criminal procedure support intent","PLANNED_NO_CONTENT_CHANGE"
"/criminal-lawyer/","עורך דין פלילי","criminal_law","/drug-offenses/","עבירות סמים","pillar_to_support","MEDIUM","עבירות סמים","Criminal sub-topic support page","PLANNED_NO_CONTENT_CHANGE"
"/criminal-lawyer/","עורך דין פלילי","criminal_law","/sex-offenses/","עבירות מין","pillar_to_support","MEDIUM","עבירות מין","Criminal sub-topic support page","PLANNED_NO_CONTENT_CHANGE"
"/criminal-lawyer/","עורך דין פלילי","criminal_law","/white-collar-crime/","צווארון לבן","pillar_to_support","MEDIUM","עבירות צווארון לבן","Criminal sub-topic support page","PLANNED_NO_CONTENT_CHANGE"
"/police-investigation/","חקירה במשטרה","criminal_law","/criminal-lawyer/","עורך דין פלילי","support_to_pillar","CRITICAL","עורך דין פלילי","Support article should strengthen criminal-lawyer pillar","PLANNED_NO_CONTENT_CHANGE"
"/real-estate-lawyer/","עורך דין מקרקעין","real_estate","/buying-apartment/","קניית דירה","pillar_to_support","HIGH","קניית דירה","GSC shows apartment-buying intent exists but current page ownership is weak","PLANNED_NO_CONTENT_CHANGE"
"/real-estate-lawyer/","עורך דין מקרקעין","real_estate","/real-estate-purchase-agreement/","חוזה מכר דירה","pillar_to_support","HIGH","חוזה מכר דירה","GSC showed contract intent mapped to cost page","PLANNED_NO_CONTENT_CHANGE"
"/real-estate-lawyer/","עורך דין מקרקעין","real_estate","/real-estate-lawyer-cost-2025/","עלות עורך דין מקרקעין","pillar_to_support","HIGH","עלות עורך דין מקרקעין","Existing GSC-visible support asset","PLANNED_NO_CONTENT_CHANGE"
"/medical-malpractice-lawyer/","עורך דין רשלנות רפואית","medical_malpractice","/birth-malpractice/","רשלנות רפואית בלידה","pillar_to_support","HIGH","רשלנות רפואית בלידה","GSC-visible support topic","PLANNED_NO_CONTENT_CHANGE"
"/medical-malpractice-lawyer/","עורך דין רשלנות רפואית","medical_malpractice","/pregnancy-malpractice/","רשלנות רפואית בהריון","pillar_to_support","HIGH","רשלנות רפואית בהריון","Overlaps with birth malpractice and needs careful intent split","PLANNED_NO_CONTENT_CHANGE"
"/traffic-lawyer/","עורך דין תעבורה","traffic_law","/drunk-driving/","נהיגה בשכרות","pillar_to_support","HIGH","נהיגה בשכרות","Wrong-page GSC match indicates support gap","PLANNED_NO_CONTENT_CHANGE"
"/traffic-lawyer/","עורך דין תעבורה","traffic_law","/license-suspension/","שלילת רישיון נהיגה","pillar_to_support","HIGH","שלילת רישיון נהיגה","Current GSC match appears off-intent to professional license PDF","PLANNED_NO_CONTENT_CHANGE"
"/inheritance-lawyer/","עורך דין ירושה","inheritance_wills","/will/","צוואה","pillar_to_support","HIGH","צוואה","GSC-visible will intent needs structured guide","PLANNED_NO_CONTENT_CHANGE"
"/inheritance-lawyer/","עורך דין ירושה","inheritance_wills","/will-contest/","התנגדות לצוואה","pillar_to_support","HIGH","התנגדות לצוואה","GSC-visible case-law intent should connect to practical guide","PLANNED_NO_CONTENT_CHANGE"
