"field_map_id","target_url","repair_type","status","keep_h1","demote_or_remove","allowed_after_approval","blocked_action","verification","notes"
"FLR-FIELD-001","/divorce-agreement/","h1_repair","BLOCKED_OWNER_APPROVAL","הסכם גירושין 2025 — מדריך מלא, טופס PDF להורדה וכל מה שצריך לדעת","Demote/remove auto/title H1: הסכם גירושין 2025 | מדריך + טופס PDF להורדה | Jus-Tice","Repair current URL only after CMS rollback backup","Do not change URL canonical robots sitemap taxonomy or related cards","Safety checker reports h1_count_1","Coordinate with shortcode/PDF repair on same page"
"FLR-FIELD-002","/divorce-agreement/","shortcode_repair","BLOCKED_OWNER_APPROVAL","N/A","Remove raw justice_pdf_download and justice_contact_form shortcode text from visible output","Restore rendering or replace with approved static CTA/form block","Do not leave raw shortcode text visible","Diagnostics reports raw_shortcode_tokens empty","Form/privacy flow must be verified before live contact CTA"
"FLR-FIELD-003","/divorce-agreement/","pdf_gate","BLOCKED_OWNER_APPROVAL","N/A","Remove PDF promise unless verified PDF exists","Upload/attach approved PDF or show temporary unavailable note","Do not link to 404 PDF or promise unavailable download","PDF CTA absent or final PDF returns 200 with PDF content type","Default safe copy: הטופס להורדה נמצא בבדיקה ועדכון"
"FLR-FIELD-004","/divorce-lawyer/","h1_repair","BLOCKED_OWNER_APPROVAL","עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכוש","Remove one duplicate identical H1","Repair current URL only after CMS rollback backup","Do not canonicalize redirect noindex or change slug before GSC decision","Safety checker reports h1_count_1","Canonical consolidation remains separate"
"FLR-FIELD-005","/lawyer-divorce-guide-proceedings-costs-rights/","h1_repair","BLOCKED_OWNER_APPROVAL","עורך דין גירושין – מדריך להליכים, עלויות, זכויות ושלבי התהליך","Demote/remove branded title H1: עורך דין גירושין | מחירים, זכויות וייצוג 2025 | Jus-Tice; demote body H1: עורך דין גירושין — מדריך מלא לשנת 2025: הליך, מחירים וזכויות","Repair current URL only after CMS rollback backup","Do not canonicalize redirect noindex remove from sitemap or change slug before GSC decision","Safety checker reports h1_count_1","Canonical consolidation remains separate"
"FLR-FIELD-006","/child-support/","h1_repair","BLOCKED_OWNER_APPROVAL","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב","Demote to H2: מזונות ילדים: איך בודקים צרכים, הכנסות, זמני שהות וסיכונים לפני הסכם או תביעה; demote/remove noisy heading: רבני מזונות ילדים יסודות חיוב בדמי טיפול","Repair current URL only after CMS rollback backup","Do not bundle with URL migration taxonomy or related-card edits","Safety checker reports h1_count_1","Review noisy רבני heading before keeping"
"FLR-FIELD-007","/child-custody/","h1_repair","BLOCKED_OWNER_APPROVAL","משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים","Demote to H2: זמני שהות ואחריות הורית: מדריך להורים בגירושין בלי להפוך את הילדים לזירת מאבק","Repair current URL only after CMS rollback backup","Do not bundle with URL migration taxonomy or related-card edits","Safety checker reports h1_count_1","Current canonical robots should remain unchanged"
"FLR-FIELD-008","/divorce-mediation/","h1_repair","BLOCKED_OWNER_APPROVAL","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק","Demote to H2: גישור גירושין: מתי זה מתאים, מה בודקים, כמה זה עולה ומה חשוב לא לפספס; demote to H2/H3: גירושין בגישור עם ילדים: הדרך הטובה להתגרש בגישור בלי לפגוע בילדים","Repair current URL only after CMS rollback backup","Do not bundle with URL migration taxonomy or related-card edits","Safety checker reports h1_count_1","Current canonical robots should remain unchanged"
"FLR-FIELD-009","DIVORCE_PILLAR_CANDIDATES","seo_boundary","BLOCKED_GSC_OWNER_DECISION","N/A","N/A","Only run visible H1 repair on current URLs","Do not choose canonical redirect noindex sitemap outcome without focused GSC and owner decision","GSC workflow output and owner canonical decision exist","Applies to /divorce-lawyer/ and /lawyer-divorce-guide-proceedings-costs-rights/"
"FLR-FIELD-010","ALL_REPAIRED_PAGES","post_repair_verification","BLOCKED_UNTIL_REPAIR","N/A","N/A","Rerun safety checker diagnostics and capture screenshots after approved repair","Do not mark upload-safe from planning docs alone","New project-control checker and diagnostics outputs show repaired rows","Screenshots only after route/status/canonical/robots checks pass"
