decision_id,area,current_url,current_status,evidence,recommended_action,owner_approval_question,approval_status,blocked_actions,notes
MEDMAL-PILLAR-CANDIDATE-001,medical-malpractice-commercial-pillar,https://jus-tice.co.il/medical-malpractice-lawyer/,"Published clean candidate; REST ID 11607 has 5135 words quality 6/10; REST ID 1130 has 3287 words quality 8/10","Slug conflict review shows 27 conflict rows and 2 exact current records for the same public URL","COMPARE_AS_PRIMARY_DUPLICATE_REVIEW_NO_URL_CHANGE","Approve /medical-malpractice-lawyer/ as likely primary only after duplicate same-URL and side-by-side review?","OWNER_APPROVAL_REQUIRED","No title H1 meta content slug redirect canonical sitemap or CMS edit","Clean candidate exists but exact duplicate/same-public-URL condition must be resolved first."
MEDMAL-DUPLICATE-SAME-URL-001,duplicate-same-public-url,https://jus-tice.co.il/medical-malpractice-lawyer/,"Two public REST records share the same public URL","ID 11607 title is עורך דין רשלנות רפואית; ID 1130 title is מומחים לענייני רשלנות רפואית","CMS_IDENTITY_REVIEW_REQUIRED","Which CMS record is authoritative and should useful content be merged into one primary state?","OWNER_APPROVAL_REQUIRED","No edit to either record until CMS/source state is understood","This is not a redirect task yet; it is a same-public-URL identity review."
MEDMAL-FEE-GSC-001,fee-support-visible-gsc,https://jus-tice.co.il/articles/שכר-טרחה-עורך-דין-רשלנות-רפואית/,"Published fee article; 989 words; quality 4/10","GSC visible Pages row for עורך דין רשלנות רפואית has 145 impressions and average position 49.5","PROTECT_COMPARE_SUPPORT_OR_MERGE_LATER","Should the fee article remain support, merge into pillar, or later redirect after consolidation?","OWNER_APPROVAL_REQUIRED","No redirect noindex deletion canonical change or rewrite","Visible main-query signal gives this page migration risk despite weak quality."
MEDMAL-BIRTH-HEBREW-GSC-001,birth-malpractice-old-url,https://jus-tice.co.il/עורך-דין-רשלנות-רפואית-בלידה-מומלץ/,"Published old Hebrew birth-malpractice page; 6739 words; quality 6/10","GSC: 661 impressions for רשלנות רפואית בלידה and 419 impressions for רשלנות רפואית בהריון","PROTECT_COMPARE_SPLIT_OR_MERGE_LATER","Should birth and pregnancy malpractice be split or structured as parent/support content before any URL migration?","OWNER_APPROVAL_REQUIRED","No redirect noindex deletion canonical change title rewrite or English slug migration","High subtopic migration risk and cannibalization overlap."
MEDMAL-PREGNANCY-OVERLAP-001,pregnancy-birth-overlap,https://jus-tice.co.il/עורך-דין-רשלנות-רפואית-בלידה-מומלץ/,"Same birth page receives pregnancy-malpractice query impressions","GSC: רשלנות רפואית בהריון maps to the birth page with 419 impressions","INTENT_SPLIT_REQUIRED","Approve a birth/pregnancy intent split review before creating or rewriting support pages?","OWNER_APPROVAL_REQUIRED","No new pregnancy page or redirect until split is approved","Avoid duplicate pregnancy/birth pages competing for the same query set."
MEDMAL-BIRTH-SUPPORT-001,birth-injury-support,https://jus-tice.co.il/birth-injury/,"Published support page; 1723 words; quality 5/10","Existing birth injury support page must be compared before duplicate pages are created","KEEP_SUPPORT_COMPARE","Should this remain support under medical malpractice or merge with birth-malpractice content?","OWNER_APPROVAL_REQUIRED","No duplicate birth injury page title H1 meta rewrite redirect or canonical change","Related pages include birth-injury-lawyer, birth-injury-causes, malpractice-cerebral-palsy."
MEDMAL-SURGERY-SUPPORT-001,surgery-malpractice-support,https://jus-tice.co.il/surgical-errors-medical-malpractice/,"Published support page; 855 words; quality 4/10","Existing surgery support URL and old Hebrew surgery-malpractice URL both exist","SUPPORT_EXPAND_AFTER_SOURCE_REVIEW","Approve surgery/anesthesia support comparison and source/legal review?","OWNER_APPROVAL_REQUIRED","No rewrite redirect merge or new surgery page","Surgery should be support, not an uncontrolled duplicate pillar."
MEDMAL-ANESTHESIA-SUPPORT-001,anesthesia-malpractice-support,https://jus-tice.co.il/anesthesia-medical-malpractice/,"Published support page; 2878 words; quality 6/10","Medical-malpractice cluster support page with no internal links detected by heuristic","KEEP_SUPPORT_INTERNAL_LINK_REVIEW","Should anesthesia be kept as support and linked from the main pillar after review?","OWNER_APPROVAL_REQUIRED","No content rewrite URL change or redirect","Likely useful support page but needs source/legal and internal-link review."
MEDMAL-DEFINITION-SUPPORT-001,definition-support,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,"Published informational support page; 1415 words; quality 5/10","Definition/examples page should not compete with commercial עורך דין רשלנות רפואית intent","KEEP_SUPPORT_INTENT_REVIEW","Approve as informational support rather than commercial primary?","OWNER_APPROVAL_REQUIRED","No title H1 meta rewrite or canonical change","Use to support pillar with natural links after source review."
MEDMAL-COMMON-ERRORS-001,common-errors-support,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,"Published support page; 698 words; marked thin; quality 6/10; recommended EXPAND","Existing support page can be improved later but should not be duplicated","EXPAND_AFTER_SOURCE_REVIEW","Approve future expansion only after YMYL source/legal review?","OWNER_APPROVAL_REQUIRED","No immediate rewrite or CMS edit","Potential practical support page for hospital/doctor error intent."
