path,visible_size,visible_modified,permissions,live_status,source,status,notes
/wp-content/plugins/ultra-justice-engine/,157.8 kB,לפני יומיים,rwxr-xr-x,active,uPress File Manager,VERIFIED_VISIBLE,"Folder exists under live /wp-content/plugins and is marked active"
/wp-content/plugins/ultra-justice-engine/ultra-justice-engine.php,3.2 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Main plugin file exists"
/wp-content/plugins/ultra-justice-engine/includes/,61.5 kB,לפני יומיים,rwxr-xr-x,active,uPress File Manager,VERIFIED_VISIBLE,"Includes folder visible; folder total shown by uPress listing"
/wp-content/plugins/ultra-justice-engine/includes/admin-pages.php,98 B,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/agent-bridge.php,3.9 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/cpt-articles.php,1.8 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/cpt-lawyers.php,12.5 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/file-tools.php,130 B,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/lead-submissions.php,9.0 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/logger.php,693 B,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/rest-content-tools.php,8.9 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/rest-db-tools.php,7.5 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/rest-health.php,2.4 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/rest-routes.php,139 B,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/security.php,108 B,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/seeder.php,11.1 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/taxonomy-city.php,2.2 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/taxonomy-practice-areas.php,1.2 kB,לפני יומיים,rw-rw-r--,active,uPress File Manager,VERIFIED_VISIBLE,"Visible in includes listing"
/wp-content/plugins/ultra-justice-engine/includes/cpt-legal-tools.php,NOT VISIBLE,NOT VISIBLE,NOT VISIBLE,active,uPress File Manager,NOT_VISIBLE,"Repo has this file; live includes listing did not show it"
