"repair_id","stage","target","risk","status","allowed_action","blocked_action","owner_decision_required","verification","source","next_step"
"FLR-001","scope","ALL","CRITICAL","READY_FOR_OPERATOR_PREP","Use this packet only for measured live Family/Divorce defects","Do not treat this as general CMS upload approval","APPROVE_VISIBLE_REPAIR_ONLY or HOLD_PUBLIC_REPAIR","Packet exists and maps to live safety rows","project-control/family-law-live-safety-check-2026-05-22.csv","Owner decides whether visible repair work may proceed"
"FLR-002","backup","ALL_AFFECTED_PAGES","CRITICAL","BLOCKED","Export WordPress post ID title slug full editor body SEO fields canonical robots taxonomy featured image related fields and revision timestamp before editing","Do not rely on public HTML snapshots as rollback backup","APPROVE_VISIBLE_REPAIR_ONLY","Backup folder recorded outside secrets and attached to operator log","project-control/family-divorce-cms-operator-runbook-2026-05-21.md","Capture actual CMS rollback material before every approved edit"
"FLR-003","gsc_gate","DIVORCE_PILLAR_CANDIDATES","CRITICAL","BLOCKED","Run focused Family/Divorce GSC workflow before SEO consolidation","Do not redirect noindex canonicalize remove from sitemap or change slugs before GSC","HOLD_PENDING_GSC until export is complete","GSC workflow output exists for current report date","project-control/family-divorce-gsc-workflow-handoff-2026-05-22.md","Owner runs .\\tools\\gsc\\run-family-divorce-gsc-workflow.ps1 after credential setup"
"FLR-004","owner_decision","DIVORCE_PILLAR_CANDIDATES","CRITICAL","BLOCKED","Owner chooses canonical divorce-lawyer URL after GSC evidence","Do not infer canonical target from slug preference alone","CANONICAL_DIVORCE_LAWYER_KEEP_CLEAN_URL or CANONICAL_DIVORCE_LAWYER_KEEP_LONG_URL or HOLD_PENDING_GSC","Owner decision row recorded","project-control/family-law-live-safety-check-2026-05-22.csv","Record owner decision before any canonical redirect noindex or sitemap action"
"FLR-005","visible_repair","/divorce-agreement/","CRITICAL","BLOCKED","Repair raw shortcode output by restoring shortcode rendering or replacing with approved static CTA/download markup","Do not leave raw [justice_pdf_download] or [justice_contact_form] text visible","APPROVE_VISIBLE_REPAIR_ONLY","No raw justice_pdf_download or justice_contact_form appears in fetched HTML","project-control/family-law-live-safety-check-2026-05-22.csv","Repair existing page only after backup"
"FLR-006","pdf_gate","/divorce-agreement/","CRITICAL","BLOCKED","Upload and verify PDF asset or remove the PDF download promise until a verified PDF exists","Do not link to a 404 PDF or promise a downloadable template without a working file","UPLOAD_VERIFIED_PDF or REMOVE_PDF_CTA_UNTIL_READY","If present PDF returns 200 with PDF content type","project-control/family-law-live-safety-check-2026-05-22.csv","Choose PDF path then verify with live read-only fetch"
"FLR-007","heading_repair","/divorce-agreement/","CRITICAL","BLOCKED","Ensure one intended H1 by converting extra body H1s to H2/H3 or removing body H1 if theme title is H1","Do not change URL canonical robots sitemap or taxonomy during heading repair","APPROVE_VISIBLE_REPAIR_ONLY","Checker reports h1_count_1 for this URL","project-control/family-law-live-safety-check-2026-05-22.csv","Repair headings after shortcode/PDF cleanup"
"FLR-008","heading_repair","/divorce-lawyer/","CRITICAL","BLOCKED","Ensure one intended H1 while preserving current URL and SEO fields","Do not canonicalize redirect noindex or change slug before GSC decision","APPROVE_VISIBLE_REPAIR_ONLY","Checker reports h1_count_1 for this URL","project-control/family-law-live-safety-check-2026-05-22.csv","Repair template/body headings only"
"FLR-009","heading_repair","/lawyer-divorce-guide-proceedings-costs-rights/","CRITICAL","BLOCKED","Ensure one intended H1 while preserving current URL until owner SEO decision","Do not canonicalize redirect noindex or remove from sitemap before GSC decision","APPROVE_VISIBLE_REPAIR_ONLY","Checker reports h1_count_1 for this URL","project-control/family-law-live-safety-check-2026-05-22.csv","Repair template/body headings only"
"FLR-010","heading_repair","/child-support/","MEDIUM","BLOCKED","Ensure one intended H1 while preserving current URL","Do not bundle support-page heading repair with URL migration","APPROVE_VISIBLE_REPAIR_ONLY","Checker reports h1_count_1 for this URL","project-control/family-law-live-safety-check-2026-05-22.csv","Repair template/body headings only"
