"runbook_id","stage","target","required","status","operator_instruction","blocked_until","notes"
"FD-CMS-RUN-001","approval","ALL","YES","BLOCKED","Do not edit CMS until owner marks each target APPROVE in project-control/family-divorce-owner-review-packet-2026-05-21.csv","Owner/legal/source approval","Allowed decisions are APPROVE EDIT HOLD LEGAL_REVIEW_REQUIRED"
"FD-CMS-RUN-002","backup","ALL","YES","BLOCKED","Capture actual WordPress editor/database rollback material before editing any approved page","Owner approval plus CMS access","Public text snapshots are comparison evidence only, not rollback backup"
"FD-CMS-RUN-003","boundary","ALL","YES","VERIFIED_PLANNING","Do not create duplicate pages; update existing target pages only","Owner approval","All seven target URLs already return live 200 pages"
"FD-CMS-RUN-004","boundary","ALL","YES","VERIFIED_PLANNING","Do not change slugs, redirects, noindex, canonicals, sitemap inclusion or protected old URLs in the body upload batch","GSC API/export and separate approval","URL migration is separate from content-body upload"
"FD-CMS-RUN-005","page","/divorce-lawyer/","YES","BLOCKED","Use content-drafts/divorce-lawyer-public-body-he.md only after approval; update existing page after backup","Owner approval and CMS backup","Wave 1A pillar; static QA PASS 2106 words"
"FD-CMS-RUN-006","page","/consensual-divorce/","YES","BLOCKED","Use content-drafts/consensual-divorce-public-body-he.md only after approval; update existing page after backup","Owner approval and CMS backup","Wave 1B support; static QA PASS 1656 words"
"FD-CMS-RUN-007","page","/divorce-mediation/","YES","BLOCKED","Use content-drafts/divorce-mediation-public-body-he.md only after approval; update existing page after backup","Owner approval and CMS backup","Wave 1B support; static QA PASS 1834 words"
"FD-CMS-RUN-008","page","/divorce-property-division/","YES","BLOCKED","Use content-drafts/divorce-property-division-public-body-he.md only after approval; update existing page after backup","Owner approval and CMS backup","Wave 1B support; high-risk merge resolved; static QA PASS 1851 words"
"FD-CMS-RUN-009","page","/family-dispute-resolution/","YES","BLOCKED","Use content-drafts/family-dispute-resolution-public-body-he.md only after approval; update existing page after backup","Owner approval and CMS backup","Wave 1B support; static QA PASS 1793 words"
"FD-CMS-RUN-010","page","/child-support/","YES","BLOCKED","Use content-drafts/child-support-public-body-he.md only after approval; update existing page after backup","Owner approval and CMS backup","Wave 1B support; high-risk merge resolved; static QA PASS 1650 words"
"FD-CMS-RUN-011","page","/child-custody/","YES","BLOCKED","Use content-drafts/child-custody-public-body-he.md only after approval; update existing page after backup","Owner approval and CMS backup","Wave 1B support; high-risk merge resolved; static QA PASS 1748 words"
"FD-CMS-RUN-012","post_upload_qa","EACH_APPROVED_PAGE","YES","BLOCKED","Verify 200 status, final path, canonical, robots, title, H1, visible body, links, protected URLs and screenshots after each update","Approved CMS update","Rollback immediately if route or content integrity fails"
"FD-CMS-RUN-013","gsc_boundary","PROTECTED_OLD_URLS","YES","BLOCKED","Run GSC API/export before redirect, noindex, canonical retirement or sitemap removal decisions","GSC API credentials and owner approval","Do not bundle URL migration with CMS body upload"
