section,claim_or_content_need,source_type,source_url,verification_status,publication_action,notes
אישור הסכם,בקשה לאישור הסכם בין בני זוג כולל הסכם גירושין או ממון,official_gov,https://www.gov.il/he/service/couple-family-agreement,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found via web search on 2026-05-10; gov.il may block direct scripted checks. Confirm in browser before final citation."
גירושין בהסכמה,בקשה לגירושין בהסכמה או אישור הסכם בבית הדין הרבני,official_gov,https://www.gov.il/he/service/request-divorce-by-consent,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Found via web search on 2026-05-10; use for rabbinical divorce consent workflow."
אישור הסכם בין יהודים,אישור הסכם גירושין בין יהודים ותוקף פסק דין,legal_rights_reference,https://www.kolzchut.org.il/he/%D7%90%D7%99%D7%A9%D7%95%D7%A8_%D7%94%D7%A1%D7%9B%D7%9D_%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F_%D7%91%D7%99%D7%9F_%D7%99%D7%94%D7%95%D7%93%D7%99%D7%9D,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Direct PowerShell request returned 200; still requires content/legal review before final citation."
גירושין בהסכמה בין יהודים,הליך גירושין בהסכמה והקשר בין הסכם מאושר לבקשה לגירושין,legal_rights_reference,https://www.kolzchut.org.il/he/%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F_%D7%91%D7%94%D7%A1%D7%9B%D7%9E%D7%94_%D7%91%D7%99%D7%9F_%D7%99%D7%94%D7%95%D7%93%D7%99%D7%9D,VERIFIED_HTTP_200,VERIFY_CONTENT_BEFORE_PUBLICATION,"Direct PowerShell request returned 200; still requires exact wording review before citation."
יישוב סכסוך,בקשה ליישוב סכסוך במשפחה ופגישות מהו"ת,official_gov,https://www.gov.il/he/service/asking_for_family_dispute_settlements,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Use only for procedural context; not every agreement path needs the same handling."
תביעת סכסוך משפחתי,תביעה בענייני סכסוך משפחתי לאחר יישוב סכסוך כשאין הסכמה,official_gov,https://www.gov.il/he/service/filing-lawsuit-family-dispute,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Used to explain what happens if agreement path fails."
תעודת גירושין,קבלת מעשה בית דין/תעודת גירושין לאחר הליך בבית הדין הרבני,official_gov,https://www.gov.il/he/service/obtaining-divorce-certificate,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"Optional source for post-approval execution/checklist section."
צ'קליסט תהליך גירושין,רבנות checklist for agreement approval and consent divorce workflow,official_pdf,https://www.gov.il/BlobFolder/service/obtaining-divorce-certificate/he/%D7%A6%27%D7%A7%D7%9C%D7%99%D7%A1%D7%98%20%D7%AA%D7%94%D7%9C%D7%99%D7%9A%20%D7%94%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F%20-%20%D7%91%D7%99%D7%AA%20%D7%94%D7%93%D7%99%D7%9F%20%D7%94%D7%A8%D7%91%D7%A0%D7%99.pdf,PARTIAL_SEARCH_VERIFIED,VERIFY_BEFORE_PUBLICATION,"PDF search result published recently; use for checklist inspiration only after manual review."
עלות הסכם,טווחי מחיר להסכם גירושין/ייעוץ/גישור,commercial_reference,,NOT_VERIFIED,DO_NOT_PUBLISH_NUMBERS_WITHOUT_SOURCE,"Current article explains cost factors without numbers. Add dated source before publishing price ranges."
ילדים ומזונות,זמני שהות מזונות והוצאות ילדים בהסכם,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Requires family-law review; do not make numeric/calculation claims."
פנסיה ורכוש,זכויות פנסיוניות דירה עסק וחובות בהסכם,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Connect to property-division source audit later."
אלימות/שליטה כלכלית,הסכם שנחתם תחת לחץ או פחד אינו safe agreement path,legal_review_required,,NOT_VERIFIED,LAWYER_REVIEW_REQUIRED,"Article warns cautiously; add emergency/help resources before publication if section expands."
FAQ schema,FAQ markup only if questions are visible on-page,structured_data_policy,,VERIFIED_IN_REPO,KEEP_POLICY,"Do not add FAQ schema unless visible FAQ survives final edit."
