id,path,role,status,http_status,final_url,title,h1,h1_count,h2_sample,rv_intent_fit,route_decision,cannibalization_risk,exact_rv_marker_count,exact_rv_marker_hits,approved_public_change,blocked_public_action,next_action
ROUTE-01,/consumer-rights-israel/,consumer_rights_guide,VERIFIED_LIVE,200,https://jus-tice.co.il/consumer-rights-israel/?rv_route_overlap=1779839258404,"זכויות צרכן בישראל | ביטול, החזר, תביעה | Jus-Tice","זכויות צרכן בישראל | ביטול, החזר, תביעה | Jus-Tice",1,זכויות מרכזיות של צרכן בישראל | מאמרים קשורים | שאלות נפוצות,"Primary existing surface for refund, cancellation, extra charge, deposit and supplier dispute angles.",PRIMARY_EXISTING_SURFACE_FOR_OWNER_REVIEW,MEDIUM,0,-,0,"Do not add RV copy or CTA before GSC query evidence, legal review and owner approval.",Use this live evidence for owner/GSC/legal route decision only.
ROUTE-02,/rental-agreement/,rental_contract_guide,VERIFIED_LIVE,200,https://jus-tice.co.il/rental-agreement/?rv_route_overlap=1779839258500,מה זה הסכם שכירות | חוזה שכירות | Jus-Tice.co.il,מה זה הסכם שכירות | חוזה שכירות,1,"הערת מערכת | צריכים בדיקה אישית בתחום מקרקעין | נדל""ן? | מדריכים משפטיים קשורים","Primary adjacent surface for rental terms, written agreement, inspection, liability and breach language.",PRIMARY_ADJACENT_SURFACE_FOR_OWNER_REVIEW,MEDIUM,0,-,0,Do not turn contract-document intent into a broad dispute page without SEO/legal review.,Use this live evidence for owner/GSC/legal route decision only.
ROUTE-03,/small-claims-court-israel/,small_claims_guide,VERIFIED_LIVE,200,https://jus-tice.co.il/small-claims-court-israel/?rv_route_overlap=1779839258502,"בית משפט לתביעות קטנות | כמה, איך ומתי להגיש | Jus-Tice","בית משפט לתביעות קטנות | כמה, איך ומתי | Jus-Tice",1,מה ניתן לתבוע בתביעות קטנות? | תקרת התביעות ואגרות 2025 | שלבי הגשת תביעה קטנה | שאלות נפוצות,Secondary support surface for low-value deposit/charge disputes if the route is live.,SECONDARY_SUPPORT_ONLY,MEDIUM,0,-,0,Do not publish case/outcome advice or link until route status and legal framing are reviewed.,Use this live evidence for owner/GSC/legal route decision only.
ROUTE-04,/contract-law-israel/,contract_law_guide,VERIFIED_LIVE,200,https://jus-tice.co.il/contract-law-israel/?rv_route_overlap=1779839258504,"דיני חוזים בישראל | מה תקף, ביטול, הפרה | Jus-Tice","דיני חוזים בישראל | מה תקף, ביטול, הפרה | Jus-Tice",1,תנאים לתוקף חוזה | מתי ניתן לבטל חוזה? | שאלות נפוצות,"Secondary support surface for agreement interpretation and contract breach, not first public pilot.",SECONDARY_SUPPORT_ONLY,MEDIUM,0,-,0,Do not dilute contract-law page with travel/rental supplier copy without route review.,Use this live evidence for owner/GSC/legal route decision only.
ROUTE-05,/eviction-notice-israel/,rental_dispute_guide,VERIFIED_LIVE,200,https://jus-tice.co.il/eviction-notice-israel/?rv_route_overlap=1779839258506,"פינוי שוכר | הליך, מכתב, זכויות שוכר | Jus-Tice","פינוי שוכר | הליך, מכתב, זכויות שוכר | Jus-Tice",1,תנאים שבהם ניתן לפנות שוכר | שלבי הליך פינוי | שאלות נפוצות,"Adjacent rental-dispute surface, but eviction-specific and likely not a clean RV fit.",ADJACENT_NOT_FIRST_PILOT,HIGH,0,-,0,Do not attach RV rental copy to eviction intent.,Use this live evidence for owner/GSC/legal route decision only.
ROUTE-06,/real-estate-lawyer-guide/,real_estate_guide,VERIFIED_LIVE,200,https://jus-tice.co.il/real-estate-lawyer-guide/?rv_route_overlap=1779839258507,"מדריך עורך דין מקרקעין | קנייה, מכירה ורישום דירה | Jus-Tice",דיני מקרקעין,1,מדריכים קשורים לפי כוונת חיפוש | צריכים הכוונה? | לא בטוחים מאיפה להתחיל?,Broad legal context only. It should not own RV rental/deposit disputes.,CONTEXT_ONLY,HIGH,0,-,0,Do not use real-estate page as the RV landing surface.,Use this live evidence for owner/GSC/legal route decision only.
ROUTE-07,/insurance-national-insurance-lawyer/,insurance_national_insurance,NOT_PUBLIC_OR_FETCH_BLOCKED,404,https://jus-tice.co.il/insurance-national-insurance-lawyer/?rv_route_overlap=1779839258509,Page not found | Jus-Tice.co.il,העמוד לא נמצא,1,,"Possible insurance overlap if live, but RV insurance claims need separate legal/supplier coverage review.",INSURANCE_PATH_BLOCKED_FOR_NOW,HIGH,0,-,0,Do not combine insurance claim intent with rental/deposit disputes.,Treat as absent/not-public until verified by route inventory before using it in any plan.
ROUTE-08,/car-accident-lawyer/,car_accident_lawyer,NOT_PUBLIC_OR_FETCH_BLOCKED,404,https://jus-tice.co.il/car-accident-lawyer/?rv_route_overlap=1779839258510,Page not found | Jus-Tice.co.il,העמוד לא נמצא,1,,Accident/injury intent is mature and separate. It should not be the first Low Hype/RV pilot.,ACCIDENT_PATH_BLOCKED_FOR_NOW,HIGH,0,-,0,Do not publish RV accident copy without GSC evidence and injury/traffic legal review.,Treat as absent/not-public until verified by route inventory before using it in any plan.
ROUTE-09,/traffic-lawyer/,traffic_lawyer,VERIFIED_LIVE,200,https://jus-tice.co.il/traffic-lawyer/?rv_route_overlap=1779839258512,"עורך דין תעבורה: שלילה, נקודות, נהיגה בשכרות וקנסות | Jus-Tice","עורך דין תעבורה: שלילה, נקודות, נהיגה בשכרות וקנסות",1,עורכי דין לענייני תעבורה | הערת מערכת | צריכים בדיקה אישית בתחום דיני תעבורה? | מדריכים משפטיים קשורים,Traffic/fines intent is separate and should not absorb consumer rental disputes.,TRAFFIC_PATH_BLOCKED_FOR_NOW,HIGH,0,-,0,Do not publish RV fines/traffic copy from this packet.,Use this live evidence for owner/GSC/legal route decision only.
ROUTE-10,/lawyers/,lawyer_directory,VERIFIED_LIVE,200,https://jus-tice.co.il/lawyers/?rv_route_overlap=1779839258513,מדריך עורכי דין בישראל | Jus-Tice,מדריך עורכי דין בישראל,1,מה כדאי לבדוק לפני שבוחרים פרופיל?,Conversion/matching surface only after an approved content or private intake path exists.,CONVERSION_SURFACE_ONLY,LOW,0,-,0,Do not add RV lawyer filtering or matching claims before supply/legal coverage is verified.,Use this live evidence for owner/GSC/legal route decision only.
