id,section,status,item,proposed_public_copy_he,operator_note,blocker
RA-01,route_decision,OWNER_REVIEW_REQUIRED,Target existing route,https://jus-tice.co.il/rental-agreement/,Use the existing rental-agreement route as the first review target. Do not create a new lease/rental page.,Owner/SEO approval required before CMS edit.
RA-02,title,OWNER_REVIEW_REQUIRED,SEO title direction,בדיקת חוזה שכירות לפני חתימה | מה חשוב לבדוק,Reader-facing title only. It explains the legal problem and inspection intent.,Needs source/legal review and exact character-length check in CMS SEO plugin.
RA-03,h1,OWNER_REVIEW_REQUIRED,H1 direction,בדיקת חוזה שכירות: מה לבדוק לפני שחותמים,Keeps the page as legal-help content for people before signature.,Owner/SEO approval required before replacing current H1.
RA-04,meta_description,OWNER_REVIEW_REQUIRED,Meta description direction,"מדריך לבדיקת חוזה שכירות: סעיפים שכדאי לשים לב אליהם, סיכונים נפוצים ומתי כדאי לפנות לעורך דין לפני החתימה.",No paid-service promise. Purely legal-help and lawyer-fit language.,Needs final SEO length check and legal-source review.
RA-05,intro_paragraph,OWNER_REVIEW_REQUIRED,Opening paragraph direction,"חוזה שכירות נראה לפעמים כמו מסמך סטנדרטי, אבל סעיף אחד לא מדויק עלול ליצור מחלוקת על תיקונים, בטוחות, פינוי, אופציה להארכה או סיום מוקדם. לפני שחותמים, כדאי לבדוק מה באמת מתחייבים.",A short user-first intro to replace any generic or thin opening section.,Needs source/legal review before CMS copy.
RA-06,section_heading,OWNER_REVIEW_REQUIRED,New practical checklist heading,מה חשוב לבדוק בחוזה שכירות,Useful section for readers; can also support internal links to tenant/landlord pages.,Owner/SEO approval required.
RA-07,checklist_items,OWNER_REVIEW_REQUIRED,Practical checklist bullets,זהות הצדדים והנכס; תקופת השכירות ואופציית הארכה; דמי שכירות והצמדה; בטוחות וערבים; תחזוקה ותיקונים; ביטוח ואחריות; הפרה ופינוי; אפשרות יציאה מוקדמת.,"Keep as checklist, not legal advice or promise.",Needs legal review for wording and completeness.
RA-08,cta,OWNER_REVIEW_REQUIRED,Single contextual CTA,רוצים שעורך דין יבדוק את חוזה השכירות לפני החתימה? השאירו פרטים ונחבר אתכם לעורך דין מתאים.,One contextual legal-help CTA only; no fixed price and no public packaged-service wording yet.,Needs owner approval plus duplicate-CTA mobile QA before publication.
RA-09,associated_pages,REVIEW_BEFORE_PUBLICATION,Pages to inspect for links/cannibalization,/rental-agreement-guide/; /landlord-obligations-israel/; /tenant-rights-israel/; /landlord-rights-israel/; /tenant-eviction-defense/; /eviction-notice-israel/; /commercial-lease-israel/; /contract-law-israel/,Use for owner email if the page is eventually published or updated.,No internal links until owner/SEO approval.
RA-10,publication_blockers,BLOCKED,Hard blockers,"לא לפרסם ללא אישור בעלים, בדיקת SEO, בדיקה משפטית, נתיב עורך דין, כללי האתיקה, ובדיקת שאין כפילות CTA במובייל.",This row is the stop sign for remote operators.,Public launch blocked.
