check_id,scope,status,risk,required_check,observed_repo_or_live_evidence,blocked_action,next_step
FAM-LIVE-SAFE-001,publish-script,FIXED,CRITICAL,Default execution must not write to production,"reports/semrush/publish-family-law-pages.js now defaults to DRY_RUN and requires ALLOW_WP_PUBLISH=YES plus WP_APP_PASSWORD_JSON for live writes",Do not run live publish without explicit owner approval,Keep dry-run as the normal verification mode
FAM-LIVE-SAFE-002,publish-script,VERIFIED_LOCAL,HIGH,Credential file must not be read during dry run,"node reports/semrush/publish-family-law-pages.js completed in DRY_RUN and reported no credential or network request",Do not store or expose app-password contents,Use env-only credential path when owner approves live write
FAM-LIVE-SAFE-003,publish-script,FIXED,HIGH,Repo-relative paths must replace hardcoded user-machine paths,"Family Law pages JSON now uses FAMILY_LAW_PAGES_JSON or repo-relative reports/semrush/family-law-pages-fixed.json",Do not depend on c:/Users/pro local paths,Keep script portable and reviewed
FAM-LIVE-SAFE-004,divorce-lawyer-url,VERIFIED_LIVE_CONFLICT,CRITICAL,Check whether published long URL conflicts with planned clean URL,"/lawyer-divorce-guide-proceedings-costs-rights/ and /divorce-lawyer/ both return 200 index/follow self-canonical",Do not redirect canonicalize noindex or delete either URL yet,Run focused GSC export and owner URL decision
FAM-LIVE-SAFE-005,divorce-agreement-page,BLOCKED,CRITICAL,Check for raw shortcode output,"/divorce-agreement/ public HTML contains raw justice_pdf_download and justice_contact_form shortcodes",Do not treat page as final upload-ready,Replace or implement shortcodes/forms after approval
FAM-LIVE-SAFE-006,pdf-asset,BLOCKED,CRITICAL,Verify promised PDF exists,"divorce-agreement-template-2025.pdf returned 404 at tested common upload paths",Do not promote PDF CTA as working,Upload or remove asset reference after owner approval
FAM-LIVE-SAFE-007,internal-links,VERIFIED_LIVE,MEDIUM,Check main support links from published Family pages,"/child-support/ /child-custody/ and /divorce-mediation/ return 200 index/follow self-canonical",Do not assume editorial finality from route status alone,Review support content and GSC before expanding links
FAM-LIVE-SAFE-008,h1-structure,NOT_VERIFIED_FINAL,HIGH,Check page H1 count,"Live HTML has 3 h1 tags on /lawyer-divorce-guide-proceedings-costs-rights/ and 2 on /divorce-agreement/",Do not mark template/content SEO QA complete,Normalize H1 structure in approved repair pass
FAM-LIVE-SAFE-009,source-legal-review,BLOCKED,HIGH,Review cost time court process and legal consequence claims,"Published content includes legal process and cost/time claims",Do not mark content legally/source approved,Send claims through source/legal review worksheet
FAM-LIVE-SAFE-010,encoding-render,VERIFIED_LIVE,MEDIUM,Check for obvious mojibake/replacement characters,"Live public HTML for checked Family URLs has Hebrew characters and no Unicode replacement characters detected",Do not skip human visual/content QA,Rerun after any content edit or CMS repair
FAM-LIVE-SAFE-011,adjacent-production-scripts,NOT_VERIFIED,HIGH,Review other scripts that may still write to production,"Repo search still found other credential/default-publish scripts outside this Family publisher",Do not run unrelated production-write scripts ad hoc,Create separate hardening task for remaining scripts
