"batch_id","check_type","priority","query_filter","page_filter","date_range","gsc_section","expected_primary_url","expected_supporting_urls","why_check","known_current_signal","record","decision_rules","status","notes"
"CYBER-QUERY-001","QUERY_TO_PAGE","HIGH","עורך דין סייבר","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/cyber-lawyer/","https://jus-tice.co.il/cyber-laws/ | https://jus-tice.co.il/cybercrime-lawyer-roll/ | https://jus-tice.co.il/what-is-cyberattack/","Verify whether the current /cyber-lawyer/ page owns cyber lawyer service intent or whether support/FBI/old URLs appear instead.","NOT VERIFIED in direct GSC; owner packet says /cyber-lawyer/ is strongest current service candidate.","Clicks impressions CTR position for every visible URL; then reverse page-to-query if a primary URL appears.","If /cyber-lawyer/ owns the query keep as current service candidate; if old/support URLs win protect them and mark migration/internal-link risk; if multiple similar service URLs appear mark cannibalization risk.","NOT_VERIFIED_NEEDS_GSC","No title H1 meta content URL redirect canonical sitemap related-card or CMS action from this row alone."
"CYBER-QUERY-002","QUERY_TO_PAGE","HIGH","דיני סייבר","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/cyber-laws/","https://jus-tice.co.il/cyber-lawyer/ | https://jus-tice.co.il/cybercrime-lawyer-roll/","Separate informational cyber-law guide intent from lawyer-service intent.","NOT VERIFIED in direct GSC; /cyber-laws/ has high word count and quality but role is not approved.","All visible URLs and metrics; note whether /cyber-lawyer/ also appears.","If /cyber-laws/ wins keep as informational support; if /cyber-lawyer/ wins evaluate title/intent mismatch; if both compete split service vs guide roles.","NOT_VERIFIED_NEEDS_GSC","Do not let informational cyber-law content cannibalize the service page."
"CYBER-QUERY-003","QUERY_TO_PAGE","MEDIUM","מתקפת סייבר","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/what-is-cyberattack/","https://jus-tice.co.il/cyber-lawyer/ | https://jus-tice.co.il/cyber-insurance/","Check whether cyberattack demand is technical explainer, business risk, insurance, or lawyer-service support.","VERIFIED 2026-05-11: 0 clicks, 0 impressions, no visible rows.","Pages tab URLs and whether commercial service pages appear.","If explainer owns the query keep support role; if service page appears add support section later; if insurance/business pages compete classify boundary before links.","VERIFIED_ZERO_ROWS","No new cyberattack page should be created from GSC alone; keep SERP/source review."
"CYBER-QUERY-004","QUERY_TO_PAGE","HIGH","עורך דין פרטיות","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/cyber-lawyer/","future possible support: https://jus-tice.co.il/privacy-lawyer/ | privacy overview article","Verify whether privacy lawyer intent belongs under /cyber-lawyer/ or needs a separate privacy service/support path.","NOT VERIFIED in direct GSC; privacy overview article is thin and no separate approved privacy pillar exists.","Pages tab metrics; if privacy overview appears reverse page-to-query.","If /cyber-lawyer/ wins keep privacy as service subsection; if privacy article wins expand/support after legal review; if no rows keep strategic only.","NOT_VERIFIED_NEEDS_GSC","Privacy/legal-reputation boundary must stay review-only."
"CYBER-QUERY-005","QUERY_TO_PAGE","HIGH","פגיעה בפרטיות","","Last 3 months","Performance > Search results > Pages","privacy overview article","https://jus-tice.co.il/cyber-lawyer/ | relevant privacy case-law URLs","Map privacy-invasion informational demand and old Hebrew/case-law URL risk.","VERIFIED 2026-05-11: 0 clicks, 38 impressions, position 46 on old Hebrew privacy-injury URL.","Every visible URL and whether case-law pages hold impressions.","If old case-law URLs win protect them; if overview wins expand with sources; if service page wins split informational vs lawyer intent.","GSC_BROWSER_VERIFIED","Protect old privacy URL and do not rewrite privacy claims without source/legal review."
"CYBER-QUERY-006","QUERY_TO_PAGE","MEDIUM","לשון הרע באינטרנט","","Last 3 months","Performance > Search results > Pages","privacy/defamation support candidate","https://jus-tice.co.il/cyber-lawyer/ | online reputation/privacy case-law URLs","Check whether online defamation belongs in cyber/privacy, reputation, or separate defamation cluster.","VERIFIED 2026-05-11: 0 clicks, 0 impressions, no visible rows.","Visible URLs plus primary/support classification.","If defamation pages win keep separate cluster; if cyber/privacy pages win add boundary links after approval; if multiple case-law URLs win map merge/support later.","VERIFIED_ZERO_ROWS","Avoid mixing defamation and privacy without legal/source review."
"CYBER-QUERY-007","QUERY_TO_PAGE","MEDIUM","מחיקת מידע","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/police-records-data-deletion/","https://jus-tice.co.il/cyber-lawyer/ | criminal-law pages","Classify data-deletion as criminal records, privacy, cyber, or reputation cleanup.","VERIFIED 2026-05-11: 0 clicks, 0 impressions, no visible rows.","Visible URLs and whether criminal-law pages appear.","If police-records page wins classify as criminal/privacy boundary; if cyber page wins keep as support; if no rows keep as later source review.","VERIFIED_ZERO_ROWS","Do not pull data-deletion into cyber/privacy blindly."
"CYBER-QUERY-008","QUERY_TO_PAGE","MEDIUM","שיימינג","","Last 3 months","Performance > Search results > Pages","privacy/online reputation support candidate","https://jus-tice.co.il/cyber-lawyer/ | defamation/privacy pages","Check online reputation/shaming demand before deciding if this is a cyber/privacy support spoke.","VERIFIED 2026-05-11: 0 clicks, 1 impression, position 137 on /changing-or-canceling-a-prenuptial-agreement/.","Pages tab URLs and metrics.","If privacy/defamation pages appear map reputation cluster; if cyber pages appear plan boundary links only after approval; if no rows keep low priority.","VERIFIED_LOW_SAMPLE_WRONG_PAGE","Sensitive content; do not edit the prenup page for shaming intent."
"NATIONAL-QUERY-001","QUERY_TO_PAGE","HIGH","עורך דין ביטוח לאומי","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/national-insurance-lawyer/","https://jus-tice.co.il/practice-areas/national-insurance/ | old calculator URL","Verify whether Jus-Tice has any visible service-intent signal for national-insurance lawyer before creating or migrating a pillar.","NOT VERIFIED in direct GSC; /national-insurance-lawyer/ is future/proposed only.","Every URL and metrics; note if homepage or empty practice-area term appears.","If no rows keep strategic future slug only; if old calculator/practice-area wins protect and compare; if multiple pages appear mark weak primary page.","NOT_VERIFIED_NEEDS_GSC","Do not create or redirect to /national-insurance-lawyer/ from this row alone."
"NATIONAL-QUERY-002","QUERY_TO_PAGE","HIGH","ביטוח לאומי","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/practice-areas/national-insurance/","old calculator URL | old disability regulations URL | future /national-insurance-lawyer/","Separate broad public-benefit intent from lawyer-service intent and calculator/tool intent.","NOT VERIFIED in direct GSC; practice-area term exists with count 0.","Visible URLs and whether tool/law-text pages appear.","If calculator/law-text wins protect as support/tool; if practice area wins review hub role; if many pages appear split benefit/tool/lawyer intents.","NOT_VERIFIED_NEEDS_GSC","Broad query may be too general; record but do not over-prioritize without clicks."
"NATIONAL-QUERY-003","QUERY_TO_PAGE","HIGH","ועדה רפואית ביטוח לאומי","","Last 3 months","Performance > Search results > Pages","future national-insurance medical committee support","https://jus-tice.co.il/national-insurance-lawyer/ | official/source support pages","Check high-value medical committee support intent before drafting national-insurance content.","NOT VERIFIED in direct GSC.","Visible URLs, old pages, clicks/impressions/position.","If old pages win protect and classify; if no rows mark missing support opportunity; if many pages appear choose one support target later.","NOT_VERIFIED_NEEDS_GSC","Needs official-source checklist before content."
"NATIONAL-QUERY-004","QUERY_TO_PAGE","MEDIUM","קצבת נכות","","Last 3 months","Performance > Search results > Pages","future disability-benefit support","old disability regulations URL | future /national-insurance-lawyer/","Check disability-benefit intent and whether old regulations content receives impressions.","NOT VERIFIED in direct GSC; old regulations page is long/outdated.","Visible URLs and whether law-text page appears.","If old law-text wins do not use as pillar by word count; if no rows keep source review; if support page appears map cluster.","NOT_VERIFIED_NEEDS_GSC","YMYL/public-benefit content requires careful source/legal review."
"NATIONAL-QUERY-005","QUERY_TO_PAGE","MEDIUM","תאונת עבודה ביטוח לאומי","","Last 3 months","Performance > Search results > Pages","future /work-accident-lawyer/ or national-insurance support","https://jus-tice.co.il/personal-injury-lawyer/ | future /national-insurance-lawyer/","Clarify work-accident boundary between national insurance, personal injury and employment law.","Earlier broad תאונת עבודה row had zero visible rows.","Pages tab URLs and boundary classification.","If no rows keep lower GSC priority; if personal-injury pages win mark boundary; if national-insurance pages win map support.","NOT_VERIFIED_RECHECK","Do not create work-accident page before boundary decision."
"NATIONAL-QUERY-006","QUERY_TO_PAGE","MEDIUM","דמי אבטלה","","Last 3 months","Performance > Search results > Pages","unemployment-benefit support or legacy page","COVID unemployment-insurance page | future national-insurance support","Check whether outdated COVID/unemployment content still receives benefit-related impressions.","NOT VERIFIED in direct GSC; legacy unemployment page exists.","Visible URLs and whether legacy COVID page appears.","If legacy page wins protect and review update/noindex/redirect later; if no rows keep low priority; if new support needed mark source review.","NOT_VERIFIED_NEEDS_GSC","Do not noindex legacy unemployment page without traffic risk review."
"HOME-QUERY-001","QUERY_TO_PAGE","HIGH","עורך דין","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/","https://jus-tice.co.il/lawyers/ | major practice pillars","Verify broad lawyer-intent ownership and whether homepage or directory should be the primary Google entry.","Homepage strategy targets broad lawyer/legal portal relevance; direct current GSC page map needs review.","Pages tab metrics; record homepage vs directory vs random articles.","If homepage wins strengthen legal portal structure; if directory wins align title/H1/internal links; if random pages win mark weak primary/internal-link issue.","NOT_VERIFIED_NEEDS_GSC","Broad query is competitive; use signal carefully."
"HOME-QUERY-002","QUERY_TO_PAGE","HIGH","עורכי דין","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/lawyers/","https://jus-tice.co.il/","Check whether plural directory intent maps to lawyer directory, homepage, or articles.","NOT VERIFIED in direct page-to-query queue.","Pages tab metrics and top URL.","If /lawyers/ wins support directory as primary; if homepage wins route to directory; if articles win fix internal links later.","NOT_VERIFIED_NEEDS_GSC","No directory title/H1 change without review."
"HOME-QUERY-003","QUERY_TO_PAGE","MEDIUM","פורטל משפטי","","Last 3 months","Performance > Search results > Pages","https://jus-tice.co.il/","https://jus-tice.co.il/articles/ | https://jus-tice.co.il/lawyers/","Check entity/portal positioning for homepage SEO.","NOT VERIFIED in GSC.","Pages tab metrics.","If homepage appears keep entity copy; if articles/directory appear align homepage links; if no rows keep as brand/entity strategy not traffic proof.","NOT_VERIFIED_NEEDS_GSC","Useful for homepage line-by-line review."
