id,type,status,http,bytes,durationMs,missing,unexpected,url,finalUrl,redirectLocation
home-user-first-with-secondary-lawyer-path,page,PASS,200,139859,1967,-,-,https://jus-tice.co.il/,https://jus-tice.co.il/,
plan-page-manual-invoice-routing,page,PASS,200,68962,1809,-,-,https://jus-tice.co.il/lawyer-plans/?codex_check=lawyer_revenue_funnel,https://jus-tice.co.il/lawyer-plans/?codex_check=lawyer_revenue_funnel,
checkout-compliance-fallback,page,PASS,200,79774,1730,-,-,https://jus-tice.co.il/checkout/?plan_interest=lead_partner&pre_checkout=1&payment_path=manual_invoice&utm_source=lawyer_plans&utm_medium=plan_page&utm_campaign=lawyer_acquisition&utm_content=pricing_card_lead_partner&outreach_segment=plans_page&codex_check=grow_checkout,https://jus-tice.co.il/checkout/?plan_interest=lead_partner&pre_checkout=1&payment_path=manual_invoice&utm_source=lawyer_plans&utm_medium=plan_page&utm_campaign=lawyer_acquisition&utm_content=pricing_card_lead_partner&outreach_segment=plans_page&codex_check=grow_checkout,
registration-success-utm-hash-redirect,redirect,PASS,301,0,1600,-,-,https://jus-tice.co.il/lawyer-registration/?registration=sent&plan_interest=pro&payment_path=manual_invoice&utm_source=codex_check&utm_medium=live_funnel&utm_campaign=lawyer_acquisition&utm_content=founder_primary_pro&utm_term=lawyer_subscriptions&outreach_segment=plans_page&outreach_city=tel-aviv&outreach_practice=real-estate-law,https://jus-tice.co.il/lawyer-registration/?registration=sent&plan_interest=pro&payment_path=manual_invoice&utm_source=codex_check&utm_medium=live_funnel&utm_campaign=lawyer_acquisition&utm_content=founder_primary_pro&utm_term=lawyer_subscriptions&outreach_segment=plans_page&outreach_city=tel-aviv&outreach_practice=real-estate-law,https://jus-tice.co.il/lawyer-registration/?registration=sent&plan_interest=pro&payment_path=manual_invoice&outreach_segment=plans_page&outreach_city=tel-aviv&outreach_practice=real-estate-law#utm_source=codex_check&utm_medium=live_funnel&utm_campaign=lawyer_acquisition&utm_content=founder_primary_pro&utm_term=lawyer_subscriptions
registration-success-manual-invoice-handoff,page,PASS,200,57716,3455,-,-,https://jus-tice.co.il/lawyer-registration/?registration=sent&plan_interest=pro&payment_path=manual_invoice&utm_source=codex_check&utm_medium=live_funnel&utm_campaign=lawyer_acquisition&utm_content=founder_primary_pro&utm_term=lawyer_subscriptions&outreach_segment=plans_page&outreach_city=tel-aviv&outreach_practice=real-estate-law,https://jus-tice.co.il/lawyer-registration/?registration=sent&plan_interest=pro&payment_path=manual_invoice&outreach_segment=plans_page&outreach_city=tel-aviv&outreach_practice=real-estate-law,
registration-paid-manual-form-state,page,PASS,200,69997,3395,-,-,https://jus-tice.co.il/lawyer-registration/?plan_interest=lead_partner&payment_path=manual_invoice&utm_source=codex_check&utm_medium=live_funnel&utm_campaign=lawyer_acquisition&billing_first_name=Codex&billing_last_name=Lawyer&billing_phone=0501234567&billing_email=codex-lawyer@example.com&billing_legal_name=Codex+Legal+Ltd&billing_business_id=123456789&billing_invoice_email=billing-codex@example.com&billing_invoice_address=Tel+Aviv,https://jus-tice.co.il/lawyer-registration/?plan_interest=lead_partner&payment_path=manual_invoice&billing_first_name=Codex&billing_last_name=Lawyer&billing_phone=0501234567&billing_email=codex-lawyer@example.com&billing_legal_name=Codex+Legal+Ltd&billing_business_id=123456789&billing_invoice_email=billing-codex@example.com&billing_invoice_address=Tel+Aviv,
dashboard-gate-paid-lawyer-path,page,PASS,200,57060,1771,-,-,https://jus-tice.co.il/lawyer-dashboard/?codex_check=lawyer_revenue_funnel,https://jus-tice.co.il/lawyer-dashboard/?codex_check=lawyer_revenue_funnel,
premium-css-revenue-ui-markers,asset,PASS,200,97412,14,-,-,https://jus-tice.co.il/wp-content/themes/justice-theme/assets/css/premium-pass-3.css?codex_check=lawyer_revenue_funnel,https://jus-tice.co.il/wp-content/themes/justice-theme/assets/css/premium-pass-3.css?codex_check=lawyer_revenue_funnel,
lawyer-dashboard-support-assistant-js,asset,PASS,200,1317,10,-,-,https://jus-tice.co.il/wp-content/themes/justice-theme/assets/js/lawyer-dashboard.js?codex_check=lawyer_revenue_funnel,https://jus-tice.co.il/wp-content/themes/justice-theme/assets/js/lawyer-dashboard.js?codex_check=lawyer_revenue_funnel,
analytics-lawyer-revenue-events,asset,PASS,200,9858,57,-,-,https://jus-tice.co.il/wp-content/themes/justice-theme/assets/js/analytics-events.js?codex_check=lawyer_revenue_funnel,https://jus-tice.co.il/wp-content/themes/justice-theme/assets/js/analytics-events.js?codex_check=lawyer_revenue_funnel,
