"check_id","check_type","date_range","filter_used","tab","url_or_query","clicks","impressions","ctr","position","classification","recommended_action","traffic_risk","status","notes"
"PAGE-QUERY-001","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","https://jus-tice.co.il/","26","5459","0.5%","17.1","HOMEPAGE_HAS_BROAD_DIRECTORY_SIGNAL","KEEP_AS_BROAD_PORTAL_ENTRY_AND_STRENGTHEN_DIRECTORY_LINKS","MEDIUM","VERIFIED","Homepage reverse check shows Google already associates the homepage with lawyer search, directory, free consultation and legal portal terms."
"PAGE-QUERY-001-Q01","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","חיפוש עורך דין לפי שם","3","595","0.5%","8.3","DIRECTORY_LOOKUP_INTENT","ADD_INTERNAL_LINKS_TO_LAWYER_DIRECTORY_AND_NAME_SEARCH_EXPERIENCE","MEDIUM","VERIFIED","Strongest homepage query by impressions/clicks in the visible table."
"PAGE-QUERY-001-Q02","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","ייעוץ עורך דין אונליין חינם","3","83","3.6%","10.9","LEGAL_HELP_CONSULTATION_INTENT","CLARIFY_LEGAL_HELP_CTA_AND_INTAKE_PATH","MEDIUM","VERIFIED","The homepage attracts free-online-consultation intent; avoid unsupported free-service promises."
"PAGE-QUERY-001-Q03","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","חיפוש עורכי דין","2","279","0.7%","10.1","DIRECTORY_INTENT","STRENGTHEN_HOME_TO_DIRECTORY_LINKS_AND_DIRECTORY_COPY","MEDIUM","VERIFIED","Homepage currently owns plural lawyer search more than the /lawyers/ archive."
"PAGE-QUERY-001-Q04","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","איתור עורך דין","1","348","0.3%","7.2","FIND_LAWYER_INTENT","KEEP_HOMEPAGE_AS_ENTRY_AND_ROUTE_TO_DIRECTORY","MEDIUM","VERIFIED","Good position but low CTR; title/CTA alignment should be reviewed later."
"PAGE-QUERY-001-Q05","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","חיפוש עורך דין","1","230","0.4%","8.2","FIND_LAWYER_INTENT","KEEP_HOMEPAGE_AS_ENTRY_AND_ROUTE_TO_DIRECTORY","MEDIUM","VERIFIED","Broad search signal supports homepage legal portal strategy."
"PAGE-QUERY-001-Q06","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","עורכי דין מומלצים","1","93","1.1%","16.0","REPUTATION_COMPLIANCE_INTENT","PLAN_REVIEW_REPUTATION_SECTION_WITH_COMPLIANCE_GUARDRAILS","MEDIUM","VERIFIED","Do not claim recommendations or rankings without a documented rule."
"PAGE-QUERY-001-Q07","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","מציאת עורך דין","1","34","2.9%","7.2","FIND_LAWYER_INTENT","STRENGTHEN_FIND_LAWYER_CTA_AND_DIRECTORY_PATH","MEDIUM","VERIFIED","Also checked as query-to-page; maps only to homepage in visible GSC rows."
"PAGE-QUERY-001-Q08","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","מאגר משפטי חינם","1","6","16.7%","29.0","LEGAL_INFORMATION_INTENT","KEEP_LEGAL_LIBRARY_SIGNAL_BUT_ROUTE_TO_ARTICLES","LOW","VERIFIED","Low sample; supports legal information/library identity."
"PAGE-QUERY-001-Q09","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","jus tice","1","1","100%","1.0","BRAND_INTENT","KEEP","LOW","VERIFIED","Brand query; tiny sample."
"PAGE-QUERY-001-Q10","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","עורכת דין","0","151","0%","53.8","BROAD_LOW_FIT_INTENT","NO_ACTION_FROM_SINGLE_ROW","LOW","VERIFIED","Broad/gendered term; not enough to drive homepage copy."
"PAGE-QUERY-001-Q11","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","עורך דין מקרקעין ייעוץ חינם","0","134","0%","10.1","PRACTICE_SPECIFIC_QUERY_ON_HOMEPAGE","ROUTE_TO_REAL_ESTATE_PILLAR_AND_REVIEW_CTA_LANGUAGE","MEDIUM","VERIFIED","Homepage is carrying a practice-specific free-consultation signal that should eventually route to a real-estate pillar."
"PAGE-QUERY-001-Q12","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","איתור עורכי דין","0","109","0%","10.8","DIRECTORY_INTENT","STRENGTHEN_DIRECTORY_ENTRY_AND_INTERNAL_LINKS","MEDIUM","VERIFIED","Directory intent, but /lawyers/ itself has no visible rows in the reverse check."
"PAGE-QUERY-001-Q13","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","justice","0","100","0%","10.7","BRAND_AMBIGUOUS","KEEP_BRAND_CLARITY","LOW","VERIFIED","Ambiguous English brand term."
"PAGE-QUERY-001-Q14","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","אינדקס עורכי דין בישראל","0","98","0%","6.8","DIRECTORY_INTENT","SUPPORT_DIRECTORY_AS_PRODUCT_BUT_NO_URL_CHANGE","MEDIUM","VERIFIED","Strong position for directory language on homepage."
"PAGE-QUERY-001-Q15","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","אינדקס עורכי דין בחינם","0","97","0%","5.0","DIRECTORY_INTENT_WITH_FREE_LANGUAGE","REVIEW_COPY_TO_AVOID_UNAPPROVED_FREE_PROMISES","MEDIUM","VERIFIED","Good position; copy should not promise a free lawyer unless true."
"PAGE-QUERY-001-Q16","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","עורך דין מומלץ","0","84","0%","35.6","REPUTATION_COMPLIANCE_INTENT","PLAN_COMPLIANT_REPUTATION_MODULE","LOW","VERIFIED","Supports the reviews/reputation roadmap but not fake ranking language."
"PAGE-QUERY-001-Q17","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","עורכי דין","0","79","0%","23.6","BROAD_DIRECTORY_INTENT","KEEP_HOME_AS_BROAD_ENTRY_AND_BUILD_DIRECTORY_SUPPORT","MEDIUM","VERIFIED","Low CTR broad plural signal."
"PAGE-QUERY-001-Q18","PAGE_TO_QUERY","Last 3 months","Page contains https://jus-tice.co.il/","Queries","המלצות על עורכי דין","0","78","0%","6.8","REPUTATION_COMPLIANCE_INTENT","PLAN_REVIEW_POLICY_AND_TRUST_SIGNALS","MEDIUM","VERIFIED","Good position; reputation/trust system should be compliant and factual."
