source_url,source_topic,source_cluster,target_url,target_topic,relationship_type,priority,anchor_text_direction,placement_guidance,reason,status
https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,criminal-law,https://jus-tice.co.il/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,police-investigation,pillar_to_support,P1,police investigation preparation,process-stages-section,"Users need investigation guidance before indictment or detention",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,criminal-law,https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,indictment,pillar_to_support,P1,indictment and cancellation,process-stages-section,"Indictment is a core criminal-process support topic",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,criminal-law,https://jus-tice.co.il/detention-before-charge-or-trial/,detention,pillar_to_support,P1,detention before charge or trial,process-stages-section,"Detention is a core urgent support topic",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,criminal-law,https://jus-tice.co.il/drug-offenses-criminal-lawyer/,drug-offenses,pillar_to_support,P1,drug offenses lawyer guide,offense-types-section,"Drug offenses are a core offense support lane",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,police-investigation,criminal-law,https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,support_to_pillar,P1,criminal lawyer,when-to-contact-lawyer-section,"Support page must point users back to the current pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,indictment,criminal-law,https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,support_to_pillar,P1,criminal lawyer,when-to-contact-lawyer-section,"Indictment support should reinforce the current pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/detention-before-charge-or-trial/,detention,criminal-law,https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,support_to_pillar,P1,criminal lawyer,urgent-help-section,"Detention support should provide a route back to the pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/detention-days/,detention-days,criminal-law,https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,support_to_pillar,P1,criminal lawyer,urgent-help-section,"Thin detention-days support should not become a separate hub",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/drug-offenses-criminal-lawyer/,drug-offenses,criminal-law,https://jus-tice.co.il/criminal-defense-attorney/,criminal-law-current-pillar,support_to_pillar,P1,criminal lawyer,when-to-contact-lawyer-section,"Drug-offense support should link to the current criminal pillar",PLANNED_NEEDS_OWNER_APPROVAL
https://jus-tice.co.il/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,police-investigation,criminal-law,https://jus-tice.co.il/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,indictment,support_to_support,P2,indictment,process-next-steps-section,"Investigation may lead users to indictment-stage information",PLANNED_NEEDS_OWNER_APPROVAL
