"approval_id","target","decision_scope","recommended_owner_decision","allowed_if_approved","must_remain_blocked","required_prerequisites","verification","status","notes"
"PPR-APPROVAL-001","ALL_PRIORITY_TARGETS","repair_scope","APPROVE_ARTICLE_H1_REPAIR_ONLY_OR_HOLD_PUBLIC_REPAIR","Start duplicate body/content H1 repair only for the two live article URLs after backup","Full content upload; clean-slug creation; URL migration; redirects; canonicals; noindex; sitemap; taxonomy; internal-link writes","Owner decision plus CMS rollback backup","Decision value recorded before operator action","OWNER_DECISION_PENDING","Approval here is narrower than content upload approval."
"PPR-APPROVAL-002","ALL_APPROVED_REPAIRS","backup_gate","REQUIRE_CMS_BACKUP_FIRST","Capture rollback fields from the rollback capture template","Editing from public HTML snapshots alone","Owner approval; safe rollback storage; object-level backup fields","Backup path and revision/content fields recorded","OWNER_DECISION_PENDING","No editor save before backup."
"PPR-APPROVAL-003","/criminal-lawyer-cost/","article_h1_repair","APPROVE_ARTICLE_H1_REPAIR_ONLY","Remove or demote duplicate body/content H1 on article ID 19261","Slug change; title/meta change; canonical change; robots change; taxonomy change; redirect; schema change; sitemap change; internal-link edit","Owner approval; CMS rollback backup; confirmed object type articles ID 19261","Priority live checker reports HTTP 200 one H1 self canonical index/follow articles ID 19261","OWNER_DECISION_PENDING","Known live article CPT source."
"PPR-APPROVAL-004","/plea-bargain/","article_h1_repair","APPROVE_ARTICLE_H1_REPAIR_ONLY","Remove or demote duplicate body/content H1 on article ID 19279","Slug change; title/meta change; canonical change; robots change; taxonomy change; redirect; schema change; sitemap change; internal-link edit","Owner approval; CMS rollback backup; confirmed object type articles ID 19279","Priority live checker reports HTTP 200 one H1 self canonical index/follow articles ID 19279","OWNER_DECISION_PENDING","Known live article CPT source."
"PPR-APPROVAL-005","reports/semrush/build-priority-pages.js","publisher_use","HOLD_PAGE_PUBLISHER_USE","Dry-run or safety review only","Using page publisher to repair live article CPT records","Explicit future publish approval and content model decision","No public writes from page publisher in this approval","OWNER_DECISION_PENDING","Publisher writes to wp/v2/pages while live repair targets are articles."
"PPR-APPROVAL-006","/medical-malpractice-diagnosis-errors/","clean_slug_object_decision","HOLD_PENDING_GSC_SOURCE_LEGAL","Compare existing article ID 8271 and planned clean content","Create clean slug; redirect; canonicalize; noindex; retire existing asset","Focused GSC if available; source/legal review; owner object decision","Decision records update existing create new or hold","OWNER_DECISION_PENDING","Avoid duplicate diagnosis-error pages."
"PPR-APPROVAL-007","/joint-custody/","protected_asset_decision","HOLD_PROTECTED_ASSET_DECISION","Preserve and review article ID 5405 at /joint-custody-shared-parenting/","Duplicate clean-slug creation; redirect; canonical/noindex; asset retirement","Focused GSC; owner decision; protected URL backup","Protected current URL remains intentionally handled","OWNER_DECISION_PENDING","Current URL is marked DO_NOT_TOUCH_HIGH_TRAFFIC_URL in repo evidence."
"PPR-APPROVAL-008","/medication-errors-malpractice/","new_object_decision","HOLD_SOURCE_LEGAL_AND_CONTENT_TYPE","Source/legal review and article-vs-page decision","Public creation; sitemap entry; taxonomy change; internal-link write","Source/legal approval; content type decision; planned object fields","Decision records create new or hold","OWNER_DECISION_PENDING","Likely new support article but still YMYL blocked."
"PPR-APPROVAL-009","/divorce-pension-split/","cannibalization_decision","HOLD_CANNIBALIZATION_GSC_REVIEW","Compare page ID 19215 and article IDs 8252 7048 11205","Duplicate clean-slug creation; redirect; canonical/noindex; asset retirement","Focused GSC if available; source/legal review; owner object decision","Decision records update existing create new merge or hold","OWNER_DECISION_PENDING","High overlap with existing Family Law property and pension assets."
"PPR-APPROVAL-010","ALL_REPAIRED_PAGES","post_repair_qa","REQUIRE_POST_REPAIR_QA","Rerun priority live checker and capture screenshots where available","Marking verified from planning docs alone","Approved repair completed; checker rerun; screenshots if browser-capable","Checker and docs show VERIFIED FIXED BLOCKED or NOT VERIFIED labels","OWNER_DECISION_PENDING","Verification gate after any public repair."
"PPR-APPROVAL-011","ALL_PRIORITY_TARGETS","seo_migration_freeze","HOLD_SEO_MIGRATION","No SEO migration action in this approval","Redirects; canonicals; noindex; sitemap; taxonomy; internal-link migration","Separate owner approval and focused GSC evidence","No unauthorized SEO migration recorded","OWNER_DECISION_PENDING","Keeps visible repair separate from migration."
