query_cluster,query_or_filter_used,landing_page,clicks,impressions,ctr,position,date_range,country,device,route_family,decision_status,operator_note_no_pii
rv_caravan_exact,קרוואן | קראוון | קרוואנים | קראוונים | caravan | campervan | motorhome,/consumer-rights-israel/,,,,,last_16_months_or_available,Israel if available,all,consumer,not_filled,
rv_caravan_exact,קרוואן | קראוון | קרוואנים | קראוונים | caravan | campervan | motorhome,/rental-agreement/,,,,,last_16_months_or_available,Israel if available,all,rental_contract,not_filled,
rv_caravan_exact,קרוואן | קראוון | קרוואנים | קראוונים | caravan | campervan | motorhome,/small-claims-court-israel/,,,,,last_16_months_or_available,Israel if available,all,small_claims,not_filled,
rv_caravan_exact,קרוואן | קראוון | קרוואנים | קראוונים | caravan | campervan | motorhome,/contract-law-israel/,,,,,last_16_months_or_available,Israel if available,all,contract,not_filled,
rv_caravan_exact,קרוואן | קראוון | קרוואנים | קראוונים | caravan | campervan | motorhome,/eviction-notice-israel/,,,,,last_16_months_or_available,Israel if available,all,rental_dispute,not_filled,
rv_caravan_exact,קרוואן | קראוון | קרוואנים | קראוונים | caravan | campervan | motorhome,/real-estate-lawyer-guide/,,,,,last_16_months_or_available,Israel if available,all,context,not_filled,
rv_caravan_exact,קרוואן | קראוון | קרוואנים | קראוונים | caravan | campervan | motorhome,/traffic-lawyer/,,,,,last_16_months_or_available,Israel if available,all,traffic,not_filled,
rv_caravan_exact,קרוואן | קראוון | קרוואנים | קראוונים | caravan | campervan | motorhome,/lawyers/,,,,,last_16_months_or_available,Israel if available,all,directory_conversion,not_filled,
rental_deposit_charge,השכרת קרוואן | פיקדון קרוואן | נזק קרוואן | חיוב קרוואן | ביטול השכרת קרוואן | refund caravan | caravan deposit,/consumer-rights-israel/,,,,,last_16_months_or_available,Israel if available,all,consumer,not_filled,
rental_deposit_charge,השכרת קרוואן | פיקדון קרוואן | נזק קרוואן | חיוב קרוואן | ביטול השכרת קרוואן | refund caravan | caravan deposit,/rental-agreement/,,,,,last_16_months_or_available,Israel if available,all,rental_contract,not_filled,
rental_deposit_charge,השכרת קרוואן | פיקדון קרוואן | נזק קרוואן | חיוב קרוואן | ביטול השכרת קרוואן | refund caravan | caravan deposit,/small-claims-court-israel/,,,,,last_16_months_or_available,Israel if available,all,small_claims,not_filled,
rental_deposit_charge,השכרת קרוואן | פיקדון קרוואן | נזק קרוואן | חיוב קרוואן | ביטול השכרת קרוואן | refund caravan | caravan deposit,/contract-law-israel/,,,,,last_16_months_or_available,Israel if available,all,contract,not_filled,
rental_deposit_charge,השכרת קרוואן | פיקדון קרוואן | נזק קרוואן | חיוב קרוואן | ביטול השכרת קרוואן | refund caravan | caravan deposit,/eviction-notice-israel/,,,,,last_16_months_or_available,Israel if available,all,rental_dispute,not_filled,
rental_deposit_charge,השכרת קרוואן | פיקדון קרוואן | נזק קרוואן | חיוב קרוואן | ביטול השכרת קרוואן | refund caravan | caravan deposit,/real-estate-lawyer-guide/,,,,,last_16_months_or_available,Israel if available,all,context,not_filled,
rental_deposit_charge,השכרת קרוואן | פיקדון קרוואן | נזק קרוואן | חיוב קרוואן | ביטול השכרת קרוואן | refund caravan | caravan deposit,/traffic-lawyer/,,,,,last_16_months_or_available,Israel if available,all,traffic,not_filled,
rental_deposit_charge,השכרת קרוואן | פיקדון קרוואן | נזק קרוואן | חיוב קרוואן | ביטול השכרת קרוואן | refund caravan | caravan deposit,/lawyers/,,,,,last_16_months_or_available,Israel if available,all,directory_conversion,not_filled,
consumer_small_claims,תביעה קרוואן | תביעות קטנות קרוואן | החזר קרוואן | ביטול עסקה קרוואן,/consumer-rights-israel/,,,,,last_16_months_or_available,Israel if available,all,consumer,not_filled,
consumer_small_claims,תביעה קרוואן | תביעות קטנות קרוואן | החזר קרוואן | ביטול עסקה קרוואן,/rental-agreement/,,,,,last_16_months_or_available,Israel if available,all,rental_contract,not_filled,
consumer_small_claims,תביעה קרוואן | תביעות קטנות קרוואן | החזר קרוואן | ביטול עסקה קרוואן,/small-claims-court-israel/,,,,,last_16_months_or_available,Israel if available,all,small_claims,not_filled,
consumer_small_claims,תביעה קרוואן | תביעות קטנות קרוואן | החזר קרוואן | ביטול עסקה קרוואן,/contract-law-israel/,,,,,last_16_months_or_available,Israel if available,all,contract,not_filled,
consumer_small_claims,תביעה קרוואן | תביעות קטנות קרוואן | החזר קרוואן | ביטול עסקה קרוואן,/eviction-notice-israel/,,,,,last_16_months_or_available,Israel if available,all,rental_dispute,not_filled,
consumer_small_claims,תביעה קרוואן | תביעות קטנות קרוואן | החזר קרוואן | ביטול עסקה קרוואן,/real-estate-lawyer-guide/,,,,,last_16_months_or_available,Israel if available,all,context,not_filled,
consumer_small_claims,תביעה קרוואן | תביעות קטנות קרוואן | החזר קרוואן | ביטול עסקה קרוואן,/traffic-lawyer/,,,,,last_16_months_or_available,Israel if available,all,traffic,not_filled,
consumer_small_claims,תביעה קרוואן | תביעות קטנות קרוואן | החזר קרוואן | ביטול עסקה קרוואן,/lawyers/,,,,,last_16_months_or_available,Israel if available,all,directory_conversion,not_filled,
insurance_claim,ביטוח קרוואן | תביעת ביטוח קרוואן | caravan insurance | campervan insurance,/consumer-rights-israel/,,,,,last_16_months_or_available,Israel if available,all,consumer,not_filled,
insurance_claim,ביטוח קרוואן | תביעת ביטוח קרוואן | caravan insurance | campervan insurance,/rental-agreement/,,,,,last_16_months_or_available,Israel if available,all,rental_contract,not_filled,
insurance_claim,ביטוח קרוואן | תביעת ביטוח קרוואן | caravan insurance | campervan insurance,/small-claims-court-israel/,,,,,last_16_months_or_available,Israel if available,all,small_claims,not_filled,
insurance_claim,ביטוח קרוואן | תביעת ביטוח קרוואן | caravan insurance | campervan insurance,/contract-law-israel/,,,,,last_16_months_or_available,Israel if available,all,contract,not_filled,
insurance_claim,ביטוח קרוואן | תביעת ביטוח קרוואן | caravan insurance | campervan insurance,/eviction-notice-israel/,,,,,last_16_months_or_available,Israel if available,all,rental_dispute,not_filled,
insurance_claim,ביטוח קרוואן | תביעת ביטוח קרוואן | caravan insurance | campervan insurance,/real-estate-lawyer-guide/,,,,,last_16_months_or_available,Israel if available,all,context,not_filled,
insurance_claim,ביטוח קרוואן | תביעת ביטוח קרוואן | caravan insurance | campervan insurance,/traffic-lawyer/,,,,,last_16_months_or_available,Israel if available,all,traffic,not_filled,
insurance_claim,ביטוח קרוואן | תביעת ביטוח קרוואן | caravan insurance | campervan insurance,/lawyers/,,,,,last_16_months_or_available,Israel if available,all,directory_conversion,not_filled,
accident_traffic,תאונת קרוואן | קנס קרוואן | תעבורה קרוואן | caravan accident | RV accident,/consumer-rights-israel/,,,,,last_16_months_or_available,Israel if available,all,consumer,not_filled,
accident_traffic,תאונת קרוואן | קנס קרוואן | תעבורה קרוואן | caravan accident | RV accident,/rental-agreement/,,,,,last_16_months_or_available,Israel if available,all,rental_contract,not_filled,
accident_traffic,תאונת קרוואן | קנס קרוואן | תעבורה קרוואן | caravan accident | RV accident,/small-claims-court-israel/,,,,,last_16_months_or_available,Israel if available,all,small_claims,not_filled,
accident_traffic,תאונת קרוואן | קנס קרוואן | תעבורה קרוואן | caravan accident | RV accident,/contract-law-israel/,,,,,last_16_months_or_available,Israel if available,all,contract,not_filled,
accident_traffic,תאונת קרוואן | קנס קרוואן | תעבורה קרוואן | caravan accident | RV accident,/eviction-notice-israel/,,,,,last_16_months_or_available,Israel if available,all,rental_dispute,not_filled,
accident_traffic,תאונת קרוואן | קנס קרוואן | תעבורה קרוואן | caravan accident | RV accident,/real-estate-lawyer-guide/,,,,,last_16_months_or_available,Israel if available,all,context,not_filled,
accident_traffic,תאונת קרוואן | קנס קרוואן | תעבורה קרוואן | caravan accident | RV accident,/traffic-lawyer/,,,,,last_16_months_or_available,Israel if available,all,traffic,not_filled,
accident_traffic,תאונת קרוואן | קנס קרוואן | תעבורה קרוואן | caravan accident | RV accident,/lawyers/,,,,,last_16_months_or_available,Israel if available,all,directory_conversion,not_filled,
