type,id,status,file,detail,reason
honesty_token,provider-gated,PASS,project-control/investor-demo-launchpad-2026-05-25.html|project-control/investor-demo-scenario-script-2026-05-25.md|project-control/investor-payment-lifecycle-playbook-2026-05-25.md,provider-gated,"The demo must disclose that recurring billing, branded invoices and refunds depend on provider approval/setup."
honesty_token,manual-payment-link,PASS,project-control/investor-demo-launchpad-2026-05-25.html|project-control/investor-demo-morning-control-sheet-2026-05-25.md|project-control/investor-demo-scenario-script-2026-05-25.md|project-control/investor-payment-lifecycle-playbook-2026-05-25.md|project-control/investor-demo-readiness-2026-05-25.md,manual,"The current revenue bridge is manual payment-link/invoice handling, not full automation."
honesty_token,do-not-claim-recurring,PASS,project-control/investor-demo-launchpad-2026-05-25.html|project-control/investor-launchpad-pack-2026-05-25.md,Do not claim recurring billing,The operator needs a visible guardrail against overclaiming recurring billing.
overclaim_scan,fully-automated-payments,PASS,-,-,Do not claim fully automated money movement before provider proof.
overclaim_scan,automatic-recurring-live,PASS,project-control/investor-demo-readiness-2026-05-25.md,"Honesty rule: show manual payment-link readiness and service-ticket capture; do not claim automatic recurring billing, automatic invoices or refunds are live until Grow/Meshulam approval and a controlled transaction pass. ## Summary Live/code ch",Recurring billing remains approval/provider gated.
overclaim_scan,automatic-invoice-live,PASS,project-control/investor-payment-lifecycle-playbook-2026-05-25.md,"pt aligned with mature billing portal patterns. - Still blocked: real low-amount payment, branded invoice and refund require owner-approved provider actions; claimed demo lawyer and assigned demo lead require approved live data s",Branded invoice proof must come from the provider.
overclaim_scan,automatic-invoice-live,PASS,project-control/investor-demo-readiness-2026-05-25.md,Present manual payment-link fallback as live and recurring billing as approval-gated. | | Automatic branded invoice/receipt with logo | EXTERNAL_BLOCKER | Needs approved Grow/Morning invoice/payment setup and one controlled transaction. | Show policy/complian,Branded invoice proof must come from the provider.
overclaim_scan,automatic-invoice-live,PASS,project-control/investor-launchpad-pack-2026-05-25.md,"unchanged: claimed demo lawyer, assigned medical-malpractice lead, real provider payment, branded invoice and refund execution require explicit owner/provider-approved live actions. ## Rerun ```powershell node tools\check-investor-launchpad-pack.mjs ```",Branded invoice proof must come from the provider.
overclaim_scan,refund-executed,PASS,project-control/investor-launchpad-pack-2026-05-25.md,"emo lawyer, assigned medical-malpractice lead, real provider payment, branded invoice and refund execution require explicit owner/provider-approved live actions. ## Rerun ```powershell node tools\check-investor-launchpad-pack.mjs ```",Refund execution must not be claimed without a real provider refund.
overclaim_scan,fake-data-real,PASS,project-control/investor-demo-scenario-script-2026-05-25.md,"s fake data?"": The routes and workflows are live. The demo lawyer/lead can be controlled demo data for presentation, and must be disclosed as demo data unless using an actual approved customer.",Demo data must not be described as a real customer unless it truly is.
overclaim_scan,fake-data-real,PASS,project-control/investor-launchpad-pack-2026-05-25.md,"and readiness reports are present and linked. Remaining blockers are unchanged: claimed demo lawyer, assigned medical-malpractice lead, real provider payment, branded invoice and refund execution require explicit owner/provider-ap",Demo data must not be described as a real customer unless it truly is.
