row_type,id,item,status,evidence,next_action
local_gate,LOCAL-01,priority_brief_exists,PASS,Prior priority draft-brief report is present and includes the Tel Aviv divorce target.,Use this packet as the next private evidence-fill layer.
local_gate,LOCAL-02,blank_evidence_row_exists,PASS,The prior evidence template still has a row for the target.,Fill GSC/lawyer/reviewer fields before any public action.
local_gate,LOCAL-03,public_boundary,PASS,This tool writes only dot-private .project-control and .reports artifacts.,"Do not publish, update CMS, change SEO settings, contact people, invoice, email or deploy from this packet."
route_overlap,ROUTE-01,/divorce-lawyer-tel-aviv/,PASS_TARGET_NOT_PUBLIC_200,http_status=404; h1=העמוד לא נמצא; words=290,confirm target is not already public before private drafting continues
route_overlap,ROUTE-02,/divorce-lawyer/,PASS_PILLAR_REACHABLE,"http_status=200; h1=איך לבחור עורך דין גירושין | ניסיון, מחיר ושאלות נכונות | Jus-Tice; words=4066",protect from local-page duplication and send broad intent here
route_overlap,ROUTE-03,/family-law/,LIVE_ASSOCIATED_PAGE_REVIEW,http_status=200; h1=דיני משפחה; words=5824,check whether family-law hub should link to the eventual local page only after approval
route_overlap,ROUTE-04,/child-custody/,LIVE_ASSOCIATED_PAGE_REVIEW,http_status=200; h1=משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים; words=3253,do not absorb custody advice into the Tel Aviv divorce page
route_overlap,ROUTE-05,/child-support-calculator-2023/,LIVE_ASSOCIATED_PAGE_REVIEW,http_status=200; h1=מחשבון מזונות ילדים 2023; words=863,link only if user task genuinely needs child-support calculation context
route_overlap,ROUTE-06,/divorce-mediation/,LIVE_ASSOCIATED_PAGE_REVIEW,"http_status=200; h1=גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק; words=4282",avoid making the Tel Aviv page a mediation guide
route_overlap,ROUTE-07,/what-is-a-divorce-settlement-agreement/,LIVE_ASSOCIATED_PAGE_REVIEW,http_status=200; h1=הסכם גירושין; words=1193,can support document checklist only after legal/editor review
route_overlap,ROUTE-08,/free-divorce-agreement-template/,LIVE_ASSOCIATED_PAGE_REVIEW,http_status=200; h1=הסכם גירושין דוגמא | תבנית הסכם גירושין | טופס הסכם גירושין בחינם; words=1791,avoid promising that a template is enough for a local case
route_overlap,ROUTE-09,/how-much-does-a-divorce-agreement-cost/,LIVE_ASSOCIATED_PAGE_REVIEW,http_status=200; h1=כמה עולה הסכם גירושין? | עלות הסכם גירושין; words=1050,do not copy price claims into a local lawyer page without review
route_overlap,ROUTE-10,/lawyers/?city=tel-aviv&area=family-law,LIVE_ASSOCIATED_PAGE_REVIEW,http_status=200; h1=עורך דין דיני משפחה בתל אביב; words=764,canonical directory evidence route; public draft stays blocked until real filtered lawyer readiness is verified
route_overlap,ROUTE-11,/lawyers/?city=tel-aviv&practice=family-law,LIVE_ASSOCIATED_PAGE_REVIEW,http_status=200; h1=עורכי דין בתל אביב; words=756,keep this out of publication gates unless a public alias fix is approved
query_cluster,QUERY-01,exact_local_divorce_lawyer,BLOCKED_PENDING_GSC,Blank in the current evidence template.,"query, page, clicks, impressions, average position for exact local variations"
query_cluster,QUERY-02,broad_divorce_lawyer,BLOCKED_PENDING_GSC,"Central pillar exists, but GSC performance is not filled in this packet.",central pillar query/page performance and cannibalizing URLs
query_cluster,QUERY-03,documents_and_procedure,REVIEW_REQUIRED,Official source prompts recorded; no GSC evidence filled.,document/procedure query rows and associated page mapping
query_cluster,QUERY-04,settlement_mediation_agreement,REVIEW_REQUIRED,Associated pages mapped for cannibalization review.,agreement/mediation query-page rows
query_cluster,QUERY-05,cost_consultation_price,BLOCKED_NO_PRICE_CLAIMS,Cost-related associated route mapped; no price data approved.,cost/price query-page rows and owner-approved price policy
query_cluster,QUERY-06,urgent_local_help,BLOCKED_NO_SLA_CLAIMS,No live lawyer coverage or SLA proof available.,urgent/local/help query rows and legal review
source_prompt,SRC-001,Israeli government divorce certificate service,SOURCE_PROMPT_OFFICIAL,https://www.gov.il/he/service/obtaining-divorce-certificate,"Do not convert certificate-service details into legal advice, local court facts, timelines or eligibility claims."
source_prompt,SRC-002,Israeli government legal aid application service,SOURCE_PROMPT_OFFICIAL,https://www.gov.il/he/service/legal_aid_application,Do not claim eligibility or promise representation; direct users to verify with official service or a lawyer.
source_prompt,SRC-003,Assistance units near courts and religious courts,SOURCE_PROMPT_OFFICIAL,https://www.gov.il/he/departments/Units/molsa-court-assiatance-units,"Do not describe a mandatory process, deadline or local office assignment unless legal/editor review confirms it."
source_prompt,SRC-004,Gohar Law divorce-lawyer positioning reference,SOURCE_PROMPT_COMPETITOR,https://www.goharlaw.com/,"Do not copy claims, rankings, testimonials, outcomes, price ranges, badges or personal positioning."
source_prompt,SRC-005,Rotenberg Law divorce-lawyer positioning reference,SOURCE_PROMPT_COMPETITOR,https://rotenberglaw.co.il/,"Do not copy claims, slogans, reviews, price ranges, badges or outcome promises."
evidence_finding,EVIDENCE-01,target_status,PASS_TARGET_NOT_PUBLIC_200,/divorce-lawyer-tel-aviv/ live status is 404.,Do not create or publish the page until all draft gates are filled.
evidence_finding,EVIDENCE-02,pillar_protection,PASS_PILLAR_REACHABLE,/divorce-lawyer/ live status is 200.,"Confirm the local page will be a subordinate fit-check page, not a duplicate guide."
evidence_finding,EVIDENCE-03,lawyer_coverage,BLOCKED_PENDING_WP_ADMIN_REVIEW,"/lawyers/?city=tel-aviv&area=family-law live status is 200, but real filtered lawyer readiness is not verified.",Owner/admin must confirm filtered lawyer profile count and readiness.
evidence_finding,EVIDENCE-04,directory_parameter,PASS_CANONICAL_DIRECTORY_PARAM_CORRECTED,Use /lawyers/?city=tel-aviv&area=family-law for coverage evidence; do not use /lawyers/?city=tel-aviv&practice=family-law unless a public alias fix is approved.,Keep future evidence and templates on the canonical area parameter.
evidence_finding,EVIDENCE-05,gsc_gap,BLOCKED_PENDING_GSC_EXPORT,"The prior evidence template contains no clicks, impressions or average position for this target.","Fill exact local, broad divorce, documents/procedure, mediation/agreement and price query rows."
evidence_finding,EVIDENCE-06,unique_angle,REVIEW_REQUIRED,Best safe angle is local triage and request preparation for Tel Aviv divorce users.,Approve one narrow angle before any Hebrew copy is prepared.
evidence_finding,EVIDENCE-07,forbidden_claims,PASS_WITH_RESTRICTIONS,"No evidence supports best/recommended/ranked lawyer claims, price promises, emergency response, local court facts or legal instructions.",Legal/editor review must remove any unsupported claims.
