priority,source_url,gsc_clicks,gsc_impressions,target_hub,anchor_direction,public_change_status,notes
P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%9C%D7%99%D7%93%D7%94-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5,1,27275,https://jus-tice.co.il/medical-malpractice-lawyer/,birth-malpractice lawyer help,NOT_CHANGED,"Highest topic visibility; remove/avoid recommended language before public edit"
P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%9D-%D7%91%D7%AA%D7%97%D7%95%D7%9D-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%A2%D7%95%D7%9C%D7%9D,15,19549,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice lawyer comparison,NOT_CHANGED,"Trust-claim risk; convert to factual checklist language"
P0,https://jus-tice.co.il/medical-malpractice-in-the-united-states/,18,10267,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice claim guidance,NOT_CHANGED,"Keep as jurisdictional/support content; do not let it displace Israeli hub"
P0,https://jus-tice.co.il/%D7%94%D7%A7%D7%98%D7%A0%D7%AA-%D7%94%D7%95%D7%A6%D7%90%D7%95%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%95%D7%AA-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA,22,9670,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice lawyer fees and claim costs,NOT_CHANGED,"Commercial pricing intent"
P0,https://jus-tice.co.il/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%9E%D7%95%D7%9E%D7%97%D7%99%D7%9D-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%99%D7%9D-%D7%9C%D7%91%D7%99%D7%AA-%D7%9E%D7%A9%D7%A4%D7%98-%D7%9E%D7%AA%D7%A2%D7%93%D7%9B%D7%9F,144,8191,https://jus-tice.co.il/medical-malpractice-lawyer/,medical expert opinion for malpractice claim,NOT_CHANGED,"Very high clicks; useful pre-lead education"
P0,https://jus-tice.co.il/cerebral-palsy/,21,7104,https://jus-tice.co.il/medical-malpractice-lawyer/,cerebral palsy birth malpractice,NOT_CHANGED,"Connect carefully without implying every cerebral palsy case is malpractice"
P0,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,0,4998,https://jus-tice.co.il/medical-malpractice-lawyer/,what counts as medical malpractice,NOT_CHANGED,"Needs merge review; useful top-of-funnel explainer"
P0,https://jus-tice.co.il/malpractice-cerebral-palsy/,0,4887,https://jus-tice.co.il/medical-malpractice-lawyer/,malpractice and cerebral palsy,NOT_CHANGED,"Needs content review; overlaps with cerebral palsy page"
P0,https://jus-tice.co.il/%D7%9E%D7%A7%D7%A8%D7%99-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%9C%D7%99%D7%93%D7%94-%D7%95%D7%98%D7%99%D7%A4%D7%95%D7%9C-%D7%9E%D7%A9%D7%A4%D7%98%D7%99,1,4882,https://jus-tice.co.il/medical-malpractice-lawyer/,birth malpractice case review,NOT_CHANGED,"Needs content review; likely support-to-hub candidate"
P0,https://jus-tice.co.il/articles/%D7%9E%D7%A7%D7%A8%D7%99-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%93%D7%95%D7%92%D7%9E%D7%90%D7%95%D7%AA,5,4642,https://jus-tice.co.il/medical-malpractice-lawyer/,medical malpractice examples,NOT_CHANGED,"Examples/case-law intent should guide users to evaluation"
