target,reviewedLiveRows,mergeIntoDraft,coveredNoAction,skippedUiOrRelated,verificationStatus,nextStep
"/child-custody/","35","9","20","6","VERIFIED LOCAL","Apply nine concise draft merges, rerun static QA and keep page blocked from CMS upload until owner/legal/source approval."
"/child-custody/","","","","","MERGE_REQUIRED","Best interests of the child: Add that parent communication, safety concerns, alienation concerns and professional recommendations if appointed can affect the review; avoid decisive legal conclusions."
"/child-custody/","","","","","MERGE_REQUIRED","Best interests of the child: Add a cautious reference to professional recommendations or reports where appointed."
"/child-custody/","","","","","MERGE_REQUIRED","How parenting time is determined: Add a concise checklist for what a parenting-time agreement should specify: days, hours, overnights, pickup/drop-off, holidays, vacations and dispute mechanism."
"/child-custody/","","","","","MERGE_REQUIRED","Parenting time and child support: Add that child-expense coordination should be kept distinct from the parenting-time question and handled clearly."
"/child-custody/","","","","","MERGE_REQUIRED","Parental responsibility and decision making: Add communication-channel details: WhatsApp, email, parenting app or SMS, and when phone calls are appropriate."
"/child-custody/","","","","","MERGE_REQUIRED","Parental responsibility and decision making: Add response-time, school notification, medical information and lateness documentation details."
"/child-custody/","","","","","MERGE_REQUIRED","Parental responsibility and decision making: Add that clear rules reduce repeated friction and keep children from serving as messengers."
"/child-custody/","","","","","MERGE_REQUIRED","How parenting time is determined: Add practical guidance for repeated lateness or cancellations: document facts and define a response mechanism without unilateral escalation."
"/child-custody/","","","","","MERGE_REQUIRED","How parenting time is determined: Add that agreements need extra detail when parents live far apart, one parent works shifts, communication is difficult or the schedule has repeated execution problems."
