decision_id,area,current_url,current_status,evidence,recommended_action,owner_approval_question,approval_status,blocked_actions,notes
CRIMINAL-PRIMARY-001,criminal-law-primary,https://jus-tice.co.il/criminal-defense-attorney/,"Published clean URL; 9086 words; title targets עורך דין פלילי","Inventory shows existing clean page; GSC still favors old Hebrew criminal-lawyer URL; /criminal-lawyer/ exact current URL not found","COMPARE_AS_PRIMARY_CANDIDATE_NO_URL_CHANGE","Should /criminal-defense-attorney/ be compared as the near-term criminal-law primary before creating /criminal-lawyer/?","OWNER_APPROVAL_REQUIRED","No title H1 meta content slug redirect canonical sitemap or CMS edit until approved","This may be the safest near-term primary because it avoids migration."
CRIMINAL-MIGRATION-001,criminal-law-migration,https://jus-tice.co.il/criminal-lawyer/,"Future target only; exact current URL not found in public map","slug-conflict-review shows 13 criminal-lawyer conflict rows","HOLD_URL_MIGRATION","Should /criminal-lawyer/ remain the long-term target but stay blocked until redirect/internal-link/canonical/sitemap map is ready?","OWNER_APPROVAL_REQUIRED","Do not create or migrate /criminal-lawyer/ yet","Clean short slug is desirable but risky without full migration plan."
OLD-HEBREW-PROTECT-001,protected-old-url,https://jus-tice.co.il/משרד-עורכי-דין-פלילי-הכי-טוב-תל-אביב/,"Old Hebrew URL with visible GSC impressions","Existing GSC maps show broad criminal-lawyer impressions on this URL","PROTECT_DO_NOT_TOUCH","Approve protecting this URL until full GSC/API and migration review is complete?","OWNER_APPROVAL_REQUIRED","No redirect overwrite noindex deletion or content replacement","This is a migration-risk URL."
POLICE-INVESTIGATION-001,criminal-support,https://jus-tice.co.il/הכנה-לחקירה-במשטרה/,"Published old Hebrew page; 510 words","GSC checked filter returned zero visible rows; SERP supports support intent","REVIEW_AND_EXPAND_EXISTING_BEFORE_NEW_SLUG","Approve reviewing current investigation-prep page before any /police-investigation/ decision?","OWNER_APPROVAL_REQUIRED","Do not create duplicate /police-investigation/ yet","Needs source/legal review."
INDICTMENT-001,criminal-support,https://jus-tice.co.il/articles/מחיקת-כתב-אישום-חזרה-מכתב-אישום-ביטול/,"Existing support candidate; exact /indictment/ not approved","GSC for כתב אישום has 4 impressions mostly on Netanyahu case page and homepage","COMPARE_GENERAL_SUPPORT_CANDIDATES","Approve comparing existing general indictment/cancellation content before any /indictment/ page?","OWNER_APPROVAL_REQUIRED","Do not use Netanyahu case page as general indictment page","Specific public case page must remain separate."
NETANYAHU-CASE-001,specific-case-page,https://jus-tice.co.il/נוסח-כתב-האישום-נגד-בנימין-נתניהו-תיקים-1000-2000-4000/,"Specific case page with visible low-sample GSC impressions","GSC: 3 impressions average position 9.7 for כתב אישום","KEEP_SEPARATE_DO_NOT_PRIMARY","Approve keeping this as specific case content, not general support page?","OWNER_APPROVAL_REQUIRED","No redirect or repurpose to general indictment","Protect from wrong merge."
PRETRIAL-DETENTION-001,criminal-support,https://jus-tice.co.il/detention-days/,"Existing short support page; multiple detention candidates exist","pretrial-detention has 8 conflict rows; GSC מעצר ימים returned zero visible rows","SELECT_PRIMARY_AFTER_CONTENT_QUALITY_REVIEW","Approve content-quality comparison across detention pages before /pretrial-detention/ decision?","OWNER_APPROVAL_REQUIRED","Do not create /pretrial-detention/ or redirect detention pages yet","Needs merge/support map."
DRUG-OFFENSES-001,criminal-support,https://jus-tice.co.il/drug-offenses-criminal-lawyer/,"Published large page; 51621 words","Existing asset appears in inventory/SERP; GSC low sample for עבירות סמים","REVIEW_EXISTING_PAGE_DO_NOT_DUPLICATE","Approve reviewing existing drug-offenses page before any /drug-offenses/ migration?","OWNER_APPROVAL_REQUIRED","Do not create duplicate /drug-offenses/ yet","Likely needs structure/trim/source review."
CRIMINAL-INTERNAL-LINKS-001,internal-link-plan,PENDING_PRIMARY_SELECTION,"Internal-link batch depends on chosen primary URL","Pillar/support links cannot be finalized until primary selected","PREPARE_AFTER_PRIMARY_SELECTION","Approve internal-link planning only after primary direction is chosen?","OWNER_APPROVAL_REQUIRED","No CMS link edits yet","Support pages should link to chosen primary naturally."
CRIMINAL-SITEMAP-REDIRECT-001,migration-safety,NO_CURRENT_EXECUTION,"Migration not approved","Old URL risk and conflict rows make redirects unsafe now","NO_REDIRECT_OR_SITEMAP_CHANGE_NOW","Approve blocking all criminal redirects/sitemap/canonical changes until full map exists?","OWNER_APPROVAL_REQUIRED","No redirect sitemap canonical noindex changes","This is a controlled migration project, not a content upload."
