"query","date_range","breakdown","total_clicks","total_impressions","total_ctr","total_position","page_url","page_clicks","page_impressions","page_ctr","page_position","classification","recommended_action","traffic_risk","status","notes"
"מזונות ילדים","Last 3 months","Pages","0","160","0%","49.6","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","0","160","0%","49.6","URL_MIGRATION_RISK","DO_NOT_TOUCH_HIGH_TRAFFIC_URL;MERGE_REVIEW;MAKE_CHILD_SUPPORT_PRIMARY_REVIEW","HIGH","GSC_BROWSER_VERIFIED","Clean /child-support/ did not appear for the filtered query; old calculator URL owns all visible impressions."
"חישוב מזונות","Last 3 months","Pages","0","131","0%","54.9","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","0","131","0%","54.9","URL_MIGRATION_RISK","DO_NOT_TOUCH_HIGH_TRAFFIC_URL;MERGE_REVIEW;CALCULATION_SECTION_OR_SUPPORT_REVIEW","HIGH","GSC_BROWSER_VERIFIED","Calculation intent is currently owned by the old calculator URL, not /child-support/."
"מחשבון מזונות","Last 3 months","Pages","0","70","0%","30","https://jus-tice.co.il/מחשבון-מזונות-ילדים/","0","70","0%","30.0","TOOL_OR_SUPPORT_INTENT","KEEP_OR_REBUILD_TOOL_INTENT_AFTER_LEGAL_REVIEW;REDIRECT_LATER_ONLY_WITH_APPROVAL","HIGH","GSC_BROWSER_VERIFIED","This is a distinct calculator/tool intent; do not remove or redirect without a tool/content decision."
"בעמ 919/15","Last 3 months","Pages","0","0","0%","0","NONE_VISIBLE","0","0","0%","0","NO_VISIBLE_SIGNAL","RECHECK_VARIANTS;DO_NOT_PRIORITIZE_FROM_THIS_FILTER_ALONE","UNKNOWN","GSC_BROWSER_VERIFIED_ZERO_ROWS","Exact typed filter showed no visible rows. Test variants such as בע""מ 919/15 and הלכת המזונות החדשה later."
"משמורת ילדים","Last 3 months","Pages","0","611","0%","54.8","https://jus-tice.co.il/what-is-child-custody/","0","400","0%","55.7","WEAK_PRIMARY_PAGE","MAKE_CHILD_CUSTODY_PRIMARY_REVIEW;MERGE_OR_SUPPORT_REVIEW","MEDIUM","GSC_BROWSER_VERIFIED","Broad custody query is not owned by clean /child-custody/; current top page is an English clean-support style URL."
"משמורת ילדים","Last 3 months","Pages","0","611","0%","54.8","https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf","0","297","0%","61.7","DOCUMENT_URL_RISK","DOCUMENT_STRATEGY;MERGE_PUBLIC_GUIDE;REDIRECT_LATER_ONLY_WITH_APPROVAL","MEDIUM","GSC_BROWSER_VERIFIED","Custody PDF receives substantial impressions and needs document handling before migration."
"עורך דין דיני עבודה","Last 3 months","Pages","0","88","0%","33.4","https://jus-tice.co.il/","0","72","0%","21.7","WEAK_PRIMARY_PAGE","MAKE_EMPLOYMENT_PRIMARY_OR_DIRECTORY_REVIEW;ADD_INTERNAL_LINKS","MEDIUM","GSC_BROWSER_VERIFIED","Lawyer-service employment query is mainly associated with the homepage, not a dedicated employment-lawyer pillar."
"עורך דין דיני עבודה","Last 3 months","Pages","0","88","0%","33.4","https://jus-tice.co.il/labor-lawyer/","0","16","0%","86.1","SUPPORT_OR_PILLAR_REVIEW","TITLE_H1_CONTENT_REVIEW;INTERNAL_LINKS","LOW","GSC_BROWSER_VERIFIED","Existing /labor-lawyer/ appears weakly and may be the current clean candidate or support page."
"דיני עבודה","Last 3 months","Pages","0","614","0%","57","https://jus-tice.co.il/israeli-labor-law/","0","472","0%","62.0","INFORMATIONAL_PRIMARY_CANDIDATE","KEEP_AS_INFORMATIONAL_SUPPORT_OR_MERGE_REVIEW","MEDIUM","GSC_BROWSER_VERIFIED","Broad employment-law query is owned by an informational page, not lawyer-service pillar."
"דיני עבודה","Last 3 months","Pages","0","614","0%","57","https://jus-tice.co.il/","0","89","0%","23.5","HOMEPAGE_OVERLAP","HOMEPAGE_TO_EMPLOYMENT_LINKING_REVIEW","MEDIUM","GSC_BROWSER_VERIFIED","Homepage has the best visible position for broad employment-law query but is not a topic guide."
