unit_id,url,primary_query,secondary_queries,intent,impressions_16mo,avg_position,new_title,new_meta_description,length_guidance
W01,https://jus-tice.co.il/police-records-data-deletion/,מחיקת רישום משטרתי,ביטול רישום משטרתי;מחיקת רישום פלילי משטרת ישראל;ביטול רישום פלילי;מחיקת תיק משטרתי;בקשה למחיקת רישום פלילי,informational-guide,47831,34.2,מחיקת רישום משטרתי: מדריך משפטי מעשי,"מחיקת רישום משטרתי: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",2500-4000 מילים (עמוד כסף)
W02,https://jus-tice.co.il/sex-crime-lawyer/,הגנה משפטית עבירות מין,אישום בעבירות מין;גיל ההסכמה והקשר לבעילה אסורה בהסכמה;הגנה על נאשמים בהטרדה מינית בעבודה;הגנה משפטית בעבירות רכוש;הרצאות עברייני מין,hire-lawyer,33612,55.3,"הגנה משפטית עבירות מין: שירותים, הליך ובחירת ייצוג","הגנה משפטית עבירות מין: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",2500-4000 מילים (עמוד כסף)
W03,https://jus-tice.co.il/drug-related-crime/,עבירות סמים,הגנה משפטית עבירות סמים;גידול סם;ביטול פסק דין מחמת מרמה;אל סם תל אביב;החזקת סמים לשימוש עצמי סעיף,informational-guide,33288,37.0,עבירות סמים: מדריך משפטי מעשי,"עבירות סמים: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",2500-4000 מילים (עמוד כסף)
W04,https://jus-tice.co.il/what-is-money-laundering/,הלבנת הון,מה זה הלבנת הון;הלבנת הון דוגמאות;מה זה הלבנת כספים;הלבנת כספים;הלבנת כסף,informational-guide,18138,37.6,הלבנת הון: מדריך משפטי מעשי,"הלבנת הון: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",2500-4000 מילים (עמוד כסף)
W05,https://jus-tice.co.il/murder-in-united-states-law/,עבירת רצח ארצות הברית,רצח מדרגה ראשונה;רצח מדרגה שלישית;רצח מדרגה שנייה;דרגות רצח;הריגה עונש מקסימלי,hire-lawyer,17784,34.5,"עבירת רצח ארצות הברית: שירותים, הליך ובחירת ייצוג","עבירת רצח ארצות הברית: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",2500-4000 מילים (עמוד כסף)
W06,https://jus-tice.co.il/lawyer-near-me-criminal-law/,עורכי הדין להגנה פלילית הטובים ביותר בקרבתי - דירוגי,דירוג עורכי דין פליליים;המלצות עורך דין פלילי במרכז;הגנה משפטית פלילית;אמפאראן;איך לבחור עורך דין פלילי,hire-lawyer,15650,61.5,עורכי הדין להגנה פלילית הטובים ביותר בקרבתי - דירוגי,"עורכי הדין להגנה פלילית הטובים ביותר בקרבתי - דירוגי: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",2500-4000 מילים (עמוד כסף)
W07,https://jus-tice.co.il/sexual-offenses/,עבירת מין,עבירות מין הגדרה;הגנה משפטית עבירות מין;אישום בעבירות מין;בעילה אסורה בהסכמה גזר דין;בעילה אסורה בהסכמה עונש,informational-guide,14805,45.5,עבירת מין: מדריך משפטי מעשי,"עבירת מין: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",2500-4000 מילים (עמוד כסף)
W08,https://jus-tice.co.il/everything-you-need-to-know-about-becoming-a-criminal-lawyer/,סנגור פלילי,עורך דין פלילי;איך לבחור עורך דין פלילי;איך בוחרים עורך דין פלילי;דין פלילי;האם אפשר להיות עורך דין עם עבר פלילי,hire-lawyer,11907,47.7,"סנגור פלילי: שירותים, הליך ובחירת ייצוג","סנגור פלילי: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",2500-4000 מילים (עמוד כסף)
W09,https://jus-tice.co.il/detention-days/,הארכת מעצר ימים,בית מעצר ניצן;הגשת כתב אישום תוך כמה זמן;אזהרת מירנדה;איך לערער על סגירת תיק,informational-guide,8081,36.5,הארכת מעצר ימים: מדריך משפטי מעשי,"הארכת מעצר ימים: מדריך משפטי מעשי: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",1500-2500 מילים
W10,https://jus-tice.co.il/list-of-types-of-fraud/,עורך דין הונאות,הונאה;אישום בעבירות הונאה;הונאה באינטרנט מומחה מחשבים;הונאת דיוג;הונאה טלפונית,hire-lawyer,7531,32.3,"עורך דין הונאות: שירותים, הליך ובחירת ייצוג","עורך דין הונאות: שירותים, הליך ובחירת ייצוג: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",1500-2500 מילים
