page,date,clicks,impressions,ctr,position
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,2026-03-22,5,30,0.16666666666666666,6.166666666666667
https://jus-tice.co.il/court-judge/,2026-04-12,3,117,0.02564102564102564,17.034188034188034
https://jus-tice.co.il/court-judge/,2026-04-13,3,90,0.03333333333333333,14.522222222222222
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,2026-03-25,3,18,0.16666666666666666,6
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,2026-03-30,3,14,0.21428571428571427,5.928571428571429
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,2026-04-09,3,9,0.3333333333333333,4.444444444444445
https://jus-tice.co.il/,2026-04-12,2,62,0.03225806451612903,10.435483870967742
https://jus-tice.co.il/united-arab-emirates-market-overview/,2026-03-30,2,2,1,24.5
https://jus-tice.co.il/wp-content/uploads/2020/02/%D7%94%D7%AA%D7%9C%D7%99%D7%99%D7%AA-%D7%A9%D7%9C%D7%99%D7%9C%D7%AA-%D7%A8%D7%A9%D7%99%D7%95%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%A8%D7%93-%D7%94%D7%91%D7%A8%D7%99%D7%90%D7%95%D7%AA.pdf,2026-04-03,2,2,1,4
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,2026-03-23,2,13,0.15384615384615385,5.076923076923077
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,2026-03-24,2,15,0.13333333333333333,4.666666666666666
https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,2026-03-31,2,12,0.16666666666666666,6.083333333333333
https://jus-tice.co.il/wp-content/uploads/2023/03/ATTORNEY-LIST-December-2017-1.pdf,2026-03-30,2,9,0.2222222222222222,9.555555555555555
https://jus-tice.co.il/wp-content/uploads/2023/05/Italy_List_of_English-speaking_lawyers.pdf,2026-04-13,2,21,0.09523809523809523,5.380952380952381
https://jus-tice.co.il/,2026-03-21,1,48,0.020833333333333332,19.4375
https://jus-tice.co.il/,2026-03-24,1,74,0.013513513513513514,10.621621621621621
https://jus-tice.co.il/,2026-03-26,1,52,0.019230769230769232,12.73076923076923
https://jus-tice.co.il/,2026-03-27,1,30,0.03333333333333333,18.566666666666666
https://jus-tice.co.il/,2026-03-30,1,64,0.015625,23.734375
https://jus-tice.co.il/,2026-03-31,1,57,0.017543859649122806,18.035087719298247
https://jus-tice.co.il/,2026-04-01,1,24,0.041666666666666664,18.583333333333332
https://jus-tice.co.il/,2026-04-14,1,71,0.014084507042253521,11.887323943661972
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A6%D7%95-%D7%94%D7%92%D7%A0%D7%94-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%90%D7%9C%D7%99%D7%9E%D7%95%D7%AA-%D7%91%D7%9E%D7%A9%D7%A4%D7%97%D7%94-%D7%94%D7%98-61185-11-22/,2026-03-22,1,3,0.3333333333333333,6
https://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A6%D7%95-%D7%94%D7%92%D7%A0%D7%94-%D7%9C%D7%9E%D7%A0%D7%99%D7%A2%D7%AA-%D7%90%D7%9C%D7%99%D7%9E%D7%95%D7%AA-%D7%91%D7%9E%D7%A9%D7%A4%D7%97%D7%94-%D7%94%D7%98-61185-11-22/,2026-03-28,1,3,0.3333333333333333,18.666666666666668
https://jus-tice.co.il/%D7%94%D7%92%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D/,2026-04-06,1,2,0.5,4.5
https://jus-tice.co.il/%D7%94%D7%97%D7%96%D7%A7%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D-%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%9E%D7%A9%D7%95%D7%AA%D7%A4%D7%AA-%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99/,2026-03-18,1,3,0.3333333333333333,10.666666666666666
https://jus-tice.co.il/%D7%98%D7%99%D7%A4%D7%99%D7%9D-%D7%9C%D7%A2%D7%95%D7%93-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%94%D7%9B%D7%A0%D7%A1-%D7%9C%D7%9E%D7%93%D7%A8%D7%99%D7%9B%D7%99%D7%9D-%D7%93%D7%99%D7%A8%D7%95%D7%92-%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%9D-%D7%91%D7%A2%D7%A2%D7%95%D7%9C%D7%9D/,2026-03-25,1,3,0.3333333333333333,4.666666666666666
