cluster,competitor_domain,competitor_url,competitor_title,competitor_topic,competitor_page_type,our_existing_url,gap_type,missing_topic,recommended_new_article,recommended_slug,priority,business_value,seo_value,notes
Family Law,kolzchut.org.il,kolzchut.org.il/he/גירושין,גירושין,Divorce portal hub,Portal,PARTIAL,WEAK_ARTICLE,Comprehensive divorce hub page,Divorce Process Complete Guide,/family-law/divorce/,P1,HIGH,HIGH,Must match Kol Zchut depth with lawyer CTA
Family Law,kolzchut.org.il,kolzchut.org.il/he/מזונות,מזונות,Child support portal,Portal,PARTIAL,WEAK_ARTICLE,Comprehensive child support guide,Child Support Complete Guide,/family-law/child-support/,P1,HIGH,HIGH,High search volume and lead intent
Family Law,kolzchut.org.il,kolzchut.org.il/he/הורים_בנפרד,הורים בנפרד,Co-parenting portal,Portal,NONE,MISSING_ARTICLE,Co-parenting and custody rights,Child Custody Complete Guide,/family-law/child-custody/,P1,HIGH,HIGH,Core pillar page needed
Family Law,NONE,NONE,NONE,Divorce lawyer pricing,NONE,NONE,MISSING_ARTICLE,Transparent cost breakdown,"Divorce Lawyer Cost Guide 2026",/family-law/divorce-lawyer-cost/,P1,HIGH,HIGH,"No competitor covers this transparently. Data: consultation 500-1500 NIS, consent divorce 7000-18000 NIS, contested 30000-150000 NIS"
Family Law,NONE,NONE,NONE,How to choose a divorce lawyer,NONE,NONE,MISSING_ARTICLE,Lawyer selection guide,How to Choose a Divorce Lawyer,/family-law/how-to-choose-divorce-lawyer/,P1,HIGH,HIGH,Direct conversion to our lawyer directory
Family Law,kolzchut.org.il,kolzchut.org.il/he/הסכם_יחסי_ממון,הסכם יחסי ממון,Prenuptial agreement rights,Rights page,PARTIAL,WEAK_ARTICLE,Prenuptial agreement complete guide,Prenuptial Agreement Guide,/family-law/prenuptial-agreement/,P2,HIGH,MEDIUM,Needs comprehensive rewrite
Family Law,kolzchut.org.il,kolzchut.org.il/he/גירושין_בין_יהודים,גירושין בין יהודים,Jewish divorce process,Rights page,NONE,MISSING_ARTICLE,Rabbinical court divorce process,Rabbinical Court Divorce Guide,/family-law/rabbinical-court-divorce/,P2,MEDIUM,HIGH,Unique to Israel and high search volume
Family Law,kolzchut.org.il,kolzchut.org.il/he/צו_הגנה,צו הגנה,Protection order rights,Rights page,NONE,MISSING_ARTICLE,Domestic violence protection orders,Protection Order Guide,/family-law/protection-order/,P2,HIGH,MEDIUM,Urgent intent and high lead value
Family Law,NONE,NONE,NONE,Divorce mediation vs court,Comparison,NONE,MISSING_ARTICLE,Mediation vs litigation comparison,Divorce Mediation vs Court,/family-law/divorce-mediation-vs-court/,P2,MEDIUM,HIGH,High-intent comparison query
Family Law,kolzchut.org.il,kolzchut.org.il/he/חלוקת_פנסיה,חלוקת פנסיה,Pension division,Rights page,NONE,MISSING_ARTICLE,Pension division in divorce,Pension Division in Divorce,/family-law/pension-division-divorce/,P3,MEDIUM,MEDIUM,Important but lower search volume
Family Law,kolzchut.org.il,kolzchut.org.il/he/סיוע_משפטי,סיוע משפטי,Free legal aid,Rights page,NONE,MISSING_ARTICLE,Free legal aid for family cases,Free Legal Aid Guide,/family-law/free-legal-aid/,P3,LOW,MEDIUM,Public service content builds trust
Family Law,NONE,NONE,NONE,Divorce documents checklist,Checklist,NONE,MISSING_CHECKLIST,Required documents for divorce filing,Divorce Documents Checklist,/family-law/divorce-documents-checklist/,P1,MEDIUM,HIGH,Practical checklist content Google loves
Family Law,kolzchut.org.il,kolzchut.org.il/he/הסדר_איזון_משאבים,הסדר איזון משאבים,Resource equalization,Rights page,NONE,MISSING_ARTICLE,Property division in divorce,Property Division Guide,/family-law/property-division/,P2,MEDIUM,MEDIUM,Important subtopic
Family Law,kolzchut.org.il,kolzchut.org.il/he/קצבת_מזונות,קצבת מזונות מביטוח לאומי,NII alimony allowance,Rights page,NONE,MISSING_ARTICLE,NII child support allowance guide,NII Child Support Allowance,/family-law/nii-child-support-allowance/,P3,MEDIUM,MEDIUM,Rights-based content with official source links
Family Law,din.co.il,din.co.il/family-law/,דיני משפחה,Family law directory,Directory + Articles,/family-law/,WEAK_ARTICLE,Need stronger pillar with both content and lawyer directory,Family Law Pillar Page,/family-law/,P1,HIGH,HIGH,Must combine informational depth with directory functionality
