post_id,post_type,status,current_url,current_slug,proposed_new_url,proposed_english_slug,title,h1,seo_title,meta_description,word_count,content_length,content_hash,date_published,date_modified,author,categories,tags,practice_area,city,parent_page,current_canonical,proposed_canonical,internal_links_in,internal_links_out,media_count,featured_image,gsc_clicks_3m,gsc_impressions_3m,gsc_ctr_3m,gsc_position_3m,gsc_clicks_12m,gsc_impressions_12m,top_queries,primary_keyword,secondary_keywords,search_intent,topic_cluster,pillar_candidate,supporting_page_candidate,duplicate_title_risk,duplicate_topic_risk,cannibalization_group,traffic_value,traffic_risk,content_quality_score,quality_status,recommended_action,redirect_required,redirect_target,import_ready,owner_approval_required,notes,last_reviewed_by,last_reviewed_at,h1_count,h2_count,h3_count,external_links_out,has_images,content_body_file
14010,article,publish,http://jus-tice.co.il/rabbinical-agreement-approval,%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%9c%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%91%d7%91%d7%aa%d7%99-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%a8,UNKNOWN,UNKNOWN,מדריך לאישור הסכם גירושין בבתי הדין הרבניים – 55 כללים מעשיים,UNKNOWN,UNKNOWN,UNKNOWN,33935,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,NO,post-14010-%d7%9e%d7%93%d7%a8%d7%99%d7%9a-%d7%9c%d7%90%d7%99%d7%a9%d7%95%d7%a8-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%91%d7%91%d7%aa%d7%99-%d7%94%d7%93%d7%99%d7%9f-%d7%94%d7%a8.md
13152,article,publish,http://jus-tice.co.il/most-recommended-family-lawyer,%d7%94%d7%9e%d7%9c%d7%a6%d7%95%d7%aa-2026-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%94,UNKNOWN,UNKNOWN,המלצות 2026 עורך דין לענייני משפחה מומלץ  | התייעצות עם עורך דין לענייני משפחה וירושה,UNKNOWN,UNKNOWN,UNKNOWN,31096,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,NO,post-13152-%d7%94%d7%9e%d7%9c%d7%a6%d7%95%d7%aa-2026-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%9e%d7%95%d7%9e%d7%9c%d7%a5-%d7%94.md
12987,article,publish,http://jus-tice.co.il/future-of-divorce-process,%d7%9b%d7%99%d7%a6%d7%93-%d7%99%d7%a8%d7%90%d7%94-%d7%91%d7%a2%d7%aa%d7%99%d7%93-%d7%94%d7%9c%d7%99%d7%9a-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%aa%d7%97%d7%96%d7%99%d7%aa-%d7%9c%d7%a9,UNKNOWN,UNKNOWN,כיצד יראה בעתיד הליך גירושין &#8211; תחזית לשנים הבאות,UNKNOWN,UNKNOWN,UNKNOWN,2910,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,NO,post-12987-%d7%9b%d7%99%d7%a6%d7%93-%d7%99%d7%a8%d7%90%d7%94-%d7%91%d7%a2%d7%aa%d7%99%d7%93-%d7%94%d7%9c%d7%99%d7%9a-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%aa%d7%97%d7%96%d7%99%d7%aa-%d7%9c%d7%a9.md
12979,article,publish,http://jus-tice.co.il/experienced-family-law-attorney,%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%aa%d7%95%d7%aa%d7%97-%d7%9e%d7%a2%d7%9c-20-%d7%a9%d7%a0%d7%95%d7%aa-%d7%a0,UNKNOWN,UNKNOWN,עורך דין לענייני משפחה תותח מעל 20 שנות נסיון | ייעוץ חינם &#8211; נתונים עדכניים בדיני המשפחה,UNKNOWN,UNKNOWN,UNKNOWN,11724,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,NO,post-12979-%d7%a2%d7%95%d7%a8%d7%9a-%d7%93%d7%99%d7%9f-%d7%9c%d7%a2%d7%a0%d7%99%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94-%d7%aa%d7%95%d7%aa%d7%97-%d7%9e%d7%a2%d7%9c-20-%d7%a9%d7%a0%d7%95%d7%aa-%d7%a0.md
12975,article,publish,http://jus-tice.co.il/1396562-2,%d7%a4%d7%a1%d7%93-%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%9c%d7%a9%d7%9c%d7%95%d7%9d-%d7%91%d7%99%d7%aa-%d7%94%d7%a7%d7%a4%d7%90%d7%aa-%d7%aa%d7%a9%d7%9c%d7%95,UNKNOWN,UNKNOWN,פס&#8221;ד ביטול החלטה לשלום בית ; הקפאת תשלום מזונות אישה,UNKNOWN,UNKNOWN,UNKNOWN,10197,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,YES,post-12975-%d7%a4%d7%a1%d7%93-%d7%91%d7%99%d7%98%d7%95%d7%9c-%d7%94%d7%97%d7%9c%d7%98%d7%94-%d7%9c%d7%a9%d7%9c%d7%95%d7%9d-%d7%91%d7%99%d7%aa-%d7%94%d7%a7%d7%a4%d7%90%d7%aa-%d7%aa%d7%a9%d7%9c%d7%95.md
12946,article,publish,http://jus-tice.co.il/can-you-be-common-law-married-to-a-married-person,%d7%94%d7%90%d7%9d-%d7%90%d7%99%d7%a9%d7%94-%d7%a0%d7%a9%d7%95%d7%90%d7%94-%d7%99%d7%9b%d7%95%d7%9c%d7%94-%d7%9c%d7%94%d7%99%d7%97%d7%a9%d7%91-%d7%99%d7%93%d7%95%d7%a2%d7%94-%d7%91%d7%a6%d7%99%d7%91,UNKNOWN,UNKNOWN,האם אישה נשואה יכולה להיחשב ידועה בציבור של אחר? מדריך מקיף ידועים בציבור,UNKNOWN,UNKNOWN,UNKNOWN,24190,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,14,11,,NO,post-12946-%d7%94%d7%90%d7%9d-%d7%90%d7%99%d7%a9%d7%94-%d7%a0%d7%a9%d7%95%d7%90%d7%94-%d7%99%d7%9b%d7%95%d7%9c%d7%94-%d7%9c%d7%94%d7%99%d7%97%d7%a9%d7%91-%d7%99%d7%93%d7%95%d7%a2%d7%94-%d7%91%d7%a6%d7%99%d7%91.md
12940,article,publish,http://jus-tice.co.il/1440015/1,%d7%90%d7%9b%d7%99%d7%a4%d7%aa-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%a2%d7%9c-%d7%a8%d7%a7%d7%a2-%d7%98%d7%a2%d7%a0%d7%95%d7%aa-%d7%94%d7%93%d7%93%d7%99%d7%95%d7%aa,UNKNOWN,UNKNOWN,אכיפת הסכם גירושין על רקע טענות הדדיות בדבר הפרתו,UNKNOWN,UNKNOWN,UNKNOWN,18602,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,32,NO,post-12940-%d7%90%d7%9b%d7%99%d7%a4%d7%aa-%d7%94%d7%a1%d7%9b%d7%9d-%d7%92%d7%99%d7%a8%d7%95%d7%a9%d7%99%d7%9f-%d7%a2%d7%9c-%d7%a8%d7%a7%d7%a2-%d7%98%d7%a2%d7%a0%d7%95%d7%aa-%d7%94%d7%93%d7%93%d7%99%d7%95%d7%aa.md
12934,article,publish,http://jus-tice.co.il/family-mediation-updated-trends,%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%95%d7%91%d7%a2%d7%95%d7%9c%d7%9d-%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%95%d7%92%d7%99%d7%a8,UNKNOWN,UNKNOWN,"גישור משפחתי בישראל ובעולם | גישור וגירושין | נתונים, התפתחות ומגמות עדכניות",UNKNOWN,UNKNOWN,UNKNOWN,20334,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,13,4,,NO,post-12934-%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%95%d7%91%d7%a2%d7%95%d7%9c%d7%9d-%d7%92%d7%99%d7%a9%d7%95%d7%a8-%d7%95%d7%92%d7%99%d7%a8.md
12924,article,publish,http://jus-tice.co.il/investigations-and-intelligence-division,%d7%90%d7%92%d7%a3-%d7%94%d7%97%d7%a7%d7%99%d7%a8%d7%95%d7%aa-%d7%95%d7%94%d7%9e%d7%95%d7%93%d7%99%d7%a2%d7%99%d7%9f-%d7%a9%d7%9c-%d7%9e%d7%a9%d7%98%d7%a8%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c,UNKNOWN,UNKNOWN,אגף החקירות והמודיעין של משטרת ישראל,UNKNOWN,UNKNOWN,UNKNOWN,23387,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,12,25,,NO,post-12924-%d7%90%d7%92%d7%a3-%d7%94%d7%97%d7%a7%d7%99%d7%a8%d7%95%d7%aa-%d7%95%d7%94%d7%9e%d7%95%d7%93%d7%99%d7%a2%d7%99%d7%9f-%d7%a9%d7%9c-%d7%9e%d7%a9%d7%98%d7%a8%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c.md
12921,article,publish,http://jus-tice.co.il/top-experts-family-law,2025-%d7%94%d7%9e%d7%95%d7%9e%d7%97%d7%99%d7%9d-%d7%94%d7%9e%d7%95%d7%91%d7%99%d7%9c%d7%99%d7%9d-%d7%91%d7%93%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94,UNKNOWN,UNKNOWN,(2025) המומחים המובילים בדיני משפחה,UNKNOWN,UNKNOWN,UNKNOWN,13838,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,UNKNOWN,STRONG,NEEDS_OWNER_REVIEW,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,12,,,NO,post-12921-2025-%d7%94%d7%9e%d7%95%d7%9e%d7%97%d7%99%d7%9d-%d7%94%d7%9e%d7%95%d7%91%d7%99%d7%9c%d7%99%d7%9d-%d7%91%d7%93%d7%99%d7%a0%d7%99-%d7%9e%d7%a9%d7%a4%d7%97%d7%94.md
