old_url,new_url,post_id,reason,traffic_risk,gsc_clicks_export,gsc_impressions_export,redirect_type,approved,status,notes
https://jus-tice.co.il/,UNKNOWN_FINAL_TARGET_NEEDED,UNKNOWN,NEEDS_MERGE_REVIEW,LOW,0,321,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
https://jus-tice.co.il/%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%90%D7%A9%D7%AA%D7%95-%D7%A2%D7%9C-%D7%A4%D7%99-%D7%93%D7%99%D7%9F-%D7%AA%D7%95%D7%A8%D7%94-%D7%95%D7%A2%D7%9C-%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%91%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%A9%D7%91%D7%94-%D7%94%D7%90%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%90-%D7%94%D7%9E%D7%A4%D7%A8%D7%A0%D7%A1%D7%AA,https://jus-tice.co.il/family-law-needs-slug-review/,UNKNOWN,NEEDS_MERGE_REVIEW,MEDIUM,19,1595,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%9F-%D7%9E%D7%A9%D7%90%D7%91%D7%99%D7%9D-%D7%9B%D7%A1%D7%A4%D7%99%D7%9D-%D7%94%D7%9E%D7%A6%D7%95%D7%99%D7%99%D7%9D-%D7%91%D7%97%D7%A9%D7%91%D7%95%D7%A0%D7%95%D7%AA-%D7%91%D7%9F-%D7%96%D7%95%D7%92-%D7%94%D7%91%D7%A8%D7%97%D7%AA-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D,https://jus-tice.co.il/family-law-needs-slug-review/,UNKNOWN,NEEDS_MERGE_REVIEW,MEDIUM,7,2382,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
https://jus-tice.co.il/%D7%90%D7%99%D7%96%D7%95%D7%A8%D7%99%D7%9D/%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%95%D7%94%D7%9E%D7%A8%D7%9B%D7%96,UNKNOWN_FINAL_TARGET_NEEDED,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,LOW,0,14,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9-%D7%A0%D7%9B%D7%95%D7%9F-%D7%95%D7%9E%D7%94%D7%A8,UNKNOWN_FINAL_TARGET_NEEDED,UNKNOWN,NEEDS_CLUSTER_CLASSIFICATION,LOW,0,12,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A1%D7%95%D7%9B%D7%9F-%D7%A0%D7%93%D7%9C%D7%9F-%D7%98%D7%95%D7%91,https://jus-tice.co.il/real-estate-needs-slug-review/,UNKNOWN,NEEDS_CONTENT_REVIEW,LOW,0,4,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%96%D7%95%D7%9C-%D7%95%D7%9C%D7%94%D7%A8%D7%95%D7%95%D7%99%D7%97,https://jus-tice.co.il/real-estate-needs-slug-review/,UNKNOWN,NEEDS_CONTENT_REVIEW,MEDIUM,14,4427,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
https://jus-tice.co.il/%D7%90%D7%99%D7%9E%D7%95%D7%AA-%D7%97%D7%AA%D7%99%D7%9E%D7%94-%D7%A0%D7%95%D7%98%D7%A8%D7%99%D7%95%D7%9F-%D7%9E%D7%A9%D7%95%D7%9C%D7%91-%D7%A2%D7%91%D7%A8%D7%99%D7%AA-%D7%90%D7%A0%D7%92%D7%9C%D7%99%D7%AA,https://jus-tice.co.il/notary-foreign-needs-slug-review/,UNKNOWN,NEEDS_CONTENT_REVIEW,LOW,1,905,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%94%D7%9B%D7%99-%D7%9E%D7%A9%D7%AA%D7%9C%D7%9D-%D7%9C%D7%9E%D7%A9%D7%A7%D7%99%D7%A2-%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%A2%D7%95%D7%9C%D7%9D,https://jus-tice.co.il/real-estate-needs-slug-review/,UNKNOWN,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,HIGH,107,31186,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%9B%D7%93%D7%90%D7%99-%D7%9C%D7%94%D7%A9%D7%A7%D7%99%D7%A2-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%93%D7%95%D7%91%D7%90%D7%99,https://jus-tice.co.il/real-estate-needs-slug-review/,UNKNOWN,DO_NOT_TOUCH_HIGH_TRAFFIC_URL,HIGH,59,16161,301_IF_APPROVED,NO,DRAFT_NOT_EXECUTED,Do not execute before owner approval and final target verification.
