full_name,entity_type,practice_areas,office_address,city,phone,website,guide_code,guide_practice_label,rank_tier,rank_label_raw,rank_year,source_url,notes
"אטיאס, גראור, וישניצקי, ענבר ושות'",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"בלטר, גוט, אלוני ושות' - עורכי דין",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ברנע ג'פה לנדה,firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ח.נועם ושות' - משרד עורכי-דין,firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"חגי שבתאי, שפירא עו""ד",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"חיימסון סודאי ושות', עורכי דין",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ליפא ושות',firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
נשיץ ברנדס אמיר ושות',firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"עדי קפלן ושות', עורכי דין",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"קנולר ישינובסקי קינן ושות', עורכי דין",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"רנן, מרקס, שרם - עורכי דין",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"CBA שרקון, בן-עמי, אשר ושות' - משרד עורכי דין",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"איילת רייך- משרד עורכי דין, נוטריון וגישור",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גושן - לוי - קומבליס משרד עורכי דין,firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
הרצוג פוקס נאמן,firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"תמיר יחיא את אלי סלהוב משרד עו""ד ונוטריון",firm,אגודות שיתופיות,,,,,G1,אגודות שיתופיות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/אגודות_שיתופיות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אגמון עם טולצ'ינסקי,firm,איכות הסביבה,,,,,G1,איכות הסביבה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גולדפרב גרוס זליגמן,firm,איכות הסביבה,,,,,G1,איכות הסביבה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
הרצוג פוקס נאמן,firm,איכות הסביבה,,,,,G1,איכות הסביבה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/איכות_הסביבה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
