"id","count","description","link","name","slug","taxonomy","parent"
"713","0","עסקאות נדל״ן, חוזי מכר, רישום בטאבו, ליקויי בנייה והתחדשות עירונית.","http://jus-tice.co.il/practice-areas/real-estate-law/","real-estate-law","real-estate-law","practice-areas","0"
"18","0","","http://jus-tice.co.il/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA-%D7%9E%D7%90%D7%9E%D7%A8%D7%99%D7%9D/%D7%90%D7%92%D7%95%D7%93%D7%95%D7%AA-%D7%A9%D7%99%D7%AA%D7%95%D7%A4%D7%99%D7%95%D7%AA/","אגודות שיתופיות","%d7%90%d7%92%d7%95%d7%93%d7%95%d7%aa-%d7%a9%d7%99%d7%aa%d7%95%d7%a4%d7%99%d7%95%d7%aa","practice-areas","0"
"25","1","","https://jus-tice.co.il/practice-areas/environmental-law/","איכות סביבה","environmental-law","practice-areas","0"
"34","5","","https://jus-tice.co.il/practice-areas/insurance-law/","ביטוח","insurance-law","practice-areas","0"
"717","0","קצבאות, ועדות רפואיות, נכות כללית, תאונות עבודה וערעורים.","http://jus-tice.co.il/practice-areas/national-insurance/","ביטוח לאומי","national-insurance","practice-areas","0"
"640","6","<p dir=""ltr"" style=""text-align: right"">בתי הדין הרבניים דנים בענייני נישואין וגירושין של יהודים ובנושאים דתיים נוספים כגון גיור. ערכאה זו פוסקת על פי המשפט העברי וההלכה היהודית, בשונה מכל בית משפט אחר בישראל הפוסק על פי החוק האזרחי. ישנם מספר בתי דין רבניים אזוריים ברחבי הארץ וערכאת ערעור אחת, היא בית הדין הגדול לערעורים הנמצא בירושלים.</p>
<p dir=""ltr"" style=""text-align: right""><img class=""alignleft wp-image-5762 size-medium"" src=""https://jus-tice.co.il/wp-content/uploads/2021/08/בית-הדין-הרבני-300x195.jpg"" alt=""בית דין רבני"" width=""300"" height=""195"" /></p>
<p dir=""ltr"" style=""text-align: right""><strong>סמכויות בית הדין הרבני</strong>
ניתן לחלק את סמכויותיהם של בתי הדין הרבניים לשלושה נושאים עיקריים. הנושא הראשון הוא ענייני נישואין וגירושין, כאשר סידור הגט מצוי בסמכותו הייחודית של בית הדין הרבני, בעוד שיתר הנושאים מצויים בסמכות מקבילה של בית המשפט לענייני משפחה. הנושא השני הוא כל הנוגע להליכי גיור לדת היהודית והתחום השלישי הוא צוואות וירושות, אולם נדגיש כי בנושא זה רשאים בתי הדין הרבניים לדון רק בהסכמת כל הצדדים.</p>
<p dir=""ltr"" style=""text-align: right"">הליך הגירושין הוא אחד התחומים המרכזיים בהם עוסק בית הדין הרבני והוא חולק את סמכותו בנושא זה עם בית המשפט לענייני משפחה. בין שתי הערכאות קיימים הבדלים מהותיים, משהאחת פוסקת על פי הדין הדתי והאחרת על פי הדין האזרחי. משמעות הדבר הוא שניתן לקבל תוצאה משפטית שונה באותו העניין, בהתאם לערכאה הדנה בו. מצב זה יצר את התופעה של מרוץ סמכויות בין בית הדין לבית המשפט, כאשר כל אחד מבני הזוג מבקש להתדיין בערכאה אשר ממנה הוא צופה לקבל את התוצאה המטיבה עבורו.</p>
<p dir=""ltr"" style=""text-align: right""><strong>ערעור על פסק הדין</strong>
ניתן להגיש ערעור על פסק דין של בית הדין הרבני האזורי וזה יוגש אל בית הדין הרבני הגדול. אולם, זכות הערעור כאן שונה מאוד מזו שאנו מכירים במערכת המשפט. ככלל, פסק הדין של ערכאת ערעור, מחייב את הערכאה הנמוכה יותר. מצב זה נקרא תקדים מחייב ומשמעותו כי הערכאה הנמוכה לא תוכל לפסוק אחרת בעניין שבו פסקה ערכאה גבוהה יותר. כך, כאשר בית המשפט המחוזי דן בערעור על פסק דין של בית משפט השלום, הכרעתו מחייבת את כל בתי משפט השלום באותה סוגיה.</p>
<p dir=""ltr"" style=""text-align: right"">לעומת זאת, הכרעותיו של בית הדין הרבני הגדול שהוא ערכאת הערעור, אינן מחייבות את בתי הדין האזוריים. הסיבה לכך היא שהמשפט העברי, על פיו פוסקת הרבנות, קובע כי אין דיין אחד עליון על האחר וכל דיין פוסק על פי הפרשנות שלו לראיות המונחות לפניו. הבדל נוסף לעניין זכות הערעור הוא כי על החלטות ביניים של בתי הדין הרבניים האזוריים, ניתן להגיש ערעור ברשות בלבד ולא בזכות, כפי שמתאפשר בהליך אזרחי.</p>
<p dir=""ltr"" style=""text-align: right""><strong>ייצוג משפטי בבית הדין הרבני</strong>
למרות מאפייניו השונים, חשוב להבין כי בית הדין הרבני הוא בית משפט לכל דבר. על כן, בכל הליך משפטי המתנהל בבתי הדין הרבניים, יש צורך בייצוג משפטי מקצועי אשר ישמור על זכויותיהם של הצדדים. כאשר אדם מופיע לבדו בפני בית הדין, ללא ידע וניסיון משפטי, הוא יתקשה מאוד להציג את טיעוניו באופן מלא וכך, הסיכוי לזכות בהליך קטן מאוד. חשיבותו של הייצוג המשפטי גדלה ככל שמדובר בעניין כבד משקל. כך למשל, בהליך גירושין, מונחים על הכף עניינים הרי גורל כמו חלוקת הנכסים בין בני הזוג, משמורת הילדים ודמי המזונות.</p>
<p dir=""ltr"" style=""text-align: right"">לכן, כל אחד מהצדדים זקוק לעורך דין לגירושין אשר יתכנן בקפידה את האסטרטגיה לניהול התיק ויפעל לקבלת התוצאה האופטימאלית בכל נושא ונושא. לעניין זה נזכיר גם כי בהליכי גירושין, תכנון משפטי מוקדם הוא הכרחי, בין היתר בשל מרוץ הסמכויות בין בית הדין הרבני לבין בית המשפט לענייני משפחה. כך, עורך הדין ידאג לכך כי כל אחת מסוגיות הגירושין תדון בערכאה המתאימה ביותר, זו שהכרעתה צפויה להטיב עם הלקוח.</p>","http://jus-tice.co.il/rabbinical-court/","בית הדין הרבני","rabbinical-court","practice-areas","0"
"643","4","<p style=""text-align: right""><strong>מיהו בית המשפט העליון, ועל מי הוא עליון?</strong>
ככלל, ובלי להיכנס לעובי הקורה, ניתן לומר כי מערכת המשפט במדינת ישראל בנויה בצורת פירמידה. בתחתית הפירמידה נמצאת הערכאה הנמוכה – בית המשפט השלום. תפקידו לדון בעניינים 'הקלים' יותר ו'הפשוטים' יותר. מעל בית משפט השלום נמצא בית המשפט המחוזי, המשמש כערכאת ערעור וכערכאה עצמאית לעניינים חמורים ומורכבים יותר. מעל שני אלו ישנו בית המשפט העליון.</p>
<p style=""text-align: right"">בבית המשפט העליון מכהנים חמישה – עשר שופטים ושני רשמים שמכהנים בקביעות עד הפרישה בגיל 70. בדרך כלל ישבו בדיון שלושה שופטי עליון, אך במקרים מסוימים כמו בצווים זמניים ובקשות רשות ערעור ניתן לדון בשופט אחד. מנגד, בנושאים מורכבים ובעלי חשיבות גבוהה ניתן להרחיב את ההרכב למספר אי - זוגי הגבוה משלושה שופטים.</p>
<p style=""text-align: right""><strong>ייחודו של בית המשפט העליון</strong>
בית המשפט העליון מיוחד בכמה מובנים. ראשית, בעוד הערכאות הנמוכות יותר מורכבות ממספר בית משפט, לפי אזורים וערים, בית המשפט העליון הוא אחד ויחיד ומקומו בירושלים, בירת ישראל.</p>
<p style=""text-align: right"">שנית, על פי עקרון התקדים המחייב, הלכות הניתנות בידי בית משפט זה הינן מחייבות את הערכאות הנמוכות ברגע שניתנו והופכות לדין המצוי. עקרון זה מעוגן בחוק יסוד: השפיטה. לעומת זאת, פסיקת הערכאות הנמוכות מהוות תקדים מנחה, ולא מחייב. בית המשפט העליון עצמו אינו מחויב להלכות שקבע, אך בפסיקה ובספרות נקבע כי בסטייה מתקדים קמה חובת הנמקה.</p>
<p style=""text-align: right"">שלישית, מלבד היותו ערכאת ערעור, בית המשפט העליון משמש בכובע נוסף – בית הדין הגבוה לצדק (או כמו שהוא מוכר בציבור: בג""צ). חוק יסוד השפיטה קובע שבג""צ מוסמך לתת צו עשה או אל תעשה לרשויות שלטוניות אם ראה שהצדק מחייב זאת. בכובע זה משמש בג""צ כערכאה ראשונה אליה עותרים, ולא מערערים או תובעים.</p>
<p style=""text-align: right""><strong>מי יכול לגשת לבית המשפט העליון?</strong>
הזכות להגיע ולקבל דיון משפטי בעניין מסוים נקרא 'זכות העמידה'. אל בית המשפט העליון ניתן לערער בזכות אם הדיון הראשון התבצע בבית המשפט המחוזי, ובקבלת רשות אם הערעור הוא ערעור שני בתיק שהחל את דרכו בבית משפט השלום.</p>
<p style=""text-align: right"">בעוד לבית המשפט העליון, או לבית משפט אחר, יכול להגיע רק צד לסכסוך או לתביעה, לבג""צ יכול לעתור גם אדם או גוף שלא נפגע מהמצב המשפטי כלפיו מוגשת העתירה. עם זאת, הושמעו קולות בפסיקה שכאשר ישנו נפגע קונקרטי מהמצב שבחר שלא להגיש עתירה בעצמו, אין לעותר ציבורי לעתור במקומו.</p>
<p style=""text-align: right"">תפקידים נוספים של בית משפט זה הנוגעים לשאלת העמידה הם, למשל, קביעה בשאלה של סמכות. ניתן לעתור לבג""צ כאשר נראה שפסק הדין של הערכאה הדיונית ניתן בחוסר סמכות. למשל, כאשר בית הדין הרבני נותן פסק דין שאין בסמכותו לתת, ניתן לעתור לבג""צ ולבקש כי יורה על ביטול פסק הדין.</p>
<p style=""text-align: right"">בנוסף, בית המשפט העליון מוסמך להורות על קיום משפט חוזר או דיון נוסף על נושא שכבר ניתן בו פסק הדין. מסלולים אלו שחורגים מעיקרון סופיות הדיון ממחישים את ההכרה בכך שגם השופטים הם בשר ודם ומסוגלים לטעות. עם זאת, משפט חוזר ודיון נוסף הם אירועים חריגים שלא מתרחשים בכל יום.</p>
<p style=""text-align: right""><strong>מקומו של בית המשפט העליון כרשות שלטונית</strong>
בית המשפט העליון עומד בראש הרשות השופטת שהיא אחת משלוש רשויות השלטון, לצד הרשות המחוקקת - הכנסת והרשות המבצעת – הממשלה. תפקידיהם של האחרונים הם לקבוע את הנורמות וליישמן, בהתאמה, ותפקיד הרשות השופטת היא להכריע בסכסוכים שנוצרים.</p>
<p style=""text-align: right"">כמו שראינו, בית המשפט העליון, כמייצג של הרשות השופטת בכלל, מוסמך להורות לרשויות האחרות כיצד לפעול. עובדה זו גורמת לעיתים קרובות למתחים בין הרשויות במסגרת מרוץ הכוחות ביניהן.</p>
<p style=""text-align: right"">כאשר המחוקק פותח בהליך חקיקה הוא מנסה לכסות את כל הקצוות ולהגן עליהן מביקורת שיפוטית בעתיד. מובן שזהירות משפטית בניסוח חקיקתי היא דבר מבורך, אך בפועל אנו עדים למתיחות גבוהה בין הרשויות שלעיתים קרובות יורדת לפסים אישיים וניסיונות ניגוח של מהות הרשות השופטת.</p>
<p style=""text-align: right"">בהקשר זה יש לציין את המחלוקת הגדולה בין תומכי האקטיביזם השיפוטי לבין מתנגדיו. המלומד פרופ' מני מאוטנר טוען כי בשנים האחרונות חלה עלייה בשימוש בעושים השופטים בערכים נורמטיביים שיש להם מקום לדעתם בנסיבות העניין, מול ירידת הפורמליזם וההיצמדות ללשון החוק. פעילות שיפוטית כזו קרויה 'אקטיביזם שיפוטי'.</p>
<p style=""text-align: right"">תומכי האקטיביזם רואים במערכת המשפט כשומרי הסף של הדמוקרטיה, קו ההגנה האחרון של המדינה הליברלית. בנוסף, הכנסת ערכים לפסק הדין עשויה להגשים את הדמוקרטיה המהותית, שלא כוללת רק ציות לחוק כלשונו. לעומתם, מתנגדיו מצביעים על כך שלדעתם בית המשפט שמרבה לפסול חוקים שחוקקה הכנסת או להורות על בטלות פעולה שלטונית כזו או אחרת פועל בחוסר סמכות ולמעשה נוגס בסמכויותיהן של הרשויות האחרות.</p>
<p style=""text-align: right""><strong>דוגמאות לאקטיביזם שיפוטי</strong>
דוגמא מובהקת לאקטיביזם שיפוטי היא פסק הדין 'המזרחי' שניתן בשנת 1995, 3 שנים לאחר חקיקת חוקי היסוד חופש העיסוק וכבוד האדם וחירותו שעניינם בהסדרת זכויות האדם בישראל. בפסק דין המזרחי קבע בית המשפט העליון כי חוקי היסוד מהווים תחליף לחוקה והם במעמד עליון על חוקים רגילים. חוקים רגילים חייבים לעמוד בסטנדרטים המוכתבים על ידי חוקי היסוד, וניתן לבטל חוק שפוגע בחוק יסוד ללא הסמכה.</p>
<p style=""text-align: right"">פסק הדין היה יריית הפתיחה לתהליך שנקרא 'המהפכה החוקתית'. בעצם, בית המשפט עצמו קבע כי הוא מוסמך – מכח חקיקת יסוד של הכנסת – לבטל חוקים של הרשות המחוקקת אם הם נוגדים, לדעתו, את חוקי היסוד.</p>
<p style=""text-align: right"">דוגמא ממוקדת יותר ניתן למצוא בפסיקות רבות של בג""צ בהם קבע בית המשפט כי זכויות רבות הינן זכויות יסוד במשטר שלנו, על אף שאינן מוזכרות בחוק יסוד: כבוד האדם וחירותו. כך למשל מוגנים כיום, באדיקות רבה, הזכות לשוויון, חופש דת, חופש הביטוי, הזכות לכבוד ועוד למרות שאין להם זכר בלשון חוק היסוד.</p>
<p style=""text-align: right"">דוגמא נוספת, מתחום אחר לחלוטין, היא סוגית פירוש חוזים. המצב המשפטי במדינת ישראל לגבי חוזה בו התגלע ויכוח בין הצדדים הוא פירוש החוזה תוך ניסיון להתחקות אחר כוונת הצדדים. בעבר, תהליך זה היה מתחיל את דרכו בלשון החוזה, באופן פורמליסטי.
כיום, ישנה הלכת בית המשפט העליון שניתנה בשנות ה90 ועיקרה שינוי שיטת פירוש החוזה.</p>
<p style=""text-align: right"">כיום, פירוש החוזה יעשה תוך שימוש ראשוני בעקרונות רחבים כמו נסיבות חיצוניות ודרישת תום הלב. שינוי זה מביא למצב בו השופטים עשויים להכניס לתוך החוזה תנאים ותניות אותם לא ביקשו הצדדים להכניס אליו.</p>
<p style=""text-align: right""><strong>חשיבותו של בית המשפט העליון</strong>
אמנם כל בית משפט מנוי על הרשות השופטת, אך בית המשפט העליון הוא ראש המערכת השיפוטית וככזה יש לו מעמד ציבורי שונה ומיוחד. הוא מייצג אמינות, מקצועיות, וניקיון כפיים. כך למשל, נהוג כי לתפקיד היועץ המשפטי לממשלה יתמנה רק משפטן אשר מבחינת נתוניו הוא כשיר לכהונת שופט בית המשפט העליון.</p>
<p style=""text-align: right"">נוסף על כך, בראש ועדת הבחירות המרכזית, וועדת האיתור לתפקיד היועץ המשפטי ובראש וועדות חקירה רבות עומדים שופטי עליון. גם הוועדה לבחירת שופטים מונה 3 חברי בית המשפט העליון, כולל נשיא בית המשפט.</p>

שופטי בית המשפט העליון

בית המשפט העליון הגדרה

מזכירות בית המשפט העליון

בית המשפט העליון סיורים

בית המשפט העליון החלטות

אתר בית המשפט העליון

יומן דיונים בית המשפט העליון

בית המשפט העליון שידור חי

[caption id=""attachment_5946"" align=""alignnone"" width=""300""]<img class=""size-medium wp-image-5946"" src=""https://jus-tice.co.il/wp-content/uploads/2021/08/בית-המשפט-העליון-300x197.jpg"" alt=""בית המשפט העליון ישראל"" width=""300"" height=""197"" /> מאת לשכת העיתונות הממשלתית, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=22808490[/caption]","http://jus-tice.co.il/supreme-court-of-israel/","בית המשפט העליון","supreme-court","practice-areas","632"
"639","4","<p style=""text-align: right"">הסכמי ממון, ירושות וצוואות, הליכי גירושין וענייני אפוטרופסות, הם רק חלק מן הסוגיות בהן דן בית המשפט לענייני משפחה. בשל רגישות הנושאים בהם היא מכריעה, לערכאה זו ניתנו בחוק סמכויות מיוחדות, על מנת לייעל את הדיון, להגיע לחקר האמת ולהביא לסיומו של הסכסוך בהקדם האפשרי.</p>


[caption id=""attachment_5759"" align=""alignleft"" width=""300""]<img class=""size-medium wp-image-5759"" src=""https://jus-tice.co.il/wp-content/uploads/2021/08/בית-משפט-לענייני-משפחה-300x223.jpg"" alt=""בית המשפט לענייני משפחה - מחוז תל אביב"" width=""300"" height=""223"" /> בית המשפט לענייני משפחה - מחוז תל אביב[/caption]
<p style=""text-align: right""><strong>חוק בית המשפט לענייני משפחה, התשנ""ה-1995</strong>
כל ערכאה משפטית בישראל פועלת מכוחו של חוק הקובע באלו נושאים היא תדון ומהן סמכויותיה. כך גם לגבי בית המשפט לענייני משפחה, הפועל מכוחו של החוק שבכותרת. החוק מונה את הנושאים השונים בהם דנים בתי המשפט למשפחה וכן מקנה להם סמכויות מיוחדות כפי שנסביר מיד.</p>
<p style=""text-align: right"">מרביתנו מכירים את בית המשפט לענייני משפחה בעקבות הליך גירושין או סכסוך ירושה, אך ערכאה זו דנה בנושאים רבים נוספים הנוגעים לענייני המעמד האישי ויחסי המשפחה, ביניהם: תביעת אבהות, הסכמי ממון, החזרת ילדים חטופים, ענייני אפוטרופסות, אלימות במשפחה, אימוץ, פונדקאות ועוד.</p>
<p style=""text-align: right"">נציין, כי סמכותם של בתי המשפט לענייני משפחה לדון בכל אחד מהנושאים הללו, אינה תלויה בסכום התביעה, ככל שמדובר בעניין כספי. זאת בשונה מבתי משפט השלום והמחוזי, שם הסמכות לדון בתביעה כספית תיקבע בדרך כלל על פי גובה התביעה.</p>
<p style=""text-align: right""><strong>סמכויות מיוחדות</strong>
ככלל, בתי המשפט בישראל מחויבים לסדרי ראיות אשר על פיהם עליהם לנהל את התיקים המגיעים לפתחם. מדובר בסט של כללים הקובע את קבילות הראיות ואת משקלן. כלומר אלו מסמכים ועדויות יכולים הצדדים להציג בפני בית המשפט ומהו המשקל שייתן בית המשפט לכל ראיה בבואו להכריע בתיק.</p>
<p style=""text-align: right"">בתי המשפט לענייני משפחה עוסקים בדיני נפשות ומשכך, קיימת חשיבות גדולה מאוד להגיע לחקר האמת ולסיים את הדיון באופן היעיל ביותר. כדי להגשים מטרה זו, קבע המחוקק כי בסמכותה של ערכאה זו לסטות מדיני הראיות המקובלים. למשל, לקבל ראיה כקבילה, כאשר על פי סדרי הדין הרגילים, היא לא הייתה מתקבלת ככזו. סמכות זו מעניקה לבית המשפט מרחב פעולה גדול כדי לרדת לעומקו של הסכסוך ולהכריע בו בצורה צודקת יותר.</p>
<p style=""text-align: right"">כמו כן, כדי להגן על פרטיותם של בעלי הדין, דיונים בבתי המשפט לענייני משפחה נערכים בדלתיים סגורות. זאת בניגוד לעקרון פומביות הדיון, המאפשר לכל אדם להיכנס לאולמות בתי המשפט ולהקשיב לדיונים המתנהלים בו. בהתאמה, כאשר מתפרסמים פסקי דין של בתי המשפט למשפחה, הם מפורסמים ללא שמות הצדדים.</p>
<p style=""text-align: right""><strong>הגשת ערעור</strong>
כאשר מי מבעלי הדין אינו מרוצה מפסק דינו של בית המשפט לענייני משפחה, נתונה לו הזכות להגיש עליו ערעור לבית המשפט המחוזי. חשוב לציין, כי לערכאת הערעור תהיינה את כל הסמכויות המיוחדות של בית המשפט לענייני משפחה, למרות שמדובר בבית המשפט המחוזי, אשר ככלל, כפוף לסדרי הדין הרגילים. הרציונל לכך הוא שהמעבר לערכאה אחרת, לא שינה את מהותה של התביעה.</p>
<p style=""text-align: right"">עדיין מדובר בדיני נפשות ולכן הצורך להכריע באופן צודק ומהיר בתביעה נותר בעינו. על הכרעתו של בית המשפט המחוזי, רשאים בעלי הדין לערער ברשות בלבד. פירוש הדבר הוא כי אין זכות ערעור אוטומטית כמו בפעם הראשונה, אלא יש להגיש בקשת רשות ערעור לבית המשפט העליון. הוא יחליט אפוא האם לקבל את הבקשה ולדון בערעור או לדחות את הבקשה, אז פסק הדין של בית המשפט המחוזי יהיה פסק דין חלוט וסופי.</p>","http://jus-tice.co.il/family-court/","בית המשפט לענייני משפחה","family-court","practice-areas","0"
"40","1","","https://jus-tice.co.il/practice-areas/blockchain-crypto/","בלוקצ'יין ומטבעות קריפטוגרפים","blockchain-crypto","practice-areas","0"
