action,url,clicks_16mo,impressions_16mo,role,primary_query,new_title,merge_target_url,rationale
KEEP-IMPROVE,https://jus-tice.co.il/medical-malpractice-lawyer/,1.0,31945.0,pillar,עורך דין רשלנות רפואית,"עורך דין רשלנות רפואית | תביעה, פיצויים ובדיקת עילה",,90d 0c/41i; 16mo 1c/31945i; protect equity.
KEEP-IMPROVE,https://jus-tice.co.il/medical-malpractice-lawsuits-law-account/,7.0,2717.0,cluster,דוח הוצאה ציבורית בתביעות רשלנות רפואית,תביעות רשלנות רפואית וההוצאה הציבורית | דוח 2022,,90d 7c/2717i; 16mo 7c/2717i; protect equity.
REBUILD,https://jus-tice.co.il/medical-malpractice-in-the-united-states/,21.0,18043.0,cluster,"עו""ד רשלנות רפואית בארצות הברית","עו""ד רשלנות רפואית בארצות הברית: שירותים, הליך ובחירת ייצוג",,16mo 21c/18043i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/malpractice-cerebral-palsy/,0.0,7408.0,cluster,איך להגיש תביעת רשלנות רפואית בלידה,איך להגיש תביעת רשלנות רפואית בלידה: מדריך משפטי מעשי,,16mo 0c/7408i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,0.0,6895.0,cluster,הוכחת רשלנות רפואית,הוכחת רשלנות רפואית: מדריך משפטי מעשי,,16mo 0c/6895i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,0.0,5584.0,cluster,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,רשלנות רפואית: שגיאות נפוצות של רופאים ובתי חולים,,16mo 0c/5584i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/anesthesia-medical-malpractice/,3.0,4037.0,cluster,"רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח","רשלנות ברדמה (אנסתזיה): פיצויים, התעוררות בניתוח",,16mo 3c/4037i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/decision50014-01-19/,34.0,2296.0,support,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית,השופטת יעל ייטב: החלטה בדבר מינוי מומחה מטעם בית המשפט בתיק,,16mo 34c/2296i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-surgery/,0.0,1443.0,cluster,"רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים","רשלנות בניתוח: סוגים, פיצויים ואיך מוכיחים",,16mo 0c/1443i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/decision55016-06-17a/,14.0,1409.0,support,"השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית","השופטת אורית ליפשיץ: פס""ד בתביעת רשלנות רפואית בטיפול שיניים",,16mo 14c/1409i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-lawyer-birth-recommended/,0.0,1020.0,cluster,עורך דין רשלנות רפואית בלידה מומלץ,"עורך דין רשלנות רפואית בלידה מומלץ: שירותים, הליך ובחירת",,16mo 0c/1020i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-lawyers-law-medical-israel/,0.0,979.0,cluster,עורכי דין מובילים בתחום רשלנות רפואית בעולם,"עורכי דין מובילים בתחום רשלנות רפואית בעולם: שירותים, הליך",,16mo 0c/979i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/decision39696-06-16/,6.0,913.0,support,"פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול","פיצוי של 4,330,162 ₪ בגין רשלנות רפואית בטיפול ביילוד",,16mo 6c/913i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/%d7%a8%d7%a9%d7%9c%d7%a0%d7%95%d7%aa-%d7%a8%d7%a4%d7%95%d7%90%d7%99%d7%aa-%d7%91%d7%90%d7%91%d7%97%d7%95%d7%9f-%d7%90%d7%91%d7%97%d7%a0%d7%94-%d7%a9%d7%92%d7%95%d7%99%d7%94-%d7%95%d7%9e%d7%90%d7%95/,0.0,782.0,cluster,רשלנות רפואית באבחון: אבחנה שגויה ומאוחרת: פיצויים,רשלנות רפואית באבחון: אבחנה שגויה ומאוחרת: פיצויים,,16mo 0c/782i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/klumpke-paralysis/,3.0,528.0,cluster,רשלנות רפואית בלידה: מה זה שיתוק קלומקה?,רשלנות רפואית בלידה: מה זה שיתוק קלומקה?,,16mo 3c/528i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/birth-injury/,1.0,427.0,cluster,"רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה","רשלנות רפואית בלידה: פיצויים, שיתוק מוחין ותביעה",,16mo 1c/427i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/birth-injury-lawyer/,0.0,398.0,cluster,עורך דין לפגיעות לידה,"עורך דין לפגיעות לידה: שירותים, הליך ובחירת ייצוג",,16mo 0c/398i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-pregnancy-birth/,0.0,359.0,cluster,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי,רשלנות רפואית במהלך הריון ולידה רשימת דברים שכדאי,,16mo 0c/359i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-israel-medical/,0.0,180.0,cluster,מקרי רשלנות רפואית בישראל,מקרי רשלנות רפואית בישראל: מדריך משפטי מעשי,,16mo 0c/180i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-lawyer-lawsuit-surgery-medical/,0.0,168.0,cluster,תביעת רשלנות רפואית בניתוח,"תביעת רשלנות רפואית בניתוח: שירותים, הליך ובחירת ייצוג",,16mo 0c/168i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/10918-10-19/,2.0,149.0,support,"פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית","פס""ד בתביעת הורי תינוקת שנפטרה בגין רשלנות רפואית ורשלנות",,16mo 2c/149i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-lawsuit-pregnancy-20346-03-17/,3.0,143.0,support,דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של,דחיית תביעה רשלנות רפואית הריון שהובילה לפטירתה של אם והעובר,,16mo 3c/143i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-attorney/,0.0,140.0,cluster,שכר טרחה עורך דין רשלנות רפואית,שכר טרחה עורך דין רשלנות רפואית,,16mo 0c/140i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/medical-malpractice-law/,0.0,75.0,cluster,דיני נזיקין רשלנות רפואית,דיני נזיקין רשלנות רפואית: מדריך משפטי מעשי,,16mo 0c/75i; demand protected; attorney-led rebuild.
REBUILD,https://jus-tice.co.il/brain-damage-at-birth/,0.0,72.0,cluster,נזק מוחי בלידה,נזק מוחי בלידה: מדריך משפטי מעשי,,16mo 0c/72i; demand protected; attorney-led rebuild.
