tier,id,type,url,title_db,yoast_title_override,meta_description,practice_area,word_count_est,created,last_modified,impressions_90d,clicks_90d,avg_position,path_norm,clicks_16mo,impressions_16mo,ctr_pct_16mo,avg_position_16mo,action,merge_target_url,primary_query,secondary_queries,intent,cluster_id,role,priority_wave,new_title,new_meta_description,rationale
1-real-traffic,6715,articles,https://jus-tice.co.il/medical-malpractice-lawsuits-law-account/,תביעות רשלנות רפואית: הדרכים להקטנת ההוצאה הציבורית | דין וחשבון,,,דיני נזיקין,9528,2022-02-20,2026-05-16,2717,7,18.8,/medical-malpractice-lawsuits-law-account/,7.0,2717.0,0.26,18.8,KEEP-IMPROVE,,דוח הוצאה ציבורית בתביעות רשלנות רפואית,הוכחת רשלנות רפואית,informational-guide,medical-malpractice,cluster,1,תביעות רשלנות רפואית וההוצאה הציבורית | דוח 2022,"תביעות רשלנות רפואית וההוצאה הציבורית | דוח 2022: מה קובע הדין, שלבי הפעולה, מסמכים, זכויות וסיכונים. מדריך משפטי מעודכן שנבדק בעריכת עו״ד.",90d 7c/2717i; 16mo 7c/2717i; protect equity.
3-seen-not-clicked,19193,page,https://jus-tice.co.il/medical-malpractice-lawyer/,"עורך דין רשלנות רפואית: פיצויים, זכויות והליך התביעה 2025",עורך דין רשלנות רפואית - מתי תובעים ואיך | מדריך | Jus-Tice,"עורך דין רשלנות רפואית: איך מגישים תביעה, חוות דעת מומחה, התיישנות ופיצויים. מדריך מלא כולל רשלנות בלידה, באבחון ובניתוח.",,3929,2026-05-22,2026-07-12,41,0,38.2,/medical-malpractice-lawyer/,1.0,31945.0,0.0,66.6,KEEP-IMPROVE,,עורך דין רשלנות רפואית,דירוג עורכי דין רשלנות רפואית;איך לבחור עורך דין רשלנות רפואית;הסכם פשרה רשלנות רפואית;דיסקציה של האאורטה תביעה רשלנות רפואית;איך לדעת אם באמת מדובר ברשלנות רפואית,hire-lawyer,medical-malpractice,pillar,1,"עורך דין רשלנות רפואית | תביעה, פיצויים ובדיקת עילה","עורך דין רשלנות רפואית | תביעה, פיצויים ובדיקת עילה: תחומי טיפול, שלבי ההליך, מסמכים ושאלות שכדאי לשאול לפני ייעוץ. מידע משפטי בעריכת עו״ד.",90d 0c/41i; 16mo 1c/31945i; protect equity.
3-seen-not-clicked,20226,page,https://jus-tice.co.il/surgical-errors-medical-malpractice/,"רשלנות רפואית בניתוח: פיצויים, ניתוח שגוי, זיהומים","רשלנות רפואית בניתוח | פיצויים, ניתוח שגוי, זיהומים | Jus-Tice",,,2321,2026-05-22,2026-07-12,258,0,78.1,/surgical-errors-medical-malpractice/,0.0,1226.0,0.0,63.5,MERGE,https://jus-tice.co.il/medical-malpractice-surgery/,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/1226i vs 0c/1443i; duplicate; backlink-check.
3-seen-not-clicked,7583,articles,https://jus-tice.co.il/medical-malpractice-7583/,מקרי רשלנות רפואית דוגמאות,,,דיני נזיקין,2010,2022-07-21,2026-05-16,81,0,60.0,/medical-malpractice-7583/,0.0,81.0,0.0,60.0,MERGE,https://jus-tice.co.il/medical-malpractice-israel-medical/,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/81i vs 0c/180i; duplicate; backlink-check.
4-negligible,8269,articles,https://jus-tice.co.il/medical-malpractice-8269/,סוגי רשלנות רפואית,,,דיני נזיקין,412,2022-12-13,2026-05-16,13,0,42.1,/medical-malpractice-8269/,0.0,13.0,0.0,42.1,MERGE,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/13i vs 0c/6895i; duplicate; backlink-check.
4-negligible,6546,articles,https://jus-tice.co.il/medical-malpractice-lawyer-recommended/,עורך דין רשלנות רפואית מומלץ,,,דיני נזיקין,8735,2022-01-06,2026-05-16,1,0,1.0,/medical-malpractice-lawyer-recommended/,0.0,1.0,0.0,1.0,MERGE,https://jus-tice.co.il/medical-malpractice-lawyer/,,,hire-lawyer,medical-malpractice,cluster,1,,,16mo 0c/1i vs 1c/31945i; duplicate; backlink-check.
3-seen-not-clicked,20334,page,https://jus-tice.co.il/medical-malpractice-cost/,כמה עולה תביעת רשלנות רפואית: מחירים ומה לצפות,כמה עולה תביעת רשלנות רפואית | מחירים ומה לצפות | Jus-Tice,,,390,2026-05-23,2026-07-12,27,0,27.7,/medical-malpractice-cost/,0.0,27.0,0.0,27.7,NOINDEX,,,,cost/fees,medical-malpractice,cluster,1,,,16mo 0c/27i; low-value indexed footprint; retain accessible.
4-negligible,20292,page,https://jus-tice.co.il/medical-malpractice-haifa/,"רשלנות רפואית חיפה: פיצויים, עורך דין, בתי חולים","רשלנות רפואית חיפה | פיצויים, עורך דין, בתי חולים | Jus-Tice",,,302,2026-05-23,2026-07-12,8,0,20.9,/medical-malpractice-haifa/,0.0,8.0,0.0,20.9,NOINDEX,,,,local,medical-malpractice,cluster,1,,,16mo 0c/8i; low-value indexed footprint; retain accessible.
4-negligible,8456,articles,https://jus-tice.co.il/medical-malpractice-personal-injury-verdict-lawsuit-claim-79092-12-20/,"פס""ד דחיית תביעה להטבת נזקי גוף שיסודה בטענה לרשלנות רפואית (ת""א 79092-12-20)",,,דיני נזיקין,5968,2023-01-22,2026-05-16,5,0,5.0,/medical-malpractice-personal-injury-verdict-lawsuit-claim-79092-12-20/,0.0,5.0,0.0,5.0,NOINDEX,,,,informational-guide,medical-malpractice,support,1,,,16mo 0c/5i; low-value indexed footprint; retain accessible.
4-negligible,8292,articles,https://jus-tice.co.il/medical-malpractice-costs/,העלויות הנסתרות של רשלנות רפואית: כיצד מטופלים ומשפחות מושפעים מרשלנות של תעשיית הבריאות,,,דיני נזיקין,477,2022-12-14,2026-05-16,3,0,94.0,/medical-malpractice-costs/,0.0,3.0,0.0,94.0,NOINDEX,,,,cost/fees,medical-malpractice,cluster,1,,,16mo 0c/3i; low-value indexed footprint; retain accessible.
4-negligible,20310,page,https://jus-tice.co.il/medical-malpractice-tel-aviv/,"רשלנות רפואית תל אביב: עורך דין, בתי חולים","רשלנות רפואית תל אביב | עורך דין, בתי חולים | Jus-Tice",,,327,2026-05-23,2026-07-12,2,0,59.0,/medical-malpractice-tel-aviv/,0.0,2.0,0.0,59.0,NOINDEX,,,,local,medical-malpractice,cluster,1,,,16mo 0c/2i; low-value indexed footprint; retain accessible.
4-negligible,8271,articles,https://jus-tice.co.il/medical-malpractice-8271/,רשלנות רפואית אבחון שגוי,,,דיני נזיקין,301,2022-12-13,2026-05-16,1,0,69.0,/medical-malpractice-8271/,0.0,1.0,0.0,69.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/1i; low-value indexed footprint; retain accessible.
4-negligible,8367,articles,https://jus-tice.co.il/medical-malpractice-house/,רשלנות רפואית בבית חולים,,,דיני נזיקין,2265,2023-01-05,2026-05-16,1,0,79.0,/medical-malpractice-house/,0.0,1.0,0.0,79.0,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/1i; low-value indexed footprint; retain accessible.
4-negligible,11617,articles,https://jus-tice.co.il/medical-malpractice-vs-negligence-differences-israel/,מה ההבדל בין רשלנות רפואית לבין הזנחה רפואית?,,,דיני נזיקין,3719,2024-11-13,2026-05-16,1,0,12.0,/medical-malpractice-vs-negligence-differences-israel/,0.0,31.0,0.0,5.7,NOINDEX,,,,informational-guide,medical-malpractice,cluster,1,,,16mo 0c/31i; low-value indexed footprint; retain accessible.
