date,clicks,impressions,ctr_pct,position,impressions_7d,clicks_7d,position_7d
2025-03-20,147,26204,0.56,42.0,,,
2025-03-21,99,17283,0.57,43.9,,,
2025-03-22,135,17852,0.76,41.9,,,
2025-03-23,184,24612,0.75,41.1,22271.428571428572,162.42857142857142,41.17142857142857
2025-03-24,200,25689,0.78,40.8,21239.0,165.71428571428572,40.67142857142857
2025-03-25,172,20452,0.84,38.4,22425.428571428572,170.0,40.68571428571429
2025-03-26,200,23808,0.84,40.1,22627.571428571428,167.0,40.471428571428575
2025-03-27,170,18977,0.9,38.5,22954.285714285714,166.57142857142858,40.385714285714286
2025-03-28,129,25588,0.5,44.0,22891.14285714286,166.14285714285714,40.32857142857143
2025-03-29,114,19267,0.59,40.4,23121.285714285714,167.28571428571428,40.42857142857143
2025-03-30,181,26899,0.67,40.5,22783.428571428572,160.42857142857142,40.542857142857144
2025-03-31,197,25247,0.78,40.4,22787.85714285714,157.85714285714286,40.91428571428571
2025-04-01,180,22063,0.82,39.1,22352.14285714286,151.85714285714286,41.128571428571426
2025-04-02,152,21443,0.71,40.9,22226.285714285714,150.0,41.300000000000004
2025-04-03,152,19008,0.8,41.1,22810.428571428572,148.42857142857142,41.5
2025-04-04,87,22538,0.39,45.5,22350.428571428572,143.85714285714286,41.471428571428575
2025-04-05,101,18386,0.55,41.6,22451.14285714286,140.42857142857142,41.628571428571426
2025-04-06,170,30988,0.55,41.9,23198.571428571428,137.85714285714286,41.871428571428574
2025-04-07,165,22027,0.75,40.2,23716.14285714286,132.71428571428572,41.74285714285714
2025-04-08,156,22768,0.69,40.2,23511.0,131.28571428571428,41.57142857142857
2025-04-09,134,26675,0.5,42.6,23863.714285714286,126.0,41.728571428571435
2025-04-10,116,22631,0.51,40.2,23981.285714285714,119.42857142857143,42.028571428571425
2025-04-11,77,21102,0.36,44.3,23732.85714285714,118.42857142857143,41.714285714285715
2025-04-12,64,20855,0.31,42.7,23342.85714285714,119.14285714285714,41.228571428571435
2025-04-13,124,31811,0.39,44.0,22839.571428571428,122.71428571428571,40.714285714285715
2025-04-14,158,20288,0.78,38.0,22075.14285714286,124.14285714285714,40.42857142857143
