page,clicks,impressions,ctr_pct,position
/wp-content/uploads/2022/06/06102016_1.pdf,850,7013,12.12,9.4
/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F/,679,162976,0.42,17.0
/how-much-will-a-criminal-defense-lawyer-cost/,448,35161,1.27,35.2
/,437,141425,0.31,34.2
/court-judge/,419,48327,0.87,26.4
/lahav-433/,390,28997,1.34,12.2
/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,348,56835,0.61,43.2
/force-majeure/,309,7871,3.93,11.6
/free-affidavit-sample/,309,13545,2.28,16.7
/free-divorce-agreement-template/,286,56655,0.5,23.8
/apply-for-police-criminal-information-certificates/,281,62861,0.45,21.0
/shoplifting/,268,17091,1.57,30.6
/low-value-invest-abroad/,267,58601,0.46,51.8
/psakdin/%D7%AA%D7%A4%D7%A7%D7%99%D7%93%D7%95-%D7%95%D7%93%D7%A8%D7%9B%D7%99-%D7%A2%D7%91%D7%95%D7%93%D7%AA%D7%95-%D7%A9%D7%9C-%D7%A2%D7%95%D7%91%D7%93-%D7%A1%D7%95%D7%A6%D7%99%D7%90%D7%9C%D7%99-%D7%9C%D7%A2/,239,12384,1.93,16.4
/malta-citizenship-by-investment/,210,4874,4.31,31.1
/%D7%94%D7%A8%D7%A9%D7%A2%D7%AA-%D7%A0%D7%90%D7%A9%D7%9D-%D7%91%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%99%D7%9F-%D7%91%D7%91%D7%AA%D7%95-%D7%95%D7%90%D7%9C%D7%99%D7%9E%D7%95%D7%AA-%D7%9B%D7%9C%D7%A4%D7%99-%D7%99%D7%9C%D7%93%D7%99%D7%95/,209,6384,3.27,23.9
/greece-lawyers/,208,7402,2.81,20.4
/usa-lawyers/,198,18353,1.08,17.3
