family_head_term,family_key,severity,competing_url,clicks,impressions,position,designated_winner,resolution
. הסכם ממון עורך דין,. הסכם ממון עורך דין,MEDIUM,https://jus-tice.co.il/prenup-attorney/,0,125,72.1,https://jus-tice.co.il/prenup-attorney/,WINNER
. הסכם ממון עורך דין,. הסכם ממון עורך דין,MEDIUM,https://jus-tice.co.il/how-much-does-prenup-cost/,0,35,87.3,https://jus-tice.co.il/prenup-attorney/,DIFFERENTIATE→הסכם ממון מחיר
.גישור גירושין,.גישור גירושין,MEDIUM,https://jus-tice.co.il/divorce-mediation-cons-pros/,0,106,68.4,https://jus-tice.co.il/divorce-mediation-cons-pros/,WINNER
.גישור גירושין,.גישור גירושין,MEDIUM,https://jus-tice.co.il/גישור-גירושין-מה-זה-ואיך-התהליך-עובד/,0,37,78.6,https://jus-tice.co.il/divorce-mediation-cons-pros/,DIFFERENTIATE→
.גישור גירושין,.גישור גירושין,MEDIUM,https://jus-tice.co.il/divorce-mediation-basics/,0,11,59.4,https://jus-tice.co.il/divorce-mediation-cons-pros/,DIFFERENTIATE→גישור לפני גירושין
01:20,01 20,MEDIUM,https://jus-tice.co.il/52705-01-20/,0,14,49.1,https://jus-tice.co.il/52705-01-20/,WINNER
01:20,01 20,MEDIUM,https://jus-tice.co.il/פסד-בעניין-מזונות-תלהמ-21976-01-20/,0,7,90.4,https://jus-tice.co.il/52705-01-20/,DIFFERENTIATE→
01:20,01 20,MEDIUM,https://jus-tice.co.il/זכאות-להחזר-מס-רכישה-בגין-ביטול-עסקה-במקרקעין/,0,2,91.5,https://jus-tice.co.il/52705-01-20/,DIFFERENTIATE→
02 21,02 21,MEDIUM,https://jus-tice.co.il/פיצוי-בגין-איחור-במסירת-דירה-מקבלן-תא-10300-02-21/,0,3,19.7,https://jus-tice.co.il/פיצוי-בגין-איחור-במסירת-דירה-מקבלן-תא-10300-02-21/,WINNER
02 21,02 21,MEDIUM,https://jus-tice.co.il/פסק-דין-תעבורה-עין-הנץ-קבילות-וחוקיות-ראיות-שהונפקו-מהמערכת/,0,2,76.0,https://jus-tice.co.il/פיצוי-בגין-איחור-במסירת-דירה-מקבלן-תא-10300-02-21/,DIFFERENTIATE→
03 19,03 19,MEDIUM,https://jus-tice.co.il/תביעה-אזרחית-נגררת-להרשעה-בפלילים-תא-38003-03-19/,0,5,38.4,https://jus-tice.co.il/תביעה-אזרחית-נגררת-להרשעה-בפלילים-תא-38003-03-19/,WINNER
03 19,03 19,MEDIUM,https://jus-tice.co.il/ruling-on-conflicting-real-estate-transactions/,0,3,64.3,https://jus-tice.co.il/תביעה-אזרחית-נגררת-להרשעה-בפלילים-תא-38003-03-19/,"DIFFERENTIATE→פס""ד בנוגע לעסקאות נוגדות מקרקעין (תמ""ש 67355-03-19)"
05 21,05 21,MEDIUM,https://jus-tice.co.il/תא13429-05-21-נתניהו-ואח-נ-אולמרט/,0,1,87.0,https://jus-tice.co.il/תא13429-05-21-נתניהו-ואח-נ-אולמרט/,WINNER
05 21,05 21,MEDIUM,https://jus-tice.co.il/דחיית-ערעור-על-ביטול-עסקת-מתנה-בה-העבירה-אם-מקרקעין-ללא-תמורה-לאחים-לאחר-כתיבת-הצוואה/,0,1,99.0,https://jus-tice.co.il/תא13429-05-21-נתניהו-ואח-נ-אולמרט/,DIFFERENTIATE→
06/19,06 19,MEDIUM,https://jus-tice.co.il/תביעה-ביחס-לזכויות-יוצרים-במשחק-שם-קוד/,0,5,58.4,https://jus-tice.co.il/תביעה-ביחס-לזכויות-יוצרים-במשחק-שם-קוד/,WINNER
06/19,06 19,MEDIUM,https://jus-tice.co.il/דחיית-בקשה-להתנגדות-לצו-ירושה-על-ידי-הנתבעת-הטוענת-להיותה-בת-הזוג-של-המנוח-תע-57474-06-19/,0,6,74.75,https://jus-tice.co.il/תביעה-ביחס-לזכויות-יוצרים-במשחק-שם-קוד/,DIFFERENTIATE→
06 21,06 21,MEDIUM,https://jus-tice.co.il/psakdin/פיצוי-בגין-מעצר-שווא-צא-24231-06-21/,0,7,53.25,https://jus-tice.co.il/psakdin/פיצוי-בגין-מעצר-שווא-צא-24231-06-21/,WINNER
