group,path,mapped_target,role_or_topic,live_or_route_status,gsc_clicks,gsc_impressions,gsc_position,metric_source,risk,proposed_action,required_before_action,blocked_actions,status
criminal_current_target,/criminal-defense-attorney/,/criminal-lawyer/,current_planning_pillar,READY_FOR_OWNER_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,PROTECTED_CURRENT_URL,UPDATE_EXISTING_CURRENT_URL_ONLY_AFTER_OWNER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_editor_database_backup; focused_gsc_export_before_url_migration,new_clean_slug; redirect; canonical_change; noindex; sitemap_change; taxonomy_change; public_internal_link_write,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_current_target,/%D7%94%D7%9B%D7%A0%D7%94-%D7%9C%D7%97%D7%A7%D7%99%D7%A8%D7%94-%D7%91%D7%9E%D7%A9%D7%98%D7%A8%D7%94/,/police-investigation/,core_support_police_investigation,READY_FOR_OWNER_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,UPDATE_EXISTING_CURRENT_URL_ONLY_AFTER_OWNER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_editor_database_backup; focused_gsc_export_before_url_migration,new_clean_slug; redirect; canonical_change; noindex; sitemap_change; taxonomy_change; public_internal_link_write,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_current_target,/detention-before-charge-or-trial/,/pretrial-detention/,core_support_detention_group,READY_FOR_OWNER_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,UPDATE_EXISTING_CURRENT_URL_ONLY_AFTER_OWNER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_editor_database_backup; focused_gsc_export_before_url_migration,new_clean_slug; redirect; canonical_change; noindex; sitemap_change; taxonomy_change; public_internal_link_write,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_current_target,/articles/%D7%9E%D7%97%D7%99%D7%A7%D7%AA-%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%97%D7%96%D7%A8%D7%94-%D7%9E%D7%9B%D7%AA%D7%91-%D7%90%D7%99%D7%A9%D7%95%D7%9D-%D7%91%D7%99%D7%98%D7%95%D7%9C/,/indictment/,core_support_indictment,READY_FOR_OWNER_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,UPDATE_EXISTING_CURRENT_URL_ONLY_AFTER_OWNER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_editor_database_backup; focused_gsc_export_before_url_migration,new_clean_slug; redirect; canonical_change; noindex; sitemap_change; taxonomy_change; public_internal_link_write,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_current_target,/drug-offenses-criminal-lawyer/,/drug-offenses/,core_support_drug_offenses,READY_FOR_OWNER_REVIEW,0,0,,NO_BASELINE_GSC_SIGNAL,UNKNOWN_NEEDS_GSC,UPDATE_EXISTING_CURRENT_URL_ONLY_AFTER_OWNER_APPROVAL_NO_URL_CHANGE,owner_legal_source_approval; wordpress_editor_database_backup; focused_gsc_export_before_url_migration,new_clean_slug; redirect; canonical_change; noindex; sitemap_change; taxonomy_change; public_internal_link_write,NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F/,https://jus-tice.co.il/criminal-defense-attorney/,police investigation legal advice,SUPPORT_TO_CRIMINAL_HUB_REVIEW,482,118014,,DASHBOARD_BASELINE_NOT_FINAL,HIGH,KEEP_LIVE_REWRITE_OR_LINK_ONLY_AFTER_OWNER_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C/,https://jus-tice.co.il/criminal-defense-attorney/,how to choose a criminal defense lawyer,SUPPORT_TO_CRIMINAL_HUB_REVIEW,96,52640,,DASHBOARD_BASELINE_NOT_FINAL,HIGH,KEEP_URL_REWRITE_CLAIMS_AFTER_OWNER_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/apply-for-police-criminal-information-certificates/,https://jus-tice.co.il/criminal-defense-attorney/,criminal record and police certificate,SUPPORT_TO_CRIMINAL_HUB_REVIEW,188,38667,,DASHBOARD_BASELINE_NOT_FINAL,HIGH,KEEP_LIVE_REWRITE_OR_LINK_ONLY_AFTER_OWNER_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,https://jus-tice.co.il/criminal-defense-attorney/,criminal defense lawyer cost,SUPPORT_TO_CRIMINAL_HUB_REVIEW,234,38017,,DASHBOARD_BASELINE_NOT_FINAL,HIGH,KEEP_URL_REVIEW_COMMERCIAL_PRICE_INTENT_BEFORE_REWRITE,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/sex-crime-lawyer/,https://jus-tice.co.il/criminal-defense-attorney/,representation in sex-offense cases,SUPPORT_TO_CRIMINAL_HUB_REVIEW,34,27904,,DASHBOARD_BASELINE_NOT_FINAL,HIGH,KEEP_LIVE_REWRITE_OR_LINK_ONLY_AFTER_OWNER_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/drug-related-crime/,https://jus-tice.co.il/criminal-defense-attorney/,representation in drug offenses,SUPPORT_TO_CRIMINAL_HUB_REVIEW,3,24014,,DASHBOARD_BASELINE_NOT_FINAL,MEDIUM,KEEP_LIVE_REWRITE_OR_LINK_ONLY_AFTER_OWNER_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/how-much-will-a-criminal-defense-lawyer-cost/,https://jus-tice.co.il/criminal-defense-attorney/,criminal lawyer representation cost,SUPPORT_TO_CRIMINAL_HUB_REVIEW,224,23313,,DASHBOARD_BASELINE_NOT_FINAL,HIGH,KEEP_URL_REVIEW_COMMERCIAL_PRICE_INTENT_BEFORE_REWRITE,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/tax-investigation-guide/,https://jus-tice.co.il/criminal-defense-attorney/,tax investigation and tax offenses,SUPPORT_TO_CRIMINAL_HUB_REVIEW,115,22811,,DASHBOARD_BASELINE_NOT_FINAL,HIGH,KEEP_LIVE_REWRITE_OR_LINK_ONLY_AFTER_OWNER_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/traffic-lawyer/,https://jus-tice.co.il/criminal-defense-attorney/,criminal traffic case representation,SUPPORT_TO_CRIMINAL_HUB_REVIEW,0,20330,,DASHBOARD_BASELINE_NOT_FINAL,MEDIUM,HOLD_FOR_TRAFFIC_CRIMINAL_BOUNDARY_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/famous-criminal-defense-lawyer/,https://jus-tice.co.il/criminal-defense-attorney/,choosing a criminal defense lawyer,SUPPORT_TO_CRIMINAL_HUB_REVIEW,90,16268,,DASHBOARD_BASELINE_NOT_FINAL,HIGH,KEEP_URL_REWRITE_CLAIMS_AFTER_OWNER_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/lawyer-near-me-criminal-law/,https://jus-tice.co.il/criminal-defense-attorney/,local criminal lawyer,SUPPORT_TO_CRIMINAL_HUB_REVIEW,13,12986,,DASHBOARD_BASELINE_NOT_FINAL,MEDIUM,KEEP_LIVE_REWRITE_OR_LINK_ONLY_AFTER_OWNER_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
criminal_protected_support,/what-is-money-laundering/,https://jus-tice.co.il/criminal-defense-attorney/,money-laundering offenses,SUPPORT_TO_CRIMINAL_HUB_REVIEW,11,12548,,DASHBOARD_BASELINE_NOT_FINAL,MEDIUM,KEEP_LIVE_REWRITE_OR_LINK_ONLY_AFTER_OWNER_REVIEW,focused_gsc_export; content_quality_review; owner_approval_before_redirect_retirement_or_rewrite,"No redirect, no canonical/noindex, no slug migration, no blind merge",NOT_FINAL_BASELINE_PENDING_FOCUSED_GSC_EXPORT
